gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	401570	110890	0	75	1	0	50	36	6737250	4.440892e-16	7.329359e-12
KDM6A	59340	NaN	36	1326910	357110	0	32	2	0	44	20	7143500	7.771561e-16	7.329359e-12
ARID1A	975965	182	27	2079740	624520	0	40	2	0	28	18	5542680	1.887379e-15	9.423462e-12
CDKN1A	904665	228	37	147420	48750	0	18	0	0	50	28	6762990	1.998401e-15	9.423462e-12
RB1	349930	450	41	898040	229450	0	19	0	0	24	14	4472260	3.903655e-12	1.472615e-08
ELF3	751933	168	31	354770	92950	0	15	0	0	50	21	7368790	3.005476e-10	9.448214e-07
STAG2	338292	NaN	7	1238640	297570	0	14	3	0	39	16	5292690	1.097165e-07	2.956390e-04
FOXQ1	114944	481	14	344500	128180	0	7	1	0	50	13	7425600	8.153960e-06	1.922500e-02
FBXW7	117295	501	51	793520	212680	0	16	0	0	47	26	7767890	1.517580e-05	2.932280e-02
CDKN2A	225405	357	-15	310050	80730	0	8	0	0	50	24	8034130	1.554597e-05	2.932280e-02
HLA-A	983517	596	36	341770	98150	0	8	0	0	50	25	6700200	2.699674e-05	4.629204e-02
ZNF706	1084949	371	46	76830	17940	0	6	0	0	50	26	7270510	4.815112e-05	7.541333e-02
PIK3CA	401889	613	11	1026220	255710	0	26	1	0	50	28	7973420	5.197611e-05	7.541333e-02
MLL2	1770671	214	65	4965350	1596790	0	40	5	0	0	5	1596790	6.296588e-05	8.483303e-02
FOXA1	67481	487	-58	423280	131690	0	7	1	0	50	25	6368570	1.334471e-04	1.678053e-01
CDKN1B	791330	136	44	185120	50830	0	5	0	0	50	20	7417020	1.924742e-04	2.243767e-01
FGFR3	859388	222	42	787020	243360	0	21	3	0	50	33	8185190	2.022269e-04	2.243767e-01
ERCC2	1280459	215	23	734890	212810	0	16	2	0	50	29	7738900	3.508712e-04	3.676740e-01
ZNF513	1244404	179	39	484250	154570	0	7	0	0	50	23	7895810	4.892233e-04	4.856700e-01
MPZ	735152	293	41	231140	68770	0	4	0	0	50	20	8139300	7.370832e-04	6.951432e-01
ZFP36L1	543449	259	46	301470	96720	0	6	0	0	35	19	4956900	8.249396e-04	6.981104e-01
KLF5	274388	328	28	416520	124020	0	11	2	0	23	15	2925000	8.774338e-04	6.981104e-01
BTG2	574553	420	26	145990	42380	0	6	0	0	50	26	7795190	8.839936e-04	6.981104e-01
HORMAD1	1611525	178	42	391820	92170	0	7	1	0	50	24	7575100	8.882754e-04	6.981104e-01
HAMP	767246	472	7	81900	22230	0	2	0	0	50	12	5981560	1.208825e-03	9.120340e-01
TMCO2	627703	373	18	169910	47320	0	3	0	0	50	20	7849920	1.332501e-03	9.666782e-01
RXRA	300063	295	42	430820	124930	0	12	2	0	29	14	3755960	1.455234e-03	1
NFE2L2	372300	145	36	565890	149370	0	12	0	0	50	23	6966050	1.974468e-03	1
UQCRHL	821457	174	37	87100	21320	0	2	0	0	50	15	5925140	2.485789e-03	1
TFG	345618	509	16	375440	104650	0	4	1	0	50	20	9274720	2.499466e-03	1
PSIP1	200332	583	6	530790	123630	0	7	0	0	50	30	7582510	2.703646e-03	1
CREB5	58752	518	26	499460	131560	0	5	1	0	50	18	8679580	2.834677e-03	1
SLC25A30	680643	296	78	278720	76960	0	3	0	0	50	19	7848100	2.927486e-03	1
TSC1	1919595	461	33	1094080	301730	0	11	0	0	8	1	1144650	3.306071e-03	1
CREBBP	637890	242	39	2262650	642460	0	18	3	0	35	25	7339020	3.993872e-03	1
BCLAF1	286851	153	21	864110	230620	0	9	0	0	50	22	9431760	4.036012e-03	1
PABPC3	436184	650	30	571350	168870	0	5	0	0	50	23	9508460	4.372919e-03	1
H1FOO	779764	210	59	314080	99710	0	4	0	0	50	24	6980610	4.386868e-03	1
SRP68	1611239	218	22	598520	160420	0	9	1	0	50	37	8792680	4.932554e-03	1
TSKU	287129	214	42	303420	112320	0	5	1	0	50	23	6646120	5.055299e-03	1
CCND3	467876	186	41	264550	84500	0	5	0	0	50	29	6666010	5.098985e-03	1
HIST1H4L	228884	634	40	91260	31590	0	2	0	0	50	21	5406050	5.353806e-03	1
MBD1	229269	262	51	624520	184340	0	6	0	0	50	26	7071480	5.591661e-03	1
OR4N2	275024	858	-57	275470	84500	0	4	0	0	50	30	6655090	5.632680e-03	1
OTUD4	192885	1089	33	992160	268320	0	9	2	0	50	20	8571160	5.689026e-03	1
MLL3	261375	616	16	4564170	1273350	0	30	3	0	23	10	3942640	6.559909e-03	1
VIPR2	179290	348	-24	414700	117650	0	4	1	0	50	28	8874190	6.951790e-03	1
WAC	204806	355	17	609830	169390	0	9	1	0	19	6	2520310	7.375369e-03	1
PLAUR	441738	209	6	345020	94120	0	6	0	0	50	24	8086780	7.421391e-03	1
NTS	22180	677	-32	165880	38870	0	4	0	0	50	28	8578700	7.934637e-03	1
