gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ABHD2	639252	388	22	3084128	826336	0	6	0	0	50	42	74607328	0	0
ACTL6B	1884430	247	60	3113888	853120	0	10	0	0	50	40	64028640	0	0
ANXA13	492587	192	12	2642688	690432	0	4	1	0	50	39	65215072	0	0
APOA5	419339	326	36	2574240	749952	0	4	0	0	45	35	53844768	0	0
ASB10	611046	337	38	3763648	1286624	0	9	0	0	27	13	31004960	0	0
AXIN1	1444992	205	40	6041280	1782624	0	7	2	0	37	55	71285120	0	0
BAX	1927185	211	43	1789568	537664	0	11	0	0	50	30	57297920	0	0
C12orf57	2704950	211	47	903712	265856	0	3	0	0	50	62	74126208	0	0
C19orf57	842601	185	32	4384640	1394752	0	3	1	0	50	58	66348928	0	0
C1QTNF5	NaN	NaN	NaN	1643744	558496	0	11	0	0	50	93	111031584	0	0
C5orf52	NaN	NaN	NaN	1136832	321408	0	4	1	0	20	24	23608608	0	0
C8orf47	630526	229	39	2619872	751936	0	3	0	0	50	45	70791104	0	0
CALN1	17685	956	-29	1925472	485088	0	4	1	0	50	68	65257728	0	0
CASP8	571730	386	37	4244768	960256	0	13	1	0	50	24	60886976	0	0
CBFB	1068656	125	48	1467168	363072	0	25	1	0	13	7	11524064	0	0
CBY1	1056349	262	45	927520	253952	0	4	0	0	50	47	67727808	0	0
CCDC85A	63834	739	-15	3881696	1123936	0	4	0	0	36	62	58065728	0	0
CCL4L2	691971	684	13	1337216	382912	0	2	0	0	50	52	57848480	0	0
CD74	949599	212	40	2216128	542624	0	4	0	0	50	55	66969920	0	0
CDH1	924096	240	30	6245632	1816352	0	119	3	0	50	30	50622752	0	0
CDKN1B	791330	136	44	1412608	387872	0	12	1	0	20	21	24166112	0	0
CIAO1	904852	213	43	2440320	666624	0	3	1	0	50	62	67186176	0	0
CRABP1	505232	435	56	1005888	261888	0	3	0	0	50	35	63268768	0	0
CTCF	1074126	147	45	5301248	1317376	0	17	3	0	40	34	46550592	0	0
DDAH1	309815	308	0	2031616	581312	0	2	1	0	32	36	47218208	0	0
DEAF1	1774224	236	57	3974944	1209248	0	8	0	0	19	10	20162400	0	0
EIF3H	483437	504	11	2592096	648768	0	2	0	0	50	38	56096608	0	0
ELAVL3	1255985	265	32	2597056	759872	0	7	0	0	49	34	51339968	0	0
EMD	2277674	NaN	40	1819328	516832	0	2	0	0	50	31	57319744	0	0
ERLIN2	619400	326	9	2614912	661664	0	4	0	0	50	50	80397632	0	0
FAM169A	424900	581	31	4857824	1275712	0	6	1	0	50	53	65005760	0	0
FAM72D	NaN	NaN	NaN	1102112	272800	0	2	0	0	50	93	110745888	0	0
FAM86B2	NaN	NaN	NaN	2337152	701344	0	12	1	0	32	47	58882144	0	0
FBXO44	682357	264	32	2089152	351168	0	4	0	0	50	28	59947552	0	0
FZD2	1261037	254	16	3834080	1219168	0	4	1	0	50	40	70217728	0	0
GATA3	182932	675	-2	3077184	943392	0	104	2	0	44	53	47800512	0	0
GPS2	1911735	206	36	2415520	637856	0	11	0	0	50	37	61504000	0	0
H3F3B	1885370	198	27	956288	302560	0	4	0	0	50	39	60333440	0	0
HIST1H2AI	267617	634	32	873952	307520	0	5	0	0	50	42	43207552	0	0
HNRNPD	651473	390	26	2609952	663648	0	5	0	0	50	34	68580928	0	0
HS6ST1	406221	635	24	2829184	867008	0	17	2	0	27	35	35934208	0	0
HSDL2	458381	341	17	3094048	771776	0	6	0	0	50	21	54275296	0	0
HYAL2	843769	206	51	3256736	1010848	0	6	1	0	50	31	57047936	0	0
IFI35	1507064	201	26	2028640	622976	0	5	2	0	46	48	44534848	0	0
IL27RA	1013197	231	32	4462016	1379872	0	9	1	0	50	30	60061632	0	0
IRF3	1733181	195	36	2998816	911648	0	8	0	0	50	39	63290592	0	0
KDELR1	1478750	217	36	1520736	428544	0	4	0	0	50	59	87158112	0	0
KEAP1	1996822	207	30	4374720	1264800	0	4	0	0	50	41	53207904	0	0
KLRC1	382960	334	1	1727072	433504	0	6	0	0	50	45	63504864	0	0
KRT36	1445853	325	-22	3262688	987040	0	3	2	0	43	31	37666240	0	0
KRT8	1781225	288	27	3437280	970176	0	3	0	0	50	21	52575008	0	0
KRTAP5-1	NaN	NaN	NaN	1909600	593216	0	7	1	0	32	47	58774016	0	0
MAP2K4	45834	583	-52	2939296	756896	0	33	0	0	13	14	15229184	0	0
MAP3K1	200595	412	38	10642176	3092064	0	103	3	0	37	42	44484256	0	0
MAPRE3	1222544	290	33	2076256	512864	0	9	0	0	50	33	56137280	0	0
MORN4	564805	169	40	1069376	290656	0	5	0	0	50	43	56381312	0	0
OR10J5	492825	646	-4	2119904	641824	0	5	1	0	50	62	59750144	0	0
OR2T35	141426	710	-10	2198272	694400	0	6	0	0	50	70	83611712	0	0
PANX1	367552	774	-16	3015680	844192	0	3	0	0	40	43	38153312	0	0
PIK3CA	401889	613	11	7830848	1951264	0	381	6	0	1	6	2448256	0	0
POP5	1615212	311	34	1208256	315456	0	4	0	0	50	29	57666944	0	0
PRAM1	726124	214	1	4654464	1440384	0	4	1	0	50	39	62571392	0	0
PSMD12	486488	285	-1	3357920	847168	0	4	0	0	50	45	67141536	0	0
PTEN	259678	300	34	3003776	698368	0	39	0	0	50	51	50820160	0	0
PTHLH	315469	581	-4	1253888	376960	0	7	0	0	50	23	42390144	0	0
PTMS	2816186	232	48	798560	168640	0	3	0	0	50	65	70583776	0	0
RAD54L	690472	205	31	5394496	1497920	0	4	1	0	50	29	49091104	0	0
RBBP9	414549	436	23	1375904	347200	0	3	0	0	50	56	70127456	0	0
RBMX	275533	NaN	28	3111904	652736	0	14	0	0	50	51	59909856	0	0
RCN1	251970	683	-1	2412544	611072	0	6	0	0	50	61	51843904	0	0
ROM1	2695768	217	42	2321280	845184	0	4	1	0	50	51	66069184	0	0
RPL5	582788	274	4	2205216	550560	0	3	1	0	50	47	67452032	0	0
RUNX1	164915	429	45	3451168	1072352	0	34	2	0	25	22	29531840	0	0
SARM1	1407654	189	19	4953056	1614976	0	7	1	0	50	33	55392288	0	0
SLC25A16	782017	294	35	2387744	680512	0	2	0	0	47	42	66710016	0	0
SMCR7L	766902	467	74	3165472	1024736	0	5	1	0	50	42	54839744	0	0
SPRR2B	687290	704	30	544608	139872	0	4	0	0	50	44	59712448	0	0
SSX3	660654	NaN	14	1568352	357120	0	5	0	0	50	27	59400960	0	0
TAS2R10	408176	517	12	2164544	585280	0	5	0	0	50	45	53058112	0	0
TCF4	92114	936	12	4878656	1347136	0	10	4	0	34	59	40788064	0	0
TCTN1	859648	194	32	4627680	1348128	0	7	1	0	50	57	74902944	0	0
THEM5	966708	212	36	1784608	489056	0	11	1	0	50	31	50904480	0	0
TMED10	884650	154	47	1572320	445408	0	4	0	0	50	32	63047552	0	0
TMEM106B	114769	532	-9	2015744	522784	0	4	0	0	36	40	44633056	0	0
TP53	2069567	213	34	3064288	846176	0	328	5	0	2	6	1697312	0	0
TPST1	551438	412	26	2630784	738048	0	4	1	0	50	39	59633088	0	0
TRMT5	216411	578	-1	3630720	976128	0	3	1	0	29	30	30493088	0	0
URM1	1928973	188	64	1206272	359104	0	2	0	0	50	33	66216992	0	0
ZFP36L1	543449	259	46	2300448	738048	0	9	0	0	50	27	51824064	0	0
ZNF551	606379	849	-44	4723904	1147744	0	9	1	0	50	48	48092160	0	0
MLL3	261375	616	16	34828128	9716640	0	85	7	0	3	9	13830464	1.335598e-13	2.768358e-11
ARID1A	975965	182	27	15870016	4765568	0	30	2	0	14	7	25156128	1.077273e-10	2.208643e-08
TBX3	32369	548	-30	5126656	1599104	0	28	1	0	9	12	10175936	3.332490e-10	6.758863e-08
NCOR1	954548	370	-18	17434400	4894528	0	45	1	0	1	1	6252576	1.148308e-07	2.304189e-05
TBL1XR1	135357	433	-0	3800352	964224	0	12	0	0	50	46	59951520	1.382991e-05	2.745893e-03
RPGR	141269	NaN	28	9758304	2359968	0	24	1	0	26	27	41942752	1.552456e-05	3.050252e-03
FNDC4	1193266	306	39	1655648	513856	0	6	1	0	26	28	37661280	5.717822e-05	1.111851e-02
ACTG1	3582152	268	26	2644672	771776	0	8	0	0	50	23	50066240	5.825033e-05	1.121141e-02
HLA-C	3244502	401	38	2600032	765824	0	9	0	0	50	25	43731328	7.767762e-05	1.478995e-02
POM121	641244	332	59	6663264	2261760	0	17	3	0	50	39	47459264	7.841134e-05	1.478995e-02
GLYR1	706891	195	33	4033472	1097152	0	11	0	0	24	10	27450624	1.139505e-04	2.128054e-02
FRG1	49764	1059	-15	1968128	445408	0	11	0	0	50	77	72805856	1.333754e-04	2.461214e-02
FAM86B1	475976	625	-1	2094112	634880	0	9	0	0	48	48	60838368	1.343999e-04	2.461214e-02
DMD	31871	NaN	-12	27745248	6904320	0	56	7	0	26	24	41574720	1.593427e-04	2.889925e-02
HLA-B	2552688	347	28	2576224	753920	0	10	0	0	24	41	55657152	2.261475e-04	4.062471e-02
HRNR	486922	468	25	19093024	6384512	0	41	11	0	50	42	54090784	2.386630e-04	4.243602e-02
WSCD2	451405	644	29	4013632	1122944	0	14	2	0	12	5	14807584	2.407302e-04	4.243602e-02
OR6C76	802038	706	3	2137760	653728	0	10	1	0	50	71	57234432	3.021741e-04	5.277415e-02
MYH9	1223952	226	49	14244128	3739840	0	23	5	0	50	37	65080160	3.462468e-04	5.991658e-02
MLC1	909819	215	25	2690304	815424	0	7	1	0	50	22	42893088	3.994677e-04	6.849781e-02
NOTCH2	429750	510	14	17695296	4767552	0	27	4	0	45	43	59438656	4.229393e-04	7.186920e-02
ZMYM3	728738	NaN	25	9815840	2763712	0	14	2	0	50	50	88876256	4.462752e-04	7.515753e-02
NF1	462449	396	26	20682208	5527424	0	31	3	0	13	8	15112128	5.355006e-04	8.938595e-02
C20orf112	677178	310	61	3085120	899744	0	8	0	0	50	31	48623872	5.540134e-04	9.166492e-02
CATSPER2	774279	286	51	3942208	1051520	0	9	3	0	23	8	17382816	6.167726e-04	1.011614e-01
RAB42	816470	183	25	727136	219232	0	4	0	0	50	57	57464576	6.260318e-04	1.017949e-01
CNPY3	1143209	203	41	1998880	551552	0	6	1	0	50	32	49401600	6.878789e-04	1.108955e-01
RGS7	134467	834	-27	3692224	867008	0	12	2	0	50	75	55011360	7.684215e-04	1.218311e-01
RPL22	627248	240	31	969184	224192	0	4	0	0	50	35	51298304	7.686301e-04	1.218311e-01
C9orf43	390186	297	36	3426368	853120	0	12	2	0	13	12	12202592	8.822841e-04	1.386804e-01
GOLGA6L6	NaN	NaN	NaN	5701024	1099136	0	11	1	0	50	94	111572224	9.008926e-04	1.404350e-01
PLEKHB2	461881	331	16	1643744	430528	0	6	0	0	50	21	56384288	9.147509e-04	1.414265e-01
OR4D10	430021	507	-1	2111968	673568	0	10	1	0	50	51	59188672	9.331972e-04	1.431054e-01
ICOSLG	1128093	219	76	2177440	599168	0	6	1	0	50	42	57133248	1.141371e-03	1.736172e-01
CD300LG	1025836	241	19	2600032	798560	0	6	1	0	50	34	60583424	1.299241e-03	1.953882e-01
FXYD5	745516	357	-9	1309440	377952	0	5	0	0	50	45	49758720	1.305212e-03	1.953882e-01
PTH2	2173457	290	44	659680	265856	0	3	0	0	50	43	55313920	1.315742e-03	1.954136e-01
SPEN	823686	169	28	25153152	7734624	0	47	14	0	50	51	53158304	1.355553e-03	1.997534e-01
TTC39A	526044	281	10	4423328	1117984	0	9	1	0	50	48	73946656	1.489808e-03	2.178353e-01
SF3B1	736523	276	30	9416064	2592096	0	18	2	0	50	33	62993984	1.534146e-03	2.225928e-01
TCP10	254009	704	1	2342112	666624	0	10	0	0	50	60	69832832	1.621478e-03	2.334681e-01
PIWIL1	224466	621	-26	6274400	1659616	0	18	2	0	30	37	41810816	1.793660e-03	2.539945e-01
ATP2A1	1167826	218	55	7115616	2112960	0	14	3	0	50	53	74071648	1.796163e-03	2.539945e-01
EIF4A2	449980	384	25	2998816	768800	0	10	0	0	50	30	55738496	1.804435e-03	2.539945e-01
GIPC3	2160126	269	39	2195296	664640	0	4	0	0	50	29	60743136	1.843296e-03	2.575426e-01
AQP12A	1077835	446	25	1999872	684480	0	8	0	0	50	46	72194784	1.940892e-03	2.691846e-01
BPHL	444075	435	41	2089152	595200	0	5	0	0	50	45	71725568	1.967465e-03	2.708783e-01
GPRIN2	NaN	NaN	NaN	3062304	1047552	0	11	2	0	26	27	33307392	2.017293e-03	2.757259e-01
MUC12	NaN	NaN	NaN	35335040	12435712	0	84	19	0	26	44	44695552	2.115379e-03	2.870524e-01
RHOA	1623187	201	33	1407648	372000	0	7	0	0	50	36	54647296	2.162910e-03	2.914057e-01
MST1	1551582	271	48	5225856	1470144	0	8	0	0	27	14	40429952	2.609073e-03	3.490236e-01
FLT3LG	2173457	290	44	1659616	542624	0	5	0	0	50	43	55313920	2.631209e-03	3.495060e-01
SHISA4	736064	208	24	1392768	422592	0	5	1	0	19	26	33456192	2.837667e-03	3.742942e-01
KIAA0195	1928925	195	19	9633312	2839104	0	13	2	0	50	32	73066752	2.975122e-03	3.896996e-01
HLA-DRB5	1070559	595	14	1914560	534688	0	8	1	0	50	49	63308448	3.047098e-03	3.963749e-01
MYCT1	188249	600	-9	1625888	498976	0	7	0	0	50	50	74373216	3.477214e-03	4.492275e-01
SMTN	726734	202	32	6736672	2134784	0	11	1	0	21	7	21682144	3.804152e-03	4.881219e-01
DALRD3	1799657	241	41	3774560	1225120	0	9	1	0	50	44	63210240	3.876676e-03	4.940666e-01
CRYGA	321897	440	5	1263808	334304	0	5	0	0	50	45	47062464	3.964032e-03	5.018092e-01
PNMAL1	1099113	393	25	3123808	893792	0	8	0	0	38	23	47686432	4.050841e-03	5.093798e-01
ATP11A	585697	416	45	8860544	2370880	0	15	2	0	50	62	72015232	4.191555e-03	5.235836e-01
