gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
PRB2	175992	673	-18	111960	39840	0	10	0	0	50	8	3004960	1.400127e-05	1.330263e-01
CGB7	2070141	200	35	45440	15520	0	4	0	0	50	12	2038520	1.410521e-05	1.330263e-01
PIK3CA	401889	613	11	315760	78680	0	14	0	0	50	3	2453360	6.781848e-05	4.263974e-01
CSAG1	NaN	NaN	NaN	23280	6600	0	5	0	0	50	11	4461160	1.090970e-04	5.144471e-01
CDC27	955548	395	18	243840	63960	0	7	1	0	50	6	2449320	1.495569e-04	5.641886e-01
XAGE5	476232	NaN	26	33240	8160	0	5	0	0	50	11	2866000	5.489480e-04	1
ANPEP	934542	212	37	280000	77600	0	6	1	0	50	6	2357280	1.011388e-03	1
TMCC1	614377	357	40	184360	52520	0	3	0	0	50	2	2764480	1.193234e-03	1
PTEN	259678	300	34	121120	28160	0	3	0	0	50	6	2049200	1.237206e-03	1
CRIPAK	1018381	507	41	120800	40120	0	7	0	0	50	9	2747760	2.018056e-03	1
TMCO2	627703	373	18	52280	14560	0	3	0	0	50	3	2415360	2.308437e-03	1
SPHK2	1597109	242	31	173520	64680	0	3	1	0	50	4	2335000	2.886518e-03	1
SAA2	601955	371	17	38240	10360	0	3	0	0	50	4	2398400	2.981605e-03	1
IL13RA1	221322	NaN	44	128080	31040	0	2	0	0	50	3	2805160	3.772095e-03	1
B2M	673122	428	36	35440	9440	0	2	0	0	50	5	2251520	3.783772e-03	1
DHRS12	252271	384	33	96560	25360	0	2	0	0	50	3	2133360	3.794777e-03	1
NFE2L2	372300	145	36	174120	45960	0	7	0	0	50	9	2143400	4.655849e-03	1
SUMO1	371912	192	41	31920	6960	0	2	0	0	23	1	1140480	4.752011e-03	1
TRIM41	1034999	415	35	186880	54200	0	3	0	0	50	2	1673160	4.881819e-03	1
MAGEC1	17504	NaN	-11	317800	94280	0	10	1	0	50	16	3653880	5.371042e-03	1
ACPT	652250	593	27	117760	41000	0	3	0	0	50	17	2524400	5.842195e-03	1
UGT3A2	173490	614	-9	150600	40920	0	3	0	0	50	5	2863000	6.082656e-03	1
C11orf52	437513	221	22	36840	9480	0	2	0	0	50	8	2096680	6.308644e-03	1
OR5H6	391500	849	-2	91400	25960	0	3	0	0	50	6	2325360	6.945320e-03	1
PRG4	265627	419	-24	387000	124800	0	21	1	0	50	11	3019280	7.165614e-03	1
OR5M3	NaN	NaN	NaN	86320	24320	0	5	0	0	50	11	4478880	7.544505e-03	1
