gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
FAM194B	NaN	NaN	NaN	1132011	275940	0	81	2	0	50	157	24664656	0	0
KRTAP4-5	996799	468	-7	286452	73584	0	57	0	0	50	74	10544850	0	0
PIK3CA	401889	613	11	1728786	430773	0	71	0	0	8	4	1946472	0	0
PTPLA	488883	383	4	457710	128991	0	30	0	0	50	72	11238861	0	0
SMAD4	156084	422	41	879066	237177	0	32	0	0	50	64	15257511	0	0
TMPRSS13	527704	576	45	887607	264771	0	56	1	0	15	16	3754755	0	0
TP53	2069567	213	34	676491	186807	0	128	2	0	29	50	6302382	0	0
APC	247811	399	28	4415697	1229247	0	248	10	0	18	22	4172388	2.331468e-15	5.497020e-12
SOX9	159643	606	-41	781392	229074	0	31	1	0	22	43	5951763	3.441691e-15	7.213020e-12
RNF43	782135	399	22	1190046	376242	0	41	0	0	3	0	1130259	6.550316e-15	1.235521e-11
ZNF787	565708	480	-66	579036	183084	0	19	0	0	6	41	8014305	2.043921e-13	3.320898e-10
KCNN3	1958370	559	34	1139895	334413	0	36	6	0	6	10	1555119	2.112754e-13	3.320898e-10
NEFH	723458	203	35	1564536	457053	0	89	54	0	0	54	457053	2.351563e-11	3.411938e-08
PPM1E	469298	448	11	1177344	328500	0	24	5	0	10	18	2759619	4.000622e-11	5.389981e-08
PTEN	259678	300	34	663132	154176	0	24	1	0	50	63	11219370	6.982137e-11	8.779805e-08
RALY	873171	398	61	480048	146073	0	18	2	0	20	23	4897497	2.543928e-10	2.998974e-07
ACVR2A	90992	951	-2	828039	211335	0	19	2	0	50	77	12605640	1.185155e-09	1.314964e-06
IRF5	845100	361	49	799788	236301	0	52	8	0	1	9	291051	1.445074e-09	1.514277e-06
FBXW7	117295	501	51	1336776	358284	0	29	2	0	30	35	7178820	2.328628e-09	2.311715e-06
CD58	692758	418	19	405807	103368	0	13	0	0	32	32	9185079	2.703268e-09	2.549452e-06
B2M	673122	428	36	194034	51684	0	11	0	0	38	44	9883032	1.492383e-07	1.340445e-04
OPRD1	765350	208	27	556698	183741	0	22	1	0	50	53	13065102	2.010636e-07	1.723846e-04
FAM123B	57924	NaN	2	1728786	512898	0	25	2	0	21	38	5379954	7.243325e-07	5.940156e-04
HNRNPL	1989663	219	30	931626	264114	0	16	1	0	50	64	13437402	8.104017e-07	6.369082e-04
KRTAP4-3	996799	468	-7	310980	75336	0	29	4	0	8	9	609696	8.691493e-07	6.557558e-04
TCF7L2	156660	435	-9	1103541	301125	0	24	2	0	22	39	6250260	9.246229e-07	6.707784e-04
KRAS	259193	512	16	375366	90447	0	95	4	0	0	4	90447	2.539142e-06	1.773826e-03
MAL2	247332	442	-1	271341	87381	0	8	1	0	37	58	9611034	3.076943e-06	2.072761e-03
CDC42EP1	991778	176	51	574437	200823	0	12	1	0	50	73	12368463	3.858052e-06	2.509330e-03
GLTPD2	1272092	222	28	427926	158118	0	19	1	0	50	82	14697966	4.001012e-06	2.510826e-03
ATXN1	109777	623	30	1218735	392229	0	71	5	0	0	5	392229	4.243375e-06	2.510826e-03
CACNA1B	286606	675	29	3652482	1077918	0	47	12	0	34	58	8528298	4.259699e-06	2.510826e-03
RPL22	627248	240	31	213963	49494	0	8	0	0	50	90	11324928	5.725776e-06	3.272715e-03
AR	106188	NaN	-7	1426128	422013	0	34	5	0	50	94	12606516	7.143403e-06	3.962908e-03
PHF2	421433	612	29	1732947	484428	0	45	19	0	4	24	848625	7.767093e-06	4.185797e-03
TEAD2	2183690	309	30	704961	206955	0	11	0	0	21	24	5185920	8.899895e-06	4.663050e-03
BCL9	NaN	NaN	NaN	2154741	673644	0	21	2	0	37	96	17827476	1.286942e-05	6.560622e-03
TMEM184A	595899	243	38	642765	192939	0	18	3	0	8	34	4490595	1.875834e-05	9.311047e-03
ZFP36L2	227876	208	47	726642	251631	0	12	1	0	43	65	9218586	2.983545e-05	1.442965e-02
GNG12	476287	228	-7	118698	30441	0	5	0	0	50	85	13560699	3.413755e-05	1.609756e-02
MBD6	1347795	303	44	1457664	550128	0	18	3	0	21	44	10078161	5.259850e-05	2.419787e-02
SLC5A10	661956	198	16	946518	299811	0	11	1	0	50	54	11201850	5.901849e-05	2.607623e-02
VPS37B	977561	184	37	433401	138846	0	11	0	0	50	67	13945044	5.944640e-05	2.607623e-02
ARID1A	975965	182	27	3503562	1052076	0	30	3	0	2	4	1790106	6.643365e-05	2.847890e-02
OR6K2	175690	966	2	492093	148482	0	12	0	0	50	64	13169784	8.199402e-05	3.436825e-02
BAIAP2L2	1528130	197	73	831324	247470	0	11	2	0	50	62	13867080	8.565516e-05	3.512234e-02
CTSA	725555	209	59	801978	222285	0	10	1	0	46	59	11300181	9.206786e-05	3.694860e-02
KRT1	1441383	464	29	996012	297621	0	27	6	0	6	18	1435326	9.697145e-05	3.810574e-02
CRTC1	1398467	222	29	1003896	317331	0	13	1	0	50	56	12435696	1.182538e-04	4.539712e-02
HLA-B	2552688	347	28	568743	166440	0	23	4	0	3	15	1806093	1.203402e-04	4.539712e-02
B3GNT6	368988	395	37	567648	194472	0	20	4	0	7	10	1354077	1.342387e-04	4.964727e-02
NUDT11	118616	NaN	31	254259	74241	0	9	1	0	13	30	2831670	1.509412e-04	5.426173e-02
CTNNB1	305811	448	8	1225524	355218	0	23	1	0	50	48	11421507	1.524691e-04	5.426173e-02
