gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
IDH1	260367	539	17	863766	216576	0	15	0	0	50	13	18212688	0	0
PIK3CA	401889	613	11	2226108	554694	0	32	0	0	50	11	17296188	0	0
PTEN	259678	300	34	853896	198528	0	90	0	0	50	11	14446860	0	0
RB1	349930	450	41	1948056	497730	0	27	1	0	50	13	17828040	0	0
RPL5	582788	274	4	626886	156510	0	7	0	0	50	18	19174872	0	0
RPSA	160739	595	32	598968	172584	0	9	0	0	50	7	17688450	0	0
TP53	2069567	213	34	871098	240546	0	100	1	0	50	15	14614650	1.443290e-15	3.889048e-12
PIK3R1	48999	619	32	1600632	396774	0	30	0	0	50	6	15983760	4.107825e-15	9.685225e-12
EGFR	423489	336	-13	2676462	706692	0	95	7	0	4	7	1617270	7.228662e-13	1.514967e-09
ATRX	548517	NaN	8	5190774	1251516	0	17	2	0	50	11	16441446	2.137024e-08	4.030854e-05
STAG2	338292	NaN	7	2686896	645498	0	11	0	0	50	14	17342718	5.698472e-07	8.961766e-04
NF1	462449	396	26	5879418	1571304	0	40	1	0	1	1	1734864	5.701473e-07	8.961766e-04
PRB2	175992	673	-18	789318	280872	0	6	0	0	50	23	21184968	2.290994e-06	3.324056e-03
KEL	294033	676	2	1500522	420744	0	15	2	0	50	15	13785852	2.900191e-06	3.907386e-03
CDC27	955548	395	18	1719072	450918	0	7	0	0	50	10	17267706	3.956052e-05	4.974603e-02
LZTR1	577297	192	58	1721892	481092	0	11	0	0	50	7	16638564	6.673164e-05	7.866826e-02
GABRA6	12083	986	-6	925242	254082	0	11	1	0	50	16	14743806	8.106391e-05	8.752238e-02
PDGFRA	51422	518	27	2246130	594738	0	14	1	0	50	19	18238632	8.352258e-05	8.752238e-02
SPTA1	177547	940	1	5044698	1269846	0	29	1	0	27	17	11475426	1.395035e-04	1.384902e-01
KRTAP4-11	NaN	NaN	NaN	396774	102366	0	12	1	0	5	3	1981332	1.948552e-04	1.837680e-01
PROKR2	504598	489	14	759144	220524	0	7	0	0	50	7	17581008	3.208488e-04	2.881833e-01
SIGLEC8	393294	583	17	980796	310200	0	6	0	0	50	12	18556164	3.463396e-04	2.923927e-01
OR5AR1	NaN	NaN	NaN	610530	177096	0	7	0	0	50	31	31581744	3.648713e-04	2.923927e-01
CDKN2C	290894	417	2	335016	100674	0	3	0	0	50	14	18095376	3.720404e-04	2.923927e-01
REN	557652	370	34	830772	234342	0	5	0	0	50	8	17452134	5.455614e-04	4.116152e-01
QKI	81134	1131	1	764784	209808	0	5	0	0	50	17	15499566	7.722393e-04	5.602299e-01
HIST1H2BE	398813	636	53	247596	76422	0	3	0	0	50	8	10803138	8.340036e-04	5.826287e-01
DYNC1I1	184459	747	-7	1340628	353064	0	7	0	0	50	9	17810274	9.012356e-04	6.071109e-01
MUC4	920866	365	49	2394462	670596	0	13	3	0	50	13	19352814	1.031528e-03	6.709203e-01
SLCO6A1	132386	647	-12	1466400	404952	0	8	1	0	50	17	19134264	1.349040e-03	8.313926e-01
MMP13	374035	482	-10	981642	248442	0	7	0	0	50	13	19808526	1.366407e-03	8.313926e-01
LCE4A	169158	818	24	202758	54426	0	2	0	0	50	16	15988554	1.654774e-03	9.753860e-01
TPTE2	288628	778	-16	1120386	274668	0	8	0	0	20	4	4762416	1.803684e-03	1
TAS2R41	371260	379	1	601224	180480	0	5	0	0	50	13	16070052	1.976848e-03	1
OR8K3	10317	969	-43	611658	181044	0	6	1	0	50	22	14882832	2.049967e-03	1
HEATR7B2	211261	644	-5	3304476	861228	0	12	2	0	50	19	20634786	2.123931e-03	1
GABRA1	12179	927	-16	933984	256338	0	6	0	0	50	21	16066386	2.302249e-03	1
BCOR	377184	NaN	42	3477624	1026480	0	8	3	0	50	13	19808244	2.306678e-03	1
KRTAP20-2	28000	1055	-80	128592	38070	0	3	0	0	50	27	12632472	2.699014e-03	1
TGFA	715918	463	13	332196	93342	0	4	0	0	50	16	15337134	2.922342e-03	1
TRAT1	107009	961	-15	399030	92496	0	3	0	0	50	21	17912358	2.960366e-03	1
SULT1B1	14468	1020	1	633372	144102	0	7	1	0	14	12	6642228	3.027104e-03	1
OR5P2	103028	823	-1	626040	193734	0	4	0	0	50	17	17676888	3.139307e-03	1
DRD5	207324	923	30	929472	283692	0	9	1	0	50	14	14253126	3.321253e-03	1
COL1A2	461036	499	-14	2721300	920730	0	12	1	0	50	12	18428418	3.359127e-03	1
AZGP1	1584669	391	36	609120	161586	0	5	0	0	50	13	14985480	3.537258e-03	1
CD1D	120333	711	8	675390	194298	0	3	0	0	50	17	21387162	3.581158e-03	1
KDR	175189	706	3	2798850	743352	0	9	0	0	46	12	14922312	3.646931e-03	1
PLAC1L	336373	691	4	325992	87702	0	3	0	0	50	19	16980066	3.662085e-03	1
SLC5A7	122653	911	-16	1155918	345732	0	7	0	0	50	20	16898286	3.736522e-03	1
ATG12	384075	759	1	284538	83472	0	2	0	0	50	19	18402756	3.741408e-03	1
OR9G9	252874	882	-38	594174	180762	0	5	0	0	50	14	13416432	4.065761e-03	1
C1orf150	204354	957	-25	292152	68244	0	3	0	0	50	30	20452332	4.238214e-03	1
GPX5	247624	576	27	471222	107442	0	4	0	0	50	13	18229326	4.254767e-03	1
MRPL32	163131	744	-6	379854	108288	0	3	0	0	50	9	15396918	4.261825e-03	1
SEMA3C	114018	419	-27	1558896	407208	0	11	1	0	50	33	18109758	4.337476e-03	1
FAU	3267059	207	46	271566	83754	0	2	0	0	50	5	16225152	4.347428e-03	1
AP3S1	380598	759	6	407490	101802	0	3	0	0	50	19	19595334	4.354991e-03	1
MUC17	1124475	272	43	8462538	2985534	0	23	7	0	50	19	19864362	4.713363e-03	1
MSL3	53978	NaN	41	1143792	287640	0	4	0	0	50	14	17445366	5.248085e-03	1
KRTAP5-10	586193	626	50	399312	117594	0	2	0	0	50	11	13586478	5.305699e-03	1
FAM123C	607528	203	17	1649418	544260	0	7	1	0	50	9	15380844	5.455302e-03	1
SLC22A9	1061448	478	28	1115028	321480	0	5	0	0	50	10	18512454	5.733228e-03	1
RPL11	960799	225	28	377598	97008	0	2	0	0	50	14	16297908	5.841013e-03	1
C9orf131	782447	350	42	2104566	655086	0	6	0	0	50	8	19689240	6.279325e-03	1
NAP1L5	177679	486	8	369138	95316	0	2	0	0	50	14	16084998	6.288564e-03	1
TMPRSS6	699535	379	44	1643778	474606	0	6	0	0	50	9	21068220	6.472104e-03	1
UBC	1090586	206	33	1345422	400722	0	8	1	0	50	14	14152452	6.822949e-03	1
OR4D11	430021	507	-1	599814	192042	0	3	0	0	50	11	16825812	7.136910e-03	1
OR4D5	107524	830	-5	613632	195990	0	5	1	0	50	21	15570066	7.452038e-03	1
ACSM2B	166410	726	-6	1182144	328812	0	5	0	0	50	8	16266888	7.594583e-03	1
CALCR	197869	823	-10	1071600	267618	0	7	0	0	50	19	18175746	7.703661e-03	1
C15orf48	214586	299	16	181890	44838	0	2	0	0	50	17	13872708	7.710438e-03	1
DEPDC5	557139	336	19	3328728	876738	0	5	0	0	33	2	11285640	7.710663e-03	1
OR10G8	158396	830	-10	596994	194862	0	4	0	0	50	18	18891180	7.825614e-03	1
PSG3	386041	417	-19	865740	243366	0	6	2	0	25	13	8207328	7.944336e-03	1
TRPV6	284406	645	18	1469784	420180	0	8	1	0	50	21	19140750	8.001242e-03	1
RNF168	1173736	125	34	1166352	303996	0	4	0	0	50	10	18490740	8.036909e-03	1
WNT2	331093	392	5	734046	195708	0	5	0	0	50	16	16930434	8.060516e-03	1
KLRG1	301954	416	11	395928	101520	0	2	0	0	50	10	19123830	8.351017e-03	1
KRTAP10-12	819099	391	35	478836	147204	0	3	0	0	50	16	18573648	9.094397e-03	1
DAO	494991	393	49	714870	202194	0	4	0	0	40	7	15263250	9.400917e-03	1
TREML2	227466	611	41	634218	196554	0	4	0	0	50	7	12219342	9.808368e-03	1
OR5M3	NaN	NaN	NaN	608556	171456	0	4	0	0	50	31	31576104	9.816001e-03	1
ADAMTS16	89385	683	-23	2493726	689772	0	9	1	0	50	16	18159954	1.009725e-02	1
UGT2A3	NaN	NaN	NaN	1073010	285666	0	5	0	0	50	31	31690314	1.018535e-02	1
LUM	23173	523	-18	677646	189504	0	5	0	0	50	22	16108686	1.036629e-02	1
SIRPG	421072	486	32	769860	233496	0	3	0	0	50	7	13196190	1.104414e-02	1
TSPAN16	1385739	197	31	495474	149178	0	3	0	0	50	6	17609490	1.115874e-02	1
LPAR3	340292	614	-7	703026	202194	0	3	1	0	50	13	13906548	1.116731e-02	1
KIAA1704	685405	245	40	713460	176532	0	2	0	0	50	13	20332200	1.145993e-02	1
PSPH	749444	642	7	461634	128874	0	4	0	0	50	30	17883312	1.167239e-02	1
CSF2	362855	407	21	297792	82062	0	2	0	0	50	14	17176056	1.172213e-02	1
OR9G4	384896	828	-34	636756	194862	0	3	0	0	50	11	15110970	1.197205e-02	1
CD3EAP	1259254	191	39	993768	311610	0	3	0	0	50	14	17275038	1.214536e-02	1
KLF17	865527	167	38	774372	225600	0	5	0	0	50	17	16069488	1.244499e-02	1
RIMS2	198819	1035	-8	2878656	789600	0	13	2	0	50	25	16428474	1.256865e-02	1
OR4K5	431654	854	-49	628578	192042	0	3	1	0	50	11	14343930	1.263012e-02	1
GLIS1	598664	391	27	1212318	390852	0	4	0	0	50	5	14881986	1.360467e-02	1
