gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CASP8	571730	386	37	1309374	296208	0	34	0	0	50	39	18781668	0	0
CDKN2A	225405	357	-15	729810	190026	0	80	0	0	50	36	18911106	0	0
HRAS	1970020	236	42	472770	132192	0	14	0	0	50	34	17413848	0	0
ID3	1050775	159	32	254898	82926	0	2	0	0	50	32	15676074	0	0
JUB	1240941	185	38	1147806	362304	0	23	1	0	50	39	18856944	0	0
NOTCH1	1489379	212	43	5582052	1578348	0	75	7	0	19	21	8781282	0	0
PIK3CA	401889	613	11	2415564	601902	0	76	0	0	9	6	3729834	0	0
RAB21	260669	431	-3	508878	135558	0	2	0	0	50	25	17297262	0	0
S100A3	1454773	186	26	230724	57528	0	2	0	0	50	39	16655274	0	0
SERP2	190099	161	43	153000	36108	0	2	0	0	50	25	15200244	0	0
TP53	2069567	213	34	945234	261018	0	302	6	0	2	9	523566	2.220446e-16	3.807459e-13
FAT1	351973	513	-13	9906444	2827134	0	112	2	0	0	2	2827134	1.332268e-15	2.094103e-12
MLL2	1770671	214	65	11687670	3758598	0	73	3	0	0	3	3758598	3.210765e-13	4.658573e-10
NSD1	948717	227	42	5874282	1634040	0	46	2	0	12	5	4877334	1.185154e-10	1.596741e-07
NFE2L2	372300	145	36	1332018	351594	0	24	0	0	50	33	16397010	1.183502e-07	1.488215e-04
NBPF1	675669	259	40	2595492	634950	0	21	2	0	50	51	24673698	6.480466e-07	7.639659e-04
EPHA2	866090	197	37	2136186	613224	0	21	0	0	29	14	9778842	1.097847e-06	1.218094e-03
B2M	673122	428	36	271116	72216	0	7	0	0	50	42	17224128	1.501099e-06	1.572985e-03
PRIM2	177580	847	-16	1178406	281214	0	13	1	0	32	21	10932768	4.135402e-06	4.105366e-03
ZNF750	711691	350	16	1511640	485928	0	18	1	0	38	25	11443788	7.215778e-06	6.805200e-03
POTEC	NaN	NaN	NaN	1238994	293148	0	18	1	0	50	93	34370532	1.227227e-05	1.102284e-02
FLG	433645	548	21	8633484	2560608	0	73	12	0	50	46	19598994	1.401485e-05	1.201582e-02
POLDIP2	1405196	214	10	817020	235008	0	6	0	0	50	31	19339812	4.840504e-05	3.969634e-02
FBXW7	117295	501	51	1867824	500616	0	19	1	0	50	46	20636334	6.496036e-05	5.105343e-02
ARHGAP11B	220858	693	10	597618	162486	0	5	0	0	50	30	17249220	1.255317e-04	9.471118e-02
HLA-B	2552688	347	28	794682	232560	0	11	0	0	50	85	25365870	1.324988e-04	9.612276e-02
PSG8	386041	417	-19	945846	265914	0	12	1	0	50	32	16216164	1.566685e-04	1.094474e-01
PODXL	236261	220	27	1190034	378828	0	10	1	0	26	11	7297182	2.135696e-04	1.438696e-01
NUDT11	118616	NaN	31	355266	103734	0	6	1	0	13	15	3956580	2.650034e-04	1.723618e-01
RB1	349930	450	41	2113848	540090	0	11	2	0	50	39	19345320	2.835069e-04	1.757362e-01
ZNF737	NaN	NaN	NaN	1195542	294372	0	16	2	0	30	40	13754700	2.888253e-04	1.757362e-01
RAC1	NaN	NaN	NaN	472770	133110	0	10	0	0	50	92	34210494	2.982782e-04	1.758164e-01
EP300	1167197	154	42	5300838	1460232	0	30	1	0	13	3	4164354	3.140419e-04	1.794987e-01
C9orf150	77482	482	-32	490212	144126	0	7	0	0	50	54	16885080	3.861097e-04	2.142000e-01
RASA1	154501	726	24	2344266	639234	0	16	0	0	23	86	30195774	5.179990e-04	2.791571e-01
CSNK2A1	671817	229	40	893520	226440	0	10	0	0	50	39	19689570	6.576821e-04	3.445889e-01
IL32	1626425	234	44	439110	108936	0	4	0	0	50	39	19475676	7.068646e-04	3.603481e-01
ITGB1	390742	205	-15	1996038	476136	0	16	1	0	50	31	16841628	8.852380e-04	4.295257e-01
SEMA5A	45422	891	-2	2389860	647802	0	24	3	0	50	58	18402534	9.073259e-04	4.295257e-01
FCRL4	232460	820	28	1135872	325584	0	19	1	0	34	51	15488496	9.108805e-04	4.295257e-01
KRTAP1-5	977588	404	10	385560	98226	0	5	1	0	50	38	12271518	1.053975e-03	4.848801e-01
HIST1H2BD	398813	636	53	274176	82926	0	7	0	0	50	37	11722554	1.139552e-03	5.074274e-01
PRSS1	285408	636	11	548964	152388	0	11	1	0	16	16	5782482	1.156790e-03	5.074274e-01
TGFBR2	80018	417	-9	1309680	349146	0	16	2	0	50	72	18662940	1.259789e-03	5.400488e-01
OR8D4	89099	736	-8	667386	198288	0	7	0	0	48	60	21292398	1.301682e-03	5.439179e-01
OR2T12	18846	936	-35	675648	207468	0	14	1	0	22	25	6023610	1.326488e-03	5.439179e-01
PRAMEF11	NaN	NaN	NaN	946458	264384	0	12	1	0	50	93	34341768	1.415255e-03	5.679689e-01
POM121L12	10922	1116	-24	614142	205632	0	18	2	0	16	38	5773302	1.490071e-03	5.702389e-01
LOC642587	199789	427	-2	217566	73440	0	2	0	0	50	18	19435284	1.504314e-03	5.702389e-01
PSIP1	200332	583	6	1249398	291006	0	9	0	0	50	38	17848062	1.511608e-03	5.702389e-01
TUFT1	1379189	176	30	895662	227052	0	6	0	0	32	19	13798458	1.626287e-03	6.013678e-01
FOSL2	465927	197	30	688806	222768	0	7	0	0	50	45	18765756	1.657890e-03	6.013678e-01
HIST1H1B	228884	634	40	474606	154224	0	10	2	0	18	13	3602232	2.074006e-03	7.381114e-01
OR56A1	432250	877	-13	671976	210222	0	10	1	0	50	50	15596514	2.159858e-03	7.544303e-01
KEAP1	1996822	207	30	1349460	390150	0	16	3	0	50	41	16412922	2.460519e-03	8.366282e-01
C9orf135	243260	478	-8	524178	131274	0	6	0	0	50	38	16790526	2.483892e-03	8.366282e-01
STAG3L2	745065	173	55	313344	80478	0	3	0	0	50	35	18573588	2.775439e-03	9.184268e-01
CUL3	255624	463	20	1737468	435438	0	14	1	0	50	47	21614004	2.846409e-03	9.256717e-01
ZBTB22	1456953	262	30	1303254	449208	0	9	2	0	50	22	18003510	3.342787e-03	1
MAGEA6	203033	NaN	-1	672894	198288	0	8	0	0	50	36	20492514	3.675478e-03	1
ALDH1A2	187239	674	-1	1158822	318240	0	8	0	0	36	17	11861478	3.743573e-03	1
HIST1H2BG	390169	544	57	269586	82926	0	5	0	0	50	25	11915640	3.806568e-03	1
SFRP1	248918	632	-4	691254	183600	0	5	0	0	50	51	20313504	3.916335e-03	1
SULF1	137404	578	-19	1982574	488682	0	13	0	0	20	20	9981108	3.919561e-03	1
WIPF1	463489	400	39	1044990	368730	0	9	0	0	50	37	19714968	4.292112e-03	1
PA2G4	2785610	165	39	906066	225828	0	7	0	0	36	19	13472874	4.450356e-03	1
COPZ1	664708	190	45	415548	105876	0	5	0	0	50	34	19174878	4.480851e-03	1
ZCCHC3	1010597	348	24	845478	271728	0	5	0	0	50	42	18762084	4.788767e-03	1
NMI	215149	617	17	705024	168912	0	7	0	0	50	26	15545106	4.793260e-03	1
DOK6	50550	968	-4	754290	185742	0	13	0	0	50	63	16122528	4.971677e-03	1
MS4A14	433906	899	24	1483182	404226	0	12	0	0	20	13	7685190	4.983982e-03	1
PEX11A	880974	190	35	534582	157590	0	5	0	0	50	30	19156212	4.984216e-03	1
KIAA1529	378658	528	34	3740238	935136	0	14	1	0	15	3	6733836	4.990599e-03	1
SMAD4	156084	422	41	1228284	331398	0	10	1	0	50	50	21318714	5.331123e-03	1
MCF2L2	398145	606	24	2534904	644130	0	12	1	0	48	20	17492796	5.527153e-03	1
PRB3	311837	673	-1	645048	225216	0	11	3	0	20	26	4598874	5.642976e-03	1
C6orf153	1200368	259	40	582012	157896	0	5	0	0	35	29	12876786	6.002368e-03	1
KDM6A	59340	NaN	36	3123342	840582	0	10	0	0	25	12	10426950	6.236500e-03	1
PMAIP1	200064	434	48	119952	35190	0	2	0	0	50	36	21912660	6.479020e-03	1
HIST1H3E	390169	544	57	284580	94554	0	6	0	0	50	25	11915640	6.681062e-03	1
ACTC1	521214	306	-1	829566	233478	0	8	1	0	50	35	20078802	6.919014e-03	1
KPRP	64902	818	18	1222776	378216	0	9	1	0	29	25	11029464	7.105734e-03	1
LPAR4	16059	NaN	22	792234	233172	0	8	0	0	50	49	17498304	7.152502e-03	1
TPTE	30271	1268	-81	1274490	322830	0	19	4	0	34	54	7623378	7.250656e-03	1
TMEM121	689089	298	41	649332	231948	0	5	0	0	7	3	2608038	7.413569e-03	1
CDH10	30232	737	-29	1726452	483174	0	28	4	0	18	30	5468832	7.682761e-03	1
PTEN	259678	300	34	926568	215424	0	7	0	0	32	22	10379520	7.806366e-03	1
MLEC	1741363	349	42	633114	188496	0	4	0	0	50	28	16184340	7.950139e-03	1
KRTAP5-10	586193	626	50	433296	127602	0	6	0	0	50	41	14742774	8.016380e-03	1
C3orf59	34577	631	8	1062126	296514	0	9	1	0	49	63	21292092	8.058503e-03	1
CLEC4E	321790	564	13	505512	118728	0	5	0	0	50	40	18655596	8.312335e-03	1
PLSCR1	123426	671	-12	724608	183294	0	6	0	0	50	58	22361562	8.369122e-03	1
C5orf23	477035	487	-15	262854	73134	0	3	0	0	50	33	19524636	8.371430e-03	1
KRTAP4-1	996799	468	-7	282744	75276	0	3	0	0	50	34	14733900	8.503254e-03	1
