gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
BAP1	1078407	229	62	2575295	744847	0	44	1	0	40	7	19263403	0	0
C16orf3	NaN	NaN	NaN	394764	129624	0	6	0	0	50	33	54809348	0	0
CD7	2856070	193	24	798857	283798	0	4	0	0	50	12	27383070	0	0
PBRM1	1217701	231	47	5904766	1491167	0	140	4	0	50	21	32658374	0	0
PTEN	259678	300	34	1486748	345664	0	21	0	0	50	13	25153930	0	0
STAG3L2	745065	173	55	502784	129133	0	6	0	0	50	11	29802718	0	0
VHL	825905	170	39	734536	222914	0	234	7	0	1	7	293618	7.327472e-15	1.974440e-11
SETD2	593886	365	46	9005431	2450090	0	53	1	0	50	14	27450337	8.659740e-15	2.041750e-11
KDM5C	877207	NaN	80	5540444	1646323	0	27	1	0	16	6	10547171	1.694755e-11	3.551831e-08
NEFH	723458	203	35	3507704	1024717	0	12	0	0	40	10	22554085	4.952137e-08	9.340722e-05
ZNF717	NaN	NaN	NaN	3273988	791492	0	10	1	0	50	34	55471216	3.736558e-06	6.407179e-03
KANK3	752886	204	7	2739289	952049	0	7	0	0	50	12	31221217	2.230577e-05	3.506096e-02
PLAC4	187016	530	-16	485599	181670	0	5	1	0	26	5	11761905	4.140175e-05	6.007076e-02
TP53	2069567	213	34	1516699	418823	0	10	1	0	50	16	25446075	5.221240e-05	7.034502e-02
KRTAP7-1	NaN	NaN	NaN	307857	83961	0	3	0	0	50	33	54763685	8.857914e-05	1.113853e-01
MAGEC1	17504	NaN	-11	3900995	1157287	0	13	2	0	50	26	44851377	9.528960e-05	1.123345e-01
FAM174B	281213	478	-17	529789	189035	0	3	0	0	50	11	32816476	3.187902e-04	3.537071e-01
POLDIP2	1405196	214	10	1310970	377088	0	5	0	0	50	18	31032182	3.518535e-04	3.687034e-01
PLA2G4E	733131	267	42	2986262	831754	0	8	0	0	37	12	23071599	5.074536e-04	4.895755e-01
AVIL	1106109	238	40	2944527	788055	0	6	1	0	50	3	23992715	5.191130e-04	4.895755e-01
WDR73	341520	263	32	1329628	389363	0	5	0	0	50	19	28871782	6.922314e-04	6.217556e-01
TMEM37	203559	497	35	645665	207202	0	4	0	0	50	13	28694040	8.078982e-04	6.926625e-01
CD300E	876565	484	14	719315	214567	0	5	0	0	50	8	24479787	9.552068e-04	7.833526e-01
TCEB1	258047	417	25	413422	103601	0	4	0	0	50	7	23774711	1.090463e-03	8.570132e-01
KRTAP19-6	22916	1048	-79	203274	60393	0	2	0	0	50	12	22422988	1.215313e-03	9.169291e-01
LGALS9B	384584	413	-6	1281510	353520	0	4	0	0	50	13	32095197	1.443309e-03	9.933525e-01
OR5P2	103028	823	-1	1090020	337317	0	5	0	0	50	19	30777844	1.453980e-03	9.933525e-01
LILRB4	978578	625	-1	1590349	458594	0	6	0	0	50	24	30561313	1.474598e-03	9.933525e-01
LMOD3	264082	443	20	1996897	493946	0	4	0	0	50	12	31820728	1.559383e-03	1
CDKN2A	225405	357	-15	1171035	304911	0	5	0	0	50	18	30344291	1.704795e-03	1
FMN2	55160	851	-26	5800674	1913427	0	13	3	0	50	20	30128251	1.738310e-03	1
L1TD1	274287	422	-1	3069241	763505	0	8	0	0	50	13	28428409	1.826289e-03	1
CCNB2	748599	329	34	1428319	381998	0	5	0	0	50	13	32121711	1.901322e-03	1
POLI	98827	436	44	2640598	689855	0	5	0	0	50	8	29395679	2.042762e-03	1
RBMX	275533	NaN	28	1540267	323078	0	4	0	0	50	10	29652963	2.051352e-03	1
NDUFA4L2	2162032	238	58	321605	84943	0	2	0	0	50	16	33221551	2.084977e-03	1
UBXN11	1021101	217	22	1850579	537154	0	5	0	0	50	6	25590920	2.264952e-03	1
NUDT11	118616	NaN	31	570051	166449	0	3	0	0	50	23	30139053	2.665716e-03	1
PRSS16	161388	645	24	1767109	576434	0	5	1	0	50	14	28574727	2.752026e-03	1
ABO	1865433	416	45	1237811	367759	0	4	0	0	50	18	24779788	2.768332e-03	1
TSPAN19	22140	974	-27	927990	219477	0	5	0	0	50	27	32450681	2.775931e-03	1
C1orf52	348743	384	3	655485	167922	0	4	0	0	50	14	27793055	2.862319e-03	1
ZNF772	451095	869	-24	1760726	428152	0	5	0	0	50	18	24741490	2.971268e-03	1
OR4C3	278638	642	-40	1112115	343209	0	4	0	0	50	21	30144945	3.395368e-03	1
C20orf106	264053	455	-17	612768	164976	0	2	0	0	50	6	28886512	3.497218e-03	1
AIM1L	1021101	217	22	2196243	624552	0	4	1	0	50	6	25590920	4.154987e-03	1
CD300LG	1025836	241	19	1286911	395255	0	5	0	0	50	13	29986352	4.313257e-03	1
BAT1	2515825	220	35	1549105	405566	0	4	0	0	50	14	30101246	4.313631e-03	1
FAM70B	782003	465	45	1128809	369232	0	4	0	0	50	13	29165400	4.629604e-03	1
AQP12B	1077835	446	25	1018825	356957	0	3	0	0	42	15	30592246	4.972824e-03	1
KLRC2	378365	334	-0	846975	210639	0	4	0	0	50	20	29930869	5.017106e-03	1
ANAPC16	764632	140	40	390345	117840	0	2	0	0	50	15	29058853	5.028617e-03	1
GATA2	937778	274	52	1637485	517514	0	5	0	0	33	7	19942456	5.263394e-03	1
OVGP1	397926	461	18	2365638	696729	0	5	0	0	50	13	29306317	5.295033e-03	1
CASP5	45234	626	-20	1622264	413422	0	3	0	0	50	8	29519411	5.373957e-03	1
CENPW	142596	704	-1	313258	91817	0	2	0	0	50	12	29202225	5.724117e-03	1
OR4C45	NaN	NaN	NaN	1060069	296564	0	4	0	0	50	33	54976288	6.314788e-03	1
PLEKHA2	487952	201	38	1524555	422751	0	5	0	0	50	18	24172912	6.642219e-03	1
NPNT	262174	361	7	2187405	598038	0	6	0	0	50	8	25209413	6.675750e-03	1
RPS21	1190359	252	33	323569	80033	0	2	0	0	50	16	22122496	6.847987e-03	1
AGK	227799	887	16	1543704	413913	0	5	0	0	50	15	34145613	6.911143e-03	1
OR4N2	275024	858	-57	1040429	319150	0	4	0	0	50	14	25135763	7.034260e-03	1
ZCCHC3	1010597	348	24	1356633	436008	0	4	1	0	35	10	19993520	7.746889e-03	1
MGST3	321831	408	-0	548938	156629	0	2	0	0	50	17	30191590	7.774514e-03	1
TEX13A	9759	NaN	2	1397877	428643	0	4	1	0	50	10	26158025	7.873860e-03	1
RPL5	582788	274	4	1091493	272505	0	3	0	0	50	20	33386036	7.914970e-03	1
SIRPA	467799	486	41	1753361	525370	0	4	1	0	50	16	31931203	8.027695e-03	1
PODXL	236261	220	27	1909499	607858	0	5	1	0	50	17	26976522	8.122869e-03	1
HMGN2	1003175	167	31	347137	84452	0	2	0	0	50	14	26905818	8.835298e-03	1
SFRP4	100826	683	10	1235847	327006	0	4	1	0	50	19	36734656	8.851941e-03	1
C5orf13	118271	617	34	425206	105074	0	2	0	0	50	16	26157043	8.885870e-03	1
NAT9	983414	484	17	760559	193945	0	3	0	0	50	12	26936260	9.000763e-03	1
NDUFC1	387523	299	20	276433	81506	0	2	0	0	50	23	32624986	9.220242e-03	1
KLK13	490795	632	22	956468	298528	0	4	0	0	35	11	18058980	1.003474e-02	1
KRTAP9-2	996799	468	-7	614732	161539	0	3	0	0	50	16	23641650	1.021196e-02	1
HOXC8	1185281	279	54	856304	223405	0	3	0	0	50	14	26592560	1.030729e-02	1
PRKRA	159623	482	29	1172999	300001	0	3	0	0	50	21	33020241	1.095336e-02	1
CHMP1B	NaN	NaN	NaN	696238	187562	0	3	0	0	50	33	54867286	1.129366e-02	1
MCPH1	128440	702	9	2992645	790019	0	6	0	0	50	17	37842352	1.132007e-02	1
