gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
PLAC4	187016	530	-16	169119	63270	0	8	0	0	50	12	12499587	0	0
SPRR3	426723	748	28	202464	61218	0	6	0	0	50	6	9731610	0	0
NBPF1	675669	259	40	1450422	354825	0	12	0	0	47	13	11752488	1.374997e-07	8.645064e-04
ATP1B1	231221	416	19	381159	96957	0	8	0	0	50	6	9064026	1.145736e-06	5.402717e-03
KRTAP5-10	586193	626	50	242136	71307	0	6	0	0	50	10	8238609	3.898752e-06	1.470765e-02
IL32	1626425	234	44	245385	60876	0	4	0	0	50	12	10883466	3.023909e-05	9.506163e-02
ACTB	1906749	195	34	456912	132012	0	10	0	0	50	12	10929294	4.523648e-05	1.218929e-01
TMEM184A	595899	243	38	501885	150651	0	5	0	0	50	8	10617390	6.658999e-05	1.480132e-01
TP53	2069567	213	34	528219	145863	0	8	0	0	50	3	8862075	7.062445e-05	1.480132e-01
ANKLE1	865138	212	38	721791	242649	0	7	1	0	50	11	9061461	9.334036e-05	1.760586e-01
ARHGAP11B	220858	693	10	333963	90801	0	4	0	0	50	11	9639270	1.257585e-04	2.156416e-01
HRCT1	853975	298	55	133038	46512	0	4	0	0	50	5	8254683	1.406077e-04	2.170843e-01
STAG2	338292	NaN	7	1629288	391419	0	9	1	0	50	8	10516329	1.496180e-04	2.170843e-01
BHMT	164477	578	36	505305	135432	0	6	0	0	50	8	9492210	2.788286e-04	3.534146e-01
PIPOX	1752742	236	34	479484	136629	0	6	0	0	50	5	10866537	2.810529e-04	3.534146e-01
FOXE1	468629	276	38	422028	153558	0	4	0	0	44	6	7853688	3.216645e-04	3.792023e-01
ELF3	751933	168	31	466659	122265	0	6	0	0	50	5	9692793	4.107185e-04	4.484557e-01
KDM6A	59340	NaN	36	1745397	469737	0	8	0	0	32	3	7704576	4.599455e-04	4.484557e-01
OGG1	954590	264	39	718200	189297	0	6	0	0	50	4	12651948	4.745231e-04	4.484557e-01
STAG3L2	745065	173	55	175104	44973	0	3	0	0	50	13	10379358	4.755124e-04	4.484557e-01
PRB2	175992	673	-18	478629	170316	0	4	0	0	50	17	12846204	5.969840e-04	5.122527e-01
