gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
FUBP1	373296	256	1	1362346	382925	0	26	1	0	50	12	20705405	0	0
GAGE2B	NaN	NaN	NaN	256343	62713	0	4	0	0	50	22	32246909	0	0
IDH1	260367	539	17	885207	221952	0	220	0	0	50	2	18664776	0	0
IL32	1626425	234	44	414715	102884	0	10	0	0	50	12	18393694	0	0
MESP2	934542	212	37	771341	267325	0	6	0	0	50	6	17031348	0	0
NUDT11	118616	NaN	31	335529	97971	0	7	0	0	50	6	17739687	0	0
PIK3CA	401889	613	11	2281366	568463	0	28	0	0	50	6	17725526	0	0
STAG3L2	745065	173	55	295936	76007	0	5	0	0	50	5	17541722	0	0
STK19	2314693	203	34	780878	247384	0	19	0	0	50	6	18848002	0	0
TP53	2069567	213	34	892721	246517	0	191	2	0	26	8	6559433	0	0
CIC	790787	299	37	3138251	1114384	0	64	1	0	50	9	20688643	1.221245e-15	2.094103e-12
ATRX	548517	NaN	8	5319623	1282582	0	128	2	0	50	12	16849567	2.997602e-15	4.711731e-12
NBPF1	675669	259	40	2451298	599675	0	12	0	0	50	6	23302937	1.675138e-11	2.430496e-08
NOTCH1	1489379	212	43	5271938	1490662	0	36	1	0	20	5	8329847	1.727851e-10	2.327909e-07
PTEN	259678	300	34	875092	203456	0	13	0	0	50	7	14805470	6.084625e-09	7.651213e-06
PIK3R1	48999	619	32	1640364	406623	0	14	1	0	50	9	16380520	7.022259e-09	8.278366e-06
IDH2	851518	192	38	954567	260100	0	12	0	0	50	2	14871073	3.139390e-08	3.483245e-05
ARID1A	975965	182	27	4623422	1388356	0	15	0	0	18	1	8002410	9.482036e-08	9.936120e-05
EGFR	423489	336	-13	2742899	724234	0	21	2	0	50	6	15614959	2.761815e-07	2.741756e-04
UBC	1090586	206	33	1378819	410669	0	13	1	0	50	3	14503754	6.184955e-07	5.833031e-04
TCF12	203021	599	27	1553375	421651	0	9	0	0	50	10	17303875	7.467962e-07	6.707652e-04
KRTAP1-5	977588	404	10	364140	92769	0	7	0	0	50	3	11589767	2.642202e-06	2.265328e-03
PTPN18	369510	593	29	964971	284376	0	6	0	0	50	6	17027013	1.159098e-05	9.505613e-03
POU4F2	38882	987	-10	818159	251719	0	6	0	0	50	15	19087872	1.225556e-05	9.631850e-03
CRIPAK	1018381	507	41	872780	289867	0	6	0	0	50	11	19852566	1.857415e-05	1.401383e-02
TPTE	30271	1268	-81	1203685	304895	0	9	2	0	35	7	7535675	2.147557e-05	1.557970e-02
SLC6A3	606209	490	30	1283449	380324	0	8	0	0	50	6	21639164	3.808990e-05	2.660932e-02
VAV3	132139	554	-11	1865495	453730	0	8	0	0	50	19	17442595	4.922063e-05	3.315713e-02
CREBZF	325720	554	-19	689843	233512	0	5	0	0	50	17	20072495	9.735798e-05	6.332297e-02
BCOR	377184	NaN	42	3563948	1051960	0	10	3	0	50	11	20299938	2.492106e-04	1.555543e-01
HDAC2	217826	610	14	1068722	248251	0	4	0	0	50	7	18456696	2.556560e-04	1.555543e-01
