gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CTNNB1	305811	448	8	1130392	327644	0	61	3	0	50	58	10534906	0	0
TP53	2069567	213	34	623978	172306	0	68	2	0	26	30	4584794	3.330669e-16	3.141154e-12
RB1	349930	450	41	1395416	356530	0	21	1	0	18	27	5618832	1.327883e-07	8.348843e-04
BAP1	1078407	229	62	1059490	306434	0	12	1	0	50	41	11856390	1.412192e-06	6.659190e-03
KIAA0040	NaN	NaN	NaN	144834	36966	0	8	0	0	50	151	22532494	4.884006e-06	1.842442e-02
AXIN1	1444992	205	40	1230180	362994	0	15	2	0	37	57	14515720	6.475961e-06	2.035826e-02
ALB	315782	613	8	915666	228462	0	27	4	0	6	14	1431978	1.093597e-05	2.946776e-02
PTEN	259678	300	34	611656	142208	0	12	1	0	50	50	10348460	2.048111e-05	4.828934e-02
KRTAP4-7	NaN	NaN	NaN	224624	58984	0	11	1	0	20	30	4800934	3.377800e-05	7.079119e-02
FAM104B	214019	NaN	18	248258	54742	0	7	1	0	50	89	11810738	1.780090e-04	3.357605e-01
BAGE3	NaN	NaN	NaN	171498	49086	0	8	0	0	50	151	22544614	2.340450e-04	4.013234e-01
OR2T2	112460	903	-20	449046	141804	0	9	1	0	50	107	12536322	2.650239e-04	4.165734e-01
ARID1A	975965	182	27	3231596	970408	0	26	4	0	6	24	3876986	6.988097e-04	1
LCE4A	169158	818	24	145238	38986	0	11	1	0	7	11	1212606	7.442397e-04	1
CDHR5	1774224	236	57	1179882	392082	0	16	1	0	50	31	10138380	8.481880e-04	1
NBPF1	675669	259	40	1713364	419150	0	13	1	0	24	40	8081414	1.018035e-03	1
SPDYE1	1042621	239	49	499344	127866	0	12	0	0	50	47	11001122	1.217901e-03	1
PPIAL4G	119504	375	34	238158	63024	0	9	0	0	50	62	11531776	1.473660e-03	1
ATXN1	109777	623	30	1124130	361782	0	15	1	0	10	14	3257856	1.582354e-03	1
ANXA13	492587	192	12	538128	140592	0	8	0	0	48	67	13170602	2.273470e-03	1
PLA2G2F	567393	501	23	314514	81810	0	7	0	0	50	50	9921634	2.349047e-03	1
KRTAP4-11	NaN	NaN	NaN	284214	73326	0	19	2	0	2	5	559338	2.645049e-03	1
CDKN1A	904665	228	37	229068	75750	0	6	0	0	50	44	10508646	3.887860e-03	1
MUC7	264556	861	26	505606	186446	0	12	1	0	50	91	13094650	3.957430e-03	1
BBS9	233203	759	-6	1316232	351480	0	14	1	0	50	56	12558340	4.005417e-03	1
GPX1	1661046	201	34	299162	101404	0	7	0	0	50	51	11704486	4.256915e-03	1
HESX1	454806	389	37	275932	69488	0	4	0	0	50	75	12124848	4.614776e-03	1
ZC3H11A	521302	280	32	1183518	327240	0	16	2	0	8	7	1718818	4.633812e-03	1
HNF1A	1225663	380	40	890618	281386	0	14	2	0	50	41	10133330	4.866860e-03	1
HSP90AA1	1488666	145	41	1262904	318150	0	12	1	0	50	63	16689038	5.978729e-03	1
GPATCH4	2049505	180	37	574892	137764	0	11	1	0	50	42	10823968	6.027937e-03	1
PRB4	311837	673	-1	341582	117766	0	7	0	0	50	62	9320684	6.463043e-03	1
SAA2	601955	371	17	193112	52318	0	5	0	0	50	59	12111920	7.144641e-03	1
ALDH3B1	1357582	356	31	666196	204626	0	6	0	0	35	36	8480970	1.738110e-02	1
ZNF705A	172474	438	26	450056	108070	0	9	0	0	50	61	11581266	1.915633e-02	1
MDK	817153	212	45	214524	56358	0	3	0	0	50	46	12731050	1.928310e-02	1
AP4M1	1401098	205	46	660136	200384	0	8	0	0	50	59	14144242	1.942391e-02	1
ARPC2	724341	197	30	458944	113726	0	5	0	0	50	38	10318160	1.965194e-02	1
DRAP1	3779084	287	42	307040	82012	0	4	0	0	50	49	11201910	1.994263e-02	1
TREH	1449531	161	45	859308	236946	0	7	1	0	50	57	13214032	2.184620e-02	1
KRTAP19-8	200531	972	-45	93728	25048	0	3	0	0	50	66	9846692	2.256788e-02	1
ZMIZ2	1289776	164	55	1304920	413090	0	9	1	0	50	41	12516728	2.267207e-02	1
PRMT1	1733181	195	36	560146	141602	0	6	0	0	50	50	12887802	2.296058e-02	1
OR11H12	141957	747	-11	458944	134330	0	6	0	0	50	71	13072026	2.305566e-02	1
MMP19	1909014	256	38	733058	211696	0	7	1	0	36	21	7489554	2.313024e-02	1
LILRA6	717623	458	-6	686598	206646	0	13	3	0	22	36	4616104	2.323799e-02	1
SPINK6	63265	390	-8	124432	30098	0	5	0	0	50	97	12537130	2.391710e-02	1
IL6ST	317374	438	51	1358248	348854	0	14	3	0	50	85	13295640	2.407902e-02	1
OR2T4	104321	936	-39	493082	141400	0	20	4	0	9	17	1385922	2.436269e-02	1
CHMP6	1660463	211	27	307040	78376	0	4	1	0	50	61	12726606	2.536069e-02	1
IL17REL	895187	271	36	495102	146652	0	6	1	0	50	71	15435022	2.556742e-02	1
CLECL1	251092	648	8	245834	62014	0	6	0	0	34	44	8423198	2.572374e-02	1
