gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CD4	2819394	232	40	1781318	499264	0	19	1	0	31	39	19630544	0	0
CNIH	399536	371	17	584268	145260	0	5	0	0	50	92	32784106	0	0
DAP3	2240116	152	32	1596246	413184	0	5	2	0	50	105	35767316	0	0
GAGE2B	NaN	NaN	NaN	477206	116746	0	9	0	0	50	229	60030578	0	0
GOLT1A	557652	370	34	515404	154406	0	14	0	0	34	80	22797212	0	0
HAX1	1653296	236	29	1098596	295900	0	21	1	0	39	73	26389976	0	0
HEBP1	701221	196	10	737060	202288	0	23	0	0	50	101	34182368	0	0
KCTD6	567081	265	35	914600	250708	0	17	0	0	50	64	33069784	0	0
KRAS	259193	512	16	922132	222194	0	177	0	0	50	131	31010320	0	0
MUC7	264556	861	26	1346614	496574	0	36	2	0	45	145	33028358	0	0
ODF1	525392	236	55	967862	253936	0	13	0	0	50	80	33775102	0	0
POLR2K	810757	396	25	255550	49496	0	3	0	0	50	153	43391852	0	0
PSME2	974559	220	41	986692	246404	0	7	1	0	50	95	37124690	0	0
RBM10	819569	NaN	38	3643336	1006598	0	50	2	0	7	12	5084100	0	0
S100A6	1454773	186	26	362612	94150	0	2	0	0	50	69	29282802	0	0
SNRPN	NaN	NaN	NaN	904916	300742	0	23	2	0	26	67	17796502	0	0
SPRR3	426723	748	28	636992	192604	0	30	1	0	50	171	30617580	0	0
STK11	2214581	234	29	1692548	466984	0	86	2	0	6	4	2935866	0	0
TCEAL5	455954	NaN	17	810228	198522	0	19	1	0	50	119	34649890	0	0
TDRD10	1804226	337	43	1492412	412108	0	21	1	0	50	72	29822954	0	0
TLX1NB	469702	221	52	447078	148488	0	2	0	0	50	64	29758932	0	0
TMCO2	627703	373	18	703166	195832	0	10	0	0	33	39	21260146	0	0
TP53	2069567	213	34	1661882	458914	0	357	4	0	10	8	3400698	0	0
NBPF1	675669	259	40	4563316	1116350	0	58	3	0	42	79	32816924	1.332268e-15	1.047051e-12
IL32	1626425	234	44	772030	191528	0	36	2	0	4	14	3066600	2.664535e-15	2.010339e-12
KEAP1	1996822	207	30	2372580	685950	0	107	2	0	15	24	10105254	3.441691e-15	2.496815e-12
RB1	349930	450	41	3716504	949570	0	36	1	0	6	5	4071046	4.862777e-14	3.397100e-11
SMARCA4	1984564	190	40	6539928	1835118	0	52	3	0	10	9	8751646	1.817435e-13	1.224302e-10
COL11A1	37620	742	-20	7244708	2184280	0	165	17	0	8	38	6320424	1.016298e-12	6.610143e-10
ARID1A	975965	182	27	8606924	2584552	0	60	3	0	17	30	14597016	2.320990e-10	1.459284e-07
EGFR	423489	336	-13	5106158	1348228	0	89	8	0	1	10	1915818	2.683790e-10	1.632956e-07
SSX3	660654	NaN	14	850578	193680	0	30	0	0	2	2	1844802	3.406796e-09	2.008093e-06
TERF2IP	449343	354	18	1505862	443850	0	17	1	0	17	19	10856302	8.318661e-09	4.754745e-06
SAMD7	400118	622	17	1725366	484200	0	28	2	0	19	28	8382040	2.968262e-08	1.646687e-05
SYCP1	601139	601	2	4040918	889852	0	21	1	0	17	17	16717812	2.310918e-07	1.245387e-04
BRAF	305191	616	25	2984824	841970	0	52	1	0	6	24	6168708	2.432955e-07	1.274733e-04
NF1	462449	396	26	11216762	2997736	0	95	7	0	0	7	2997736	4.593485e-07	2.341684e-04
CST4	189028	819	-21	550912	152792	0	21	0	0	15	75	7892998	5.051643e-07	2.507476e-04
ACSM2B	166410	726	-6	2255296	627308	0	36	5	0	8	20	5704414	5.482786e-07	2.651700e-04
ELTD1	74049	903	-17	2731426	704780	0	43	2	0	5	15	4687056	9.467217e-07	4.454900e-04
S100A7	1140114	279	38	416950	93074	0	18	0	0	50	101	26973706	9.683539e-07	4.454900e-04
ZEB1	323935	635	16	4378782	1142712	0	61	7	0	11	43	9717894	1.029006e-06	4.595860e-04
KIAA2022	251853	NaN	7	5815780	1548902	0	68	7	0	27	50	15493324	1.047725e-06	4.595860e-04
GRB2	1869080	157	24	868332	213048	0	13	1	0	50	66	35461194	1.217649e-06	5.219838e-04
BTK	374364	NaN	37	2656644	655284	0	32	2	0	25	45	16867376	1.369441e-06	5.740086e-04
FAM151A	723136	415	20	2192888	696172	0	23	1	0	22	40	17370406	1.472502e-06	6.037899e-04
