gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	549842	151834	0	147	7	0	2	8	304558	0	0
CDKN2A	225405	357	-15	424530	110538	0	26	1	0	50	62	11000578	7.771561e-16	7.329359e-12
PTEN	259678	300	34	538984	125312	0	16	0	0	50	25	9118940	1.603218e-11	1.007996e-07
KEAP1	1996822	207	30	784980	226950	0	24	0	0	50	20	9547386	2.429323e-10	1.145547e-06
NFE2L2	372300	145	36	774834	204522	0	28	0	0	50	41	9538130	1.482534e-08	5.592712e-05
MLL2	1770671	214	65	6798710	2186374	0	52	8	0	16	15	5030814	9.101526e-06	2.861216e-02
KRTAP5-5	NaN	NaN	NaN	295480	86864	0	9	1	0	26	28	5875424	1.286738e-05	3.467207e-02
RB1	349930	450	41	1229624	314170	0	12	0	0	14	12	4494678	3.970971e-05	9.362557e-02
SLC17A8	188107	693	-3	764510	204166	0	15	0	0	50	33	9721826	4.809320e-05	1.007927e-01
CPS1	158852	465	-1	1956576	539874	0	30	3	0	50	36	10274338	7.563768e-05	1.426678e-01
HLA-A	983517	596	36	467962	134390	0	8	0	0	50	30	9174120	1.173019e-04	2.011407e-01
PDYN	461602	543	28	319510	93272	0	11	1	0	50	36	9813674	1.505007e-04	2.365620e-01
ELTD1	74049	903	-17	903706	233180	0	18	2	0	41	62	8562512	2.045754e-04	2.968232e-01
LRRC4C	4203	1185	-34	792100	236918	0	19	1	0	17	14	3837146	2.257725e-04	3.041801e-01
UGT1A1	NaN	NaN	NaN	670170	194910	0	18	2	0	26	29	5983470	2.632012e-04	3.309667e-01
REG3G	21996	1408	-29	232646	59986	0	8	1	0	42	72	8356566	3.698428e-04	4.359984e-01
CLSTN2	93930	998	9	1237812	327876	0	18	2	0	50	70	13297846	4.060621e-04	4.505378e-01
GPR174	14321	NaN	62	418122	118014	0	6	1	0	50	34	12094566	5.002114e-04	4.974930e-01
MAFA	2154403	237	32	427022	140086	0	5	0	0	50	39	10906238	5.073845e-04	4.974930e-01
CRB1	212549	428	-23	1805632	471878	0	27	2	0	37	43	10820086	5.275083e-04	4.974930e-01
TPTE	30271	1268	-81	741370	187790	0	30	2	0	10	22	2044508	5.633506e-04	4.978512e-01
SLC24A4	368522	642	27	787650	218406	0	10	0	0	50	34	11941130	5.806768e-04	4.978512e-01
PSG2	263820	178	-32	426310	123710	0	11	0	0	50	45	9861200	6.243583e-04	5.120281e-01
ASCL4	119393	805	22	207548	71200	0	6	0	0	50	44	10702072	6.883468e-04	5.280725e-01
CYP11B1	447193	438	36	638664	186900	0	15	1	0	50	39	10437742	6.999159e-04	5.280725e-01
APLNR	929334	250	-20	468496	141866	0	7	0	0	50	32	10453050	8.821925e-04	6.314027e-01
EPB41L3	57432	1036	-5	1394630	395338	0	20	4	0	42	43	8018544	9.038211e-04	6.314027e-01
HEATR7B2	211261	644	-5	2085804	543612	0	33	7	0	22	24	4859578	1.093582e-03	7.366840e-01
