gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	176073	48621	0	39	0	0	50	12	2954025	0	0
HRCT1	853975	298	55	44346	15504	0	10	0	0	50	10	2751561	1.998401e-15	1.256462e-11
KRAS	259193	512	16	97698	23541	0	34	0	0	50	14	3285480	1.998401e-15	1.256462e-11
KRTAP4-1	996799	468	-7	52668	14022	0	9	0	0	50	9	2744550	3.108624e-15	1.465872e-11
VAMP3	364696	422	22	43491	11058	0	8	0	0	50	14	4071852	4.662937e-14	1.570577e-10
FUZ	1673246	205	37	165585	56544	0	11	0	0	50	14	3372690	4.996004e-14	1.570577e-10
HOXA1	356045	385	28	136572	36822	0	12	0	0	50	17	3636372	6.994405e-14	1.740432e-10
CDKN2A	225405	357	-15	135945	35397	0	13	0	0	16	3	1121190	8.049117e-14	1.740432e-10
RANGAP1	1301913	179	53	241338	70566	0	13	1	0	50	11	3362430	8.304468e-14	1.740432e-10
CXXC4	18498	982	18	79287	23826	0	10	0	0	50	16	3557598	1.416645e-13	2.672075e-10
FOXN3	111760	684	20	201552	54435	0	11	0	0	50	13	3358554	1.951772e-13	3.346757e-10
PTTG1IP	690574	213	62	76095	20178	0	9	0	0	50	9	2591163	2.845502e-13	4.413724e-10
NOS1AP	372116	410	2	213750	61389	0	12	0	0	50	13	3296994	3.042011e-13	4.413724e-10
HAMP	767246	472	7	35910	9747	0	8	0	0	50	14	2622684	3.362866e-13	4.530741e-10
OR2T2	112460	903	-20	126711	40014	0	10	0	0	50	13	3537477	1.171618e-12	1.473271e-09
IL32	1626425	234	44	81795	20292	0	9	0	0	50	18	3627822	1.516343e-12	1.787578e-09
SF3A1	696089	214	57	327408	90516	0	11	1	0	50	10	3643554	1.616485e-12	1.793537e-09
NAP1L5	177679	486	8	74613	19266	0	8	0	0	50	12	3251223	1.933564e-12	2.026161e-09
TMEM40	487514	176	35	101745	25821	0	9	0	0	50	15	3252876	2.093659e-12	2.078452e-09
PASD1	153115	NaN	3	324330	82992	0	12	0	0	50	12	3546882	2.241207e-12	2.113683e-09
MED15	474817	286	44	326781	89946	0	14	0	0	50	14	3433680	7.698286e-12	6.914528e-09
MDFI	486789	331	52	100206	29925	0	8	0	0	50	8	2956419	1.097700e-11	9.369835e-09
ATP6V1C2	744427	428	42	179835	48621	0	10	1	0	50	16	3883353	1.142542e-11	9.369835e-09
CDC27	955548	395	18	347472	91143	0	12	0	0	50	18	3490281	2.264910e-11	1.780031e-08
OR10A7	411183	816	-1	125172	37278	0	9	0	0	50	17	3122688	2.825551e-11	2.131822e-08
SRP14	846041	256	23	57171	16188	0	7	0	0	50	15	3185787	4.191081e-11	3.040468e-08
TSPAN4	1799017	232	51	98439	28956	0	8	0	0	50	9	3004299	4.958800e-11	3.464181e-08
HOXB2	946208	524	29	137598	46227	0	9	0	0	50	12	2812323	6.125600e-11	4.126467e-08
ZMIZ1	319778	442	39	436677	125571	0	12	1	0	50	9	3364368	6.932455e-11	4.508964e-08
PRG4	265627	419	-24	551475	177840	0	16	1	0	50	14	4302474	7.923762e-11	4.981933e-08
RSPH6A	906385	203	41	290130	81624	0	11	0	0	50	15	3575895	9.036383e-11	5.498202e-08
TREML2	227466	611	41	128193	39729	0	10	0	0	33	6	1480518	1.032757e-10	6.087458e-08
PCP4L1	735152	293	41	29469	7296	0	6	0	0	50	17	3568770	1.815332e-10	1.037600e-07
SCD	1162653	171	42	147288	40812	0	8	0	0	50	9	3525108	3.982008e-10	2.209078e-07
CPXM2	147419	771	10	310992	86241	0	10	0	0	50	13	3096981	4.130499e-10	2.225985e-07
