gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ATG10	156562	717	25	434304	106749	0	2	0	0	50	19	33681789	0	0
ATP6V1F	845100	361	49	221328	65250	0	2	0	0	50	11	18564669	0	0
PMM1	1467336	183	66	506079	135198	0	2	0	0	50	3	15201684	0	0
SPRR1A	426723	748	28	168867	45675	0	2	0	0	50	10	14853510	0	0
TMEM211	363566	415	-21	239859	73341	0	2	0	0	50	16	15279984	0	0
PTEN	259678	300	34	790308	183744	0	13	0	0	50	4	13371030	5.551115e-16	1.745086e-12
SPOP	943930	348	28	724275	184788	0	33	0	0	50	4	13813947	2.664535e-15	7.179781e-12
TP53	2069567	213	34	806229	222633	0	30	0	0	37	10	10470015	9.214851e-15	2.172632e-11
NBPF1	675669	259	40	2213802	541575	0	14	0	0	50	11	21045213	4.931389e-12	1.033509e-08
MUC4	920866	365	49	2216151	620658	0	17	0	0	45	3	16227414	1.311428e-07	2.473616e-04
FRG1	49764	1059	-15	517824	117189	0	6	0	0	50	14	19155573	3.496797e-07	5.996053e-04
FIP1L1	120581	470	32	1168497	306675	0	7	0	0	50	5	17799417	1.248418e-06	1.892594e-03
PTH2	2173457	290	44	173565	69948	0	7	0	0	50	8	14553360	1.304407e-06	1.892594e-03
TMEM52	1434423	233	27	376884	130500	0	4	0	0	50	6	14732667	2.343813e-06	3.157786e-03
CDKN1B	791330	136	44	371664	102051	0	5	0	0	50	4	14891094	3.608862e-06	4.538024e-03
NUDT11	118616	NaN	31	303021	88479	0	4	0	0	50	9	16020963	7.016271e-06	8.271306e-03
LRRIQ3	58597	1188	-18	1199556	288927	0	9	0	0	46	14	15834870	1.061758e-05	1.178052e-02
C16orf74	390985	250	38	154251	36018	0	3	0	0	50	8	13830390	3.512706e-05	3.680926e-02
MAP3K9	247989	426	43	2048328	617787	0	8	1	0	50	11	17711460	7.115525e-05	7.063844e-02
POU4F2	38882	987	-10	738891	227331	0	5	1	0	50	10	17238528	8.033201e-05	7.576112e-02
MLEC	1741363	349	42	540009	160776	0	4	0	0	50	4	13804290	1.281129e-04	1.150698e-01
GPATCH4	2049505	180	37	742806	178002	0	5	0	0	50	7	13985424	1.442506e-04	1.236752e-01
FNBP4	979103	158	19	1899036	542358	0	8	0	0	49	12	13405221	1.595811e-04	1.275596e-01
NKX3-1	378220	544	16	424647	132066	0	5	0	0	50	7	18254601	1.623068e-04	1.275596e-01
HIST1H2BG	390169	544	57	229941	70731	0	3	0	0	50	3	10163340	4.142467e-04	3.122409e-01
RPTN	486922	468	25	1506492	343737	0	7	0	0	50	7	14231547	4.421875e-04	3.122409e-01
KRTAP1-5	977588	404	10	328860	83781	0	5	0	0	50	5	10466883	4.469571e-04	3.122409e-01
TIMD4	135146	1235	16	709920	206973	0	3	0	0	50	1	13307868	4.857038e-04	3.271909e-01
DBR1	190056	464	9	1035909	266220	0	4	0	0	26	1	7419186	5.036753e-04	3.275974e-01
ARFGAP3	722786	187	60	1005633	255780	0	5	0	0	29	5	7267284	5.422343e-04	3.409208e-01
TCEB3	960799	225	28	1502316	407421	0	5	0	0	50	4	15084234	6.811566e-04	4.065096e-01
POTEC	NaN	NaN	NaN	1056789	250038	0	8	1	0	50	24	29316042	6.896569e-04	4.065096e-01
ZMYM3	728738	NaN	25	2582595	727146	0	9	0	0	50	10	23383773	8.592284e-04	4.911141e-01
CDK12	1409087	239	28	2732670	810405	0	11	0	0	50	7	15657129	8.896078e-04	4.935230e-01
SLC10A2	199120	713	24	647280	188181	0	5	0	0	50	20	34214490	1.036175e-03	5.584097e-01
