gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KRTAP4-5	996799	468	-7	105948	27216	0	13	0	0	50	15	3900150	0	0
TP53	2069567	213	34	250209	69093	0	69	0	0	50	7	4197825	0	0
APC	247811	399	28	1633203	454653	0	110	1	0	49	6	5522175	7.771561e-16	4.188205e-12
KRAS	259193	512	16	138834	33453	0	33	0	0	50	14	4668840	8.881784e-16	4.188205e-12
KCNN3	1958370	559	34	421605	123687	0	17	1	0	50	14	4269186	4.218847e-15	1.591518e-11
PPM1E	469298	448	11	435456	121500	0	12	1	0	50	18	5563161	3.114176e-13	9.789930e-10
PCGF6	533950	125	43	208008	57105	0	9	0	0	50	15	4074138	4.302333e-10	1.159294e-06
TMPRSS13	527704	576	45	328293	97929	0	15	2	0	50	16	4666167	5.485141e-10	1.293259e-06
FAM194B	NaN	NaN	NaN	418689	102060	0	28	0	0	50	36	9122544	8.803810e-10	1.845083e-06
ATXN1	109777	623	30	450765	145071	0	13	0	0	50	17	5203197	1.162605e-09	2.192905e-06
TBP	425191	598	-16	199179	54513	0	30	5	0	0	5	54513	4.952721e-09	8.492565e-06
SMAD4	156084	422	41	325134	87723	0	13	0	0	50	14	5643189	6.781234e-09	1.023290e-05
MAL2	247332	442	-1	100359	32319	0	6	0	0	50	14	4811400	7.052686e-09	1.023290e-05
COL18A1	513400	481	41	1004238	341010	0	13	3	0	50	10	5276259	9.855875e-09	1.327868e-05
ZFPM1	626557	184	37	555012	188325	0	30	1	0	50	15	4956714	2.405355e-08	3.024654e-05
RIN3	447158	623	42	554607	172935	0	9	1	0	50	15	5366574	3.293914e-08	3.883113e-05
ZNF787	565708	480	-66	214164	67716	0	9	0	0	50	21	6532488	3.635753e-08	4.033974e-05
ADM2	1075525	207	42	80514	29079	0	5	0	0	50	11	4873203	5.819832e-08	6.098537e-05
FBXW7	117295	501	51	494424	132516	0	17	0	0	10	4	965034	1.801967e-06	1.788879e-03
KRT1	1441383	464	29	368388	110079	0	8	2	0	30	9	2270511	6.082608e-06	5.736507e-03
KRTAP5-5	NaN	NaN	NaN	134460	39528	0	4	0	0	50	36	9060012	1.613527e-05	1.449254e-02
RALY	873171	398	61	177552	54027	0	5	0	0	50	8	4753809	3.666531e-05	3.143551e-02
CTBS	245445	585	-1	227772	59940	0	6	1	0	50	21	3780513	6.054477e-05	4.965197e-02
PTPLA	488883	383	4	169290	47709	0	9	0	0	50	12	4156839	1.043281e-04	8.199320e-02
B2M	673122	428	36	71766	19116	0	4	0	0	50	11	4559328	1.272136e-04	9.598014e-02
ZFP36L2	227876	208	47	268758	93069	0	5	0	0	50	13	3857382	1.742969e-04	1.264457e-01
