gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
BRAF	305191	616	25	1891868	533665	0	184	3	0	0	3	533665	0	0
NDUFB9	456351	544	44	456258	114576	0	10	1	0	35	155	15170749	0	0
NRAS	600650	472	11	479787	123783	0	95	0	0	25	82	9359086	0	0
RPS27	2028800	222	34	224719	52514	0	31	0	0	50	123	17512396	0	0
TMEM216	1394229	286	57	368621	109120	0	8	0	0	43	112	13614425	0	0
CDKN2A	225405	357	-15	813285	211761	0	46	1	0	6	12	1509607	1.110223e-16	3.490171e-13
MRPS31	270527	470	44	986513	257455	0	24	0	0	9	27	4682953	2.134959e-13	5.752799e-10
PTEN	259678	300	34	1032548	240064	0	29	0	0	4	4	1108250	8.570478e-12	2.020704e-08
TP53	2069567	213	34	1053349	290873	0	60	0	0	0	0	290873	1.110101e-11	2.326525e-08
NMS	226558	642	9	414315	99231	0	14	0	0	18	52	7533713	1.494217e-05	2.818391e-02
NF1	462449	396	26	7109509	1900052	0	66	10	0	3	12	2578642	2.827562e-05	4.848498e-02
MAN1A1	105366	702	6	1606110	446028	0	25	2	0	7	7	3541967	5.692095e-05	8.947025e-02
EMG1	2704950	211	47	598455	172887	0	10	0	0	3	3	1519496	7.144794e-05	1.036655e-01
HIST1H2AA	272695	635	29	306559	102641	0	13	1	0	47	133	14966490	1.261344e-04	1.641416e-01
B2M	673122	428	36	302126	80476	0	7	1	0	12	46	5893162	1.305336e-04	1.641416e-01
ARID2	820796	602	10	4415950	1300574	0	64	7	0	0	7	1300574	2.292338e-04	2.702380e-01
C1QTNF9	270913	589	44	795553	241769	0	19	3	0	24	57	8651852	2.607738e-04	2.893362e-01
NUDT11	118616	NaN	31	395901	115599	0	8	0	0	4	4	862048	5.984656e-04	6.271255e-01
SLC38A4	518041	415	-10	1374230	364870	0	43	5	0	6	26	2415644	1.132745e-03	1
C6orf223	1407986	199	47	636988	167090	0	8	0	0	21	72	12439339	1.524152e-03	1
SULT1E1	9735	1009	4	763499	170500	0	23	3	0	11	113	7812310	1.539062e-03	1
NOTCH2NL	NaN	NaN	NaN	591635	152086	0	21	1	0	12	91	5308688	1.580134e-03	1
NBPF7	415110	581	26	1059487	263252	0	22	1	0	7	13	2065778	2.892955e-03	1
RPSA	160739	595	32	724284	208692	0	15	2	0	25	81	12135508	3.124080e-03	1
MRPL54	2144458	206	34	339636	97185	0	8	1	0	40	158	14172983	3.165243e-03	1
NOP10	542657	234	22	161975	43648	0	3	0	0	50	137	18050153	3.480675e-03	1
FLT3	346092	614	42	2517262	629486	0	39	6	0	39	153	15111756	3.668940e-03	1
DMC1	1160654	238	38	877734	221991	0	12	2	0	50	150	17400889	3.859862e-03	1
WDR65	1068006	294	30	1713184	476036	0	24	3	0	5	19	2902251	4.370817e-03	1
TREML4	249047	607	38	495814	141515	0	11	1	0	23	79	8713573	4.395226e-03	1
SOX10	1370748	203	50	1105181	340318	0	16	2	0	34	92	13063710	4.687538e-03	1
GML	447193	438	36	396242	104005	0	11	1	0	29	113	11263912	5.016545e-03	1
RPL22	627248	240	31	333157	77066	0	5	0	0	50	161	17633792	5.208429e-03	1
GPX1	1661046	201	34	505021	171182	0	9	2	0	50	145	19758563	5.302191e-03	1
STARD6	99256	451	41	557876	139810	0	15	1	0	21	77	9603242	5.664935e-03	1
MKX	283178	535	0	867163	240746	0	21	4	0	8	38	4189185	5.903985e-03	1
AMHR2	1712232	191	56	1410376	396242	0	18	4	0	46	121	18250661	5.945759e-03	1
CDC27	955548	395	18	2078736	545259	0	19	3	0	4	11	2230140	5.957749e-03	1
PPP6C	951081	168	46	849090	232221	0	27	3	0	3	5	660176	6.344434e-03	1
NBEA	38939	1070	11	7305925	1971662	0	90	14	0	6	39	6158801	6.823437e-03	1
COPS2	317456	528	8	1169630	265639	0	10	2	0	14	23	5474414	7.069298e-03	1
GAGE2B	NaN	NaN	NaN	302467	73997	0	5	0	0	50	495	38049121	7.266120e-03	1
PRC1	753718	413	31	1568600	394537	0	15	1	0	4	7	2493392	7.814737e-03	1
NAP1L2	196410	NaN	-3	1125300	289509	0	34	3	0	5	18	1936539	7.900592e-03	1
CCDC28B	1460758	218	29	495132	142197	0	4	0	0	50	136	20770992	7.929652e-03	1
