gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KRAS	259193	512	16	495346	119357	0	28	0	0	50	96	16657960	0	0
OR5M3	NaN	NaN	NaN	623662	175712	0	16	1	0	50	192	32359908	0	0
PIK3CA	401889	613	11	2281366	568463	0	72	2	0	46	75	16162614	0	0
RHOA	1623187	201	33	410091	108375	0	17	0	0	50	66	15920432	0	0
RNF43	782135	399	22	1570426	496502	0	63	2	0	50	102	23723143	0	0
TM4SF1	529009	254	8	420495	121380	0	2	0	0	50	108	22158208	0	0
XYLT2	1335838	196	24	1741225	545921	0	35	3	0	50	79	18638766	6.661338e-16	1.794945e-12
ARID1A	975965	182	27	4623422	1388356	0	120	4	0	19	30	8250661	1.221245e-15	2.879391e-12
TP53	2069567	213	34	892721	246517	0	149	1	0	50	82	14977425	1.887379e-15	3.955527e-12
B2M	673122	428	36	256054	68204	0	30	1	0	6	10	2867169	5.884182e-15	1.109874e-11
LMAN1	292594	549	35	1090975	281486	0	28	2	0	50	83	15524791	3.587197e-11	6.151065e-08
LARP4B	378329	515	9	1538925	440436	0	29	2	0	50	101	15016151	2.708915e-10	4.257963e-07
SMAD4	156084	422	41	1160046	312987	0	28	1	0	44	90	17096084	1.777251e-08	2.578654e-05
BZRAP1	810333	399	19	3753821	1186345	0	47	5	0	0	5	1186345	4.916538e-08	6.623981e-05
ATP6V1B1	504483	623	25	1077970	305762	0	22	2	0	50	90	16917193	1.470527e-07	1.849139e-04
CDH1	924096	240	30	1819544	529159	0	30	4	0	50	84	14747959	1.807400e-07	2.130698e-04
MLL2	1770671	214	65	11038355	3549787	0	102	12	0	14	26	7336265	1.980911e-07	2.197879e-04
DDX6	1493911	154	36	1030285	270215	0	23	1	0	50	89	20885163	3.355643e-07	3.516341e-04
PSME4	238848	489	9	3923175	1034331	0	45	5	0	15	31	6125355	4.601728e-07	4.568305e-04
PTEN	259678	300	34	875092	203456	0	33	4	0	5	9	1208309	5.961435e-07	5.622229e-04
KLF3	294258	364	39	717587	199699	0	22	2	0	16	27	4255814	8.174771e-07	7.342501e-04
ZNF43	123927	1235	-66	1713770	403444	0	57	3	0	33	89	9658669	1.122214e-06	9.621458e-04
HLA-A	983517	596	36	759781	218195	0	21	0	0	49	74	14621088	1.931146e-06	1.583708e-03
APC	247811	399	28	5827107	1622157	0	53	7	0	25	35	8554400	2.257334e-06	1.774077e-03
GPSM3	2119974	392	28	327148	105485	0	14	0	0	50	115	19299709	2.405622e-06	1.814994e-03
PLEKHA6	554014	370	33	2166344	634933	0	27	1	0	18	17	6185467	2.616769e-06	1.898366e-03
MBD6	1347795	303	44	1923584	725968	0	31	2	0	21	77	13299491	2.944566e-06	2.057052e-03
C7orf50	769674	346	35	397086	123114	0	10	1	0	50	64	15391273	4.207056e-06	2.834053e-03
HLA-C	3244502	401	38	757469	223108	0	13	0	0	50	50	12740276	5.871542e-06	3.818932e-03
JARID2	86503	782	34	2568921	733482	0	34	6	0	16	22	5698502	6.751625e-06	4.244972e-03
EDNRB	63780	954	31	999362	280330	0	30	5	0	7	30	2771221	7.515300e-06	4.572697e-03
CTCF	1074126	147	45	1544416	383792	0	19	2	0	50	82	18245437	1.016893e-05	5.968996e-03
CASP8	571730	386	37	1236631	279752	0	18	1	0	50	90	17738242	1.044305e-05	5.968996e-03
CD4	2819394	232	40	956879	268192	0	15	3	0	27	46	9227770	1.196791e-05	6.639376e-03
DNAJC18	832127	177	48	765272	194497	0	22	0	0	50	74	16860549	1.727670e-05	9.310660e-03
FBXW7	117295	501	51	1764056	472804	0	30	1	0	50	106	19489871	2.444115e-05	1.280580e-02
C9orf80	525036	382	18	227732	59245	0	13	0	0	50	90	16178798	2.742168e-05	1.397913e-02
DCLK1	82515	1033	-14	1524186	433500	0	33	5	0	14	40	5498514	3.396214e-05	1.685773e-02
LYSMD3	86012	780	7	637245	168198	0	11	0	0	10	13	5219051	5.241941e-05	2.535218e-02
PAFAH1B1	612041	184	14	875381	224842	0	12	0	0	44	60	13951475	6.270740e-05	2.956967e-02
ZBTB20	86308	644	10	1501644	438702	0	38	8	0	7	23	2609959	7.693029e-05	3.539169e-02
DTNBP1	118453	750	24	824228	211837	0	12	2	0	50	215	37853798	9.300338e-05	4.176737e-02
AKNAD1	801073	236	8	1774460	451996	0	20	1	0	28	55	11215512	1.104260e-04	4.843848e-02
PREPL	433205	522	29	1556843	386104	0	23	0	0	3	10	1840641	1.329925e-04	5.701146e-02
CCDC153	1258103	195	57	452285	120802	0	8	0	0	5	8	2606491	1.544593e-04	6.463482e-02
GNAZ	NaN	NaN	NaN	723367	206057	0	18	2	0	50	193	32390253	1.576292e-04	6.463482e-02
PGM5	127057	681	-4	1169583	342465	0	29	0	0	22	35	7242918	1.855043e-04	7.444645e-02
C2orf42	677043	143	42	1187212	336107	0	21	2	0	50	79	17031637	2.007810e-04	7.792395e-02
ATL3	1058363	170	50	1150220	301138	0	13	1	0	50	92	17199835	2.024321e-04	7.792395e-02
CYP7B1	8894	1018	22	1054561	281486	0	17	1	0	50	78	17175270	2.182700e-04	8.234016e-02
BCL9L	1488276	175	54	2975544	950232	0	29	3	0	11	11	4166513	3.114900e-04	1.133036e-01
B3GNT5	NaN	NaN	NaN	784346	201433	0	10	1	0	50	192	32385629	3.123627e-04	1.133036e-01
SLCO6A1	132386	647	-12	1502800	415004	0	24	4	0	50	139	19609228	3.311318e-04	1.177690e-01
WBP1	1069803	343	45	543898	168776	0	8	0	0	50	89	16113195	3.371608e-04	1.177690e-01
C19orf70	879991	295	21	249985	69938	0	6	0	0	50	87	16381965	3.509206e-04	1.203076e-01
ZC3H13	576966	679	49	3252695	873358	0	42	5	0	45	48	9897961	3.571852e-04	1.203076e-01
SPG20	137590	850	-16	1376507	386104	0	21	3	0	50	136	19831180	3.638393e-04	1.203989e-01
TLE2	1106128	195	32	1598170	465290	0	25	4	0	50	79	15153426	4.079310e-04	1.326620e-01
PAX6	172494	631	-11	918731	256054	0	19	4	0	9	20	2706485	5.109319e-04	1.633423e-01
RAB14	611254	365	27	471648	114444	0	8	0	0	50	77	16291219	5.347532e-04	1.681086e-01
PAMR1	646177	410	0	1539503	419917	0	18	4	0	21	29	5812368	5.528299e-04	1.709422e-01
KIAA1324L	154470	1087	-7	2188308	563550	0	22	0	0	3	1	1118719	6.136174e-04	1.856681e-01
DHRS9	303546	646	12	656897	189295	0	10	1	0	50	100	20924467	6.201404e-04	1.856681e-01
MVK	442710	465	38	817003	253742	0	13	0	0	46	96	14787263	7.243618e-04	2.093557e-01
KIN	199265	447	4	860931	207213	0	17	1	0	26	40	8200086	7.249355e-04	2.093557e-01
CIC	790787	299	37	3138251	1114384	0	29	8	0	50	110	20688643	7.325562e-04	2.093557e-01
ELF3	751933	168	31	788681	206635	0	12	1	0	50	75	16381387	7.836068e-04	2.206029e-01
PSTPIP2	386983	300	54	755446	166175	0	10	1	0	50	93	15776221	8.907907e-04	2.468693e-01
TNFRSF9	381467	207	24	548811	141321	0	16	1	0	28	48	9991597	9.078300e-04	2.468693e-01
C6orf89	836025	244	43	751978	195653	0	9	0	0	50	96	18794248	9.161728e-04	2.468693e-01
ADAM30	390094	560	9	1618978	438413	0	14	2	0	50	87	16538314	9.432872e-04	2.505955e-01
C14orf43	535648	191	50	2099007	656319	0	22	5	0	50	65	13427807	9.661912e-04	2.531153e-01
CRYGD	327858	440	13	367030	96815	0	12	2	0	3	4	596496	1.098521e-03	2.838397e-01
THYN1	270350	623	21	493034	119068	0	8	0	0	50	67	14529764	1.132935e-03	2.884959e-01
CDC25C	1312427	273	36	1025372	252586	0	15	0	0	24	62	11047314	1.147132e-03	2.884959e-01
GLIPR1L2	313411	606	-22	533205	139587	0	10	1	0	50	106	19258382	1.197924e-03	2.945927e-01
AQP8	189953	551	12	525402	175134	0	11	2	0	11	12	3297779	1.203835e-03	2.945927e-01
ZC3H18	626708	184	39	1963177	577133	0	19	3	0	35	49	12123550	1.218229e-03	2.945927e-01
DSTN	568191	347	-5	355181	86989	0	5	0	0	50	71	16155967	1.368559e-03	3.267565e-01
KCNJ3	15788	1135	7	1021904	290734	0	17	2	0	50	90	18084753	1.389626e-03	3.276390e-01
SNAPC2	952640	320	27	653429	233512	0	11	2	0	50	108	16992622	1.553462e-03	3.575504e-01
CETN3	83403	824	19	369920	80920	0	7	0	0	50	112	17502418	1.554887e-03	3.575504e-01
MTIF2	964970	349	25	1533434	406912	0	18	2	0	34	70	11947260	1.573358e-03	3.575504e-01
WNT16	97501	535	-14	803420	218773	0	15	1	0	50	152	19453746	1.616726e-03	3.630320e-01
ZWINT	65824	1191	-19	594184	158372	0	13	1	0	50	148	17997475	1.653685e-03	3.647837e-01
GXYLT1	172471	684	-9	927690	243627	0	14	2	0	26	91	13468845	1.663206e-03	3.647837e-01
OR4K5	431654	854	-49	644181	196809	0	13	2	0	50	112	14699985	1.684758e-03	3.652632e-01
GPR141	103891	630	6	620772	175134	0	9	1	0	50	104	18089666	1.706048e-03	3.656759e-01
C19orf40	481910	448	-16	445927	129761	0	6	1	0	50	82	15128572	1.750781e-03	3.670513e-01
HIST1H1B	228884	634	40	448239	145656	0	10	2	0	24	33	5995883	1.761170e-03	3.670513e-01
EPHA2	866090	197	37	2017509	579156	0	25	3	0	50	82	18213647	1.771953e-03	3.670513e-01
C9orf131	782447	350	42	2156807	671347	0	13	1	0	48	67	20035503	1.790304e-03	3.670513e-01
BCOR	377184	NaN	42	3563948	1051960	0	28	4	0	26	54	12164588	1.951448e-03	3.955191e-01
SCLT1	98655	645	8	1507713	353736	0	20	2	0	50	121	20922155	1.971095e-03	3.955191e-01
PHACTR2	346938	363	2	1345873	388994	0	14	2	0	50	78	16308848	2.033800e-03	4.038057e-01
PLA2G1B	1621662	187	56	323680	77741	0	4	0	0	50	88	19225147	2.142079e-03	4.208738e-01
CTNNB1	305811	448	8	1617244	468758	0	22	4	0	32	57	9506077	2.164746e-03	4.209428e-01
SF3B2	3581017	208	47	1883413	521645	0	18	5	0	50	78	15923900	2.189927e-03	4.214940e-01
FCRL3	180228	829	21	1521296	438991	0	18	2	0	14	16	4307834	2.218571e-03	4.226939e-01
DDC	180088	561	11	1018725	280908	0	12	0	0	25	25	8658440	2.359858e-03	4.451165e-01
HLA-B	2552688	347	28	750533	219640	0	15	0	0	50	170	23956655	2.462679e-03	4.599115e-01
SPTY2D1	637558	457	28	1406852	394774	0	15	4	0	26	62	10035525	2.617553e-03	4.840420e-01
KIAA0182	422186	213	37	2457367	764405	0	22	2	0	8	17	4179229	2.680210e-03	4.908167e-01
AMPD3	777397	378	27	1646722	441881	0	20	2	0	50	101	21253927	2.936889e-03	5.292213e-01
IAPP	NaN	NaN	NaN	185538	55488	0	5	0	0	50	191	32239684	2.946042e-03	5.292213e-01
C13orf33	369916	547	59	629442	175134	0	8	1	0	50	58	11598148	3.049586e-03	5.426536e-01
FAM70B	782003	465	45	664411	217328	0	13	1	0	50	71	17166600	3.342337e-03	5.870764e-01
SAMSN1	157937	898	56	803420	195364	0	10	2	0	50	64	13501791	3.383549e-03	5.870764e-01
ENKUR	159854	276	8	553146	132651	0	8	1	0	50	65	15608023	3.392605e-03	5.870764e-01
OTX2	191584	1012	-7	604010	178024	0	9	1	0	50	119	16533690	3.766588e-03	6.415530e-01
SMPX	93024	NaN	-0	193341	52020	0	8	0	0	50	115	16700154	3.783936e-03	6.415530e-01
ABCB4	225315	837	8	2692613	750244	0	27	4	0	20	24	6590645	3.859187e-03	6.415530e-01
ABCB1	287293	822	0	2679319	746198	0	27	5	0	50	82	16044991	3.882537e-03	6.415530e-01
LCE2B	169158	818	24	226865	65314	0	6	0	0	50	102	16385433	3.884391e-03	6.415530e-01
OR51B5	100115	1056	1	619038	195075	0	10	1	0	50	79	14426302	3.916518e-03	6.415530e-01
PRRG3	125659	NaN	4	472226	141610	0	9	2	0	50	114	14360988	3.959578e-03	6.415530e-01
ACVR1B	493265	371	27	1135481	320212	0	14	1	0	50	57	13450927	3.979519e-03	6.415530e-01
EIF5B	387331	612	25	2629900	625685	0	23	5	0	50	113	19632926	4.101597e-03	6.556298e-01
ZMYM4	916800	406	19	3294311	836944	0	19	0	0	6	1	2162009	4.629379e-03	7.337761e-01
IRF2	207866	400	55	747354	190740	0	19	2	0	23	44	6653647	4.698868e-03	7.376661e-01
PCDHGC5	665835	568	9	1964333	654007	0	25	8	0	25	60	8878947	4.744801e-03	7.376661e-01
DZIP1L	175494	464	8	1607707	447950	0	17	3	0	50	83	16884536	4.809413e-03	7.376661e-01
CUL1	517446	532	0	1679957	410380	0	22	3	0	50	91	18271158	4.810355e-03	7.376661e-01
VPS13A	186200	696	-2	6866640	1745271	0	42	2	0	4	3	2574701	4.963799e-03	7.550579e-01
FRMD4A	212541	732	24	2175592	612680	0	18	2	0	12	21	4285292	5.034776e-03	7.597275e-01
RASA1	154501	726	24	2214029	603721	0	17	1	0	26	162	29764688	5.105859e-03	7.643390e-01
ZNF48	2338593	142	59	1225071	390150	0	11	3	0	50	83	17868292	5.401531e-03	7.986575e-01
RABGAP1	340132	482	34	2288013	581757	0	23	3	0	28	41	7616884	5.419794e-03	7.986575e-01
PIK3R3	1116382	318	20	1003119	233223	0	8	2	0	50	85	19715002	5.523381e-03	8.076126e-01
BMPR2	369483	417	30	2144380	599675	0	18	2	0	9	8	3115420	5.626669e-03	8.110758e-01
HIST1H2AD	NaN	NaN	NaN	255476	86989	0	6	0	0	50	191	32271185	5.670814e-03	8.110758e-01
GLYR1	706891	195	33	1175074	319634	0	14	3	0	21	32	7167489	5.676068e-03	8.110758e-01
MAP2K7	952640	320	27	882895	245939	0	24	0	0	21	57	7969753	5.728434e-03	8.124039e-01
