gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ARID1A	975965	182	27	3103612	931976	0	109	3	0	50	32	12390198	0	0
CTNNB1	305811	448	8	1085624	314668	0	64	1	0	50	36	10117682	0	0
PLAC4	187016	530	-16	191866	71780	0	78	1	0	26	21	4647270	0	0
TP53	2069567	213	34	599266	165482	0	57	0	0	50	21	10054050	0	0
KRAS	259193	512	16	332516	80122	0	40	1	0	20	11	3737798	4.440892e-16	1.675282e-12
PIK3CA	401889	613	11	1531436	381598	0	132	0	0	4	2	934886	7.771561e-16	2.443120e-12
PIK3R1	48999	619	32	1101144	272958	0	95	1	0	50	41	10995920	9.992007e-16	2.692418e-12
PRB2	175992	673	-18	543006	193224	0	22	0	0	50	52	14574056	1.776357e-15	3.769385e-12
CTCF	1074126	147	45	1036736	257632	0	50	1	0	50	27	12247802	1.887379e-15	3.769385e-12
PTEN	259678	300	34	587432	136576	0	215	1	0	50	41	9938620	1.998401e-15	3.769385e-12
RNF43	782135	399	22	1054196	333292	0	26	1	0	50	35	15924878	2.220446e-15	3.807459e-12
RPL22	627248	240	31	189538	43844	0	14	0	0	50	29	10032128	7.660539e-15	1.204109e-11
ARID5B	81587	388	20	1642598	454348	0	33	3	0	8	11	2580394	7.454037e-12	1.081523e-08
GOLGA6L1	NaN	NaN	NaN	988818	199044	0	17	1	0	50	52	21803660	1.558098e-11	2.099203e-08
HGC6.3	NaN	NaN	NaN	221160	79152	0	16	1	0	20	9	4633302	4.895806e-11	6.156313e-08
RGPD3	NaN	NaN	NaN	2470008	653586	0	49	2	0	50	53	22258202	1.345405e-09	1.586065e-06
AP1S1	1044715	199	39	229308	57618	0	8	0	0	50	17	10124472	6.878422e-09	7.631811e-06
TCEAL5	455954	NaN	17	292164	71586	0	10	1	0	32	12	5696810	9.717552e-09	1.014228e-05
SPOP	943930	348	28	538350	137352	0	18	0	0	50	23	10267838	1.021648e-08	1.014228e-05
NBPF1	675669	259	40	1645508	402550	0	18	1	0	50	25	15642802	1.544555e-07	1.456669e-04
C11orf57	389805	179	31	426994	97970	0	8	0	0	50	30	12303868	7.098013e-07	6.375368e-04
OR4M2	156689	855	-31	424472	126100	0	10	1	0	50	37	11315050	1.084209e-06	9.295610e-04
TRUB1	188808	343	9	483642	144918	0	7	0	0	50	15	11456864	1.388659e-06	1.138821e-03
FOXA2	49625	627	-66	625844	186628	0	13	0	0	50	35	11423690	1.587170e-06	1.247383e-03
FGFR2	204200	386	-9	1273222	345902	0	26	0	0	10	6	3141636	2.042078e-06	1.540707e-03
FETUB	508316	436	45	528262	155588	0	9	1	0	50	33	15245490	3.137343e-06	2.276021e-03
TOMM70A	377740	361	20	863688	225234	0	11	0	0	17	8	4868236	3.348690e-06	2.339370e-03
SMTNL2	1239739	318	24	625844	198268	0	9	0	0	50	22	9725414	3.512473e-06	2.366152e-03
FGF13	14292	NaN	-5	467152	120086	0	11	1	0	50	30	10362122	4.312228e-06	2.804732e-03
DAZAP1	2352825	221	38	617114	174988	0	8	0	0	50	14	9988672	5.699713e-06	3.489490e-03
M6PR	299430	416	11	392074	106700	0	7	0	0	50	34	12203958	5.735033e-06	3.489490e-03
JAK1	269434	396	-5	1659088	413414	0	26	1	0	22	13	4810812	5.928906e-06	3.494720e-03
KBTBD6	314264	337	66	912770	265780	0	13	1	0	50	29	12378946	9.267358e-06	5.296997e-03
ESRP1	467699	426	31	968642	270436	0	11	1	0	50	30	12105794	9.721519e-06	5.391762e-03
MBD6	1347795	303	44	1291264	487328	0	16	1	0	32	39	12738234	1.000486e-05	5.391762e-03
CHD3	1971623	337	29	2942786	805294	0	26	2	0	50	27	11768234	1.136243e-05	5.953280e-03
CST4	189028	819	-21	198656	55096	0	6	1	0	50	32	9331788	1.260568e-05	6.426171e-03
RALGAPB	531076	440	45	2099080	578702	0	19	3	0	50	36	15673454	1.404017e-05	6.969097e-03
TULP4	669285	403	41	2086470	639618	0	16	1	0	31	14	9429952	1.535735e-05	7.427444e-03
SMAP1	169371	764	11	659406	181002	0	8	0	0	50	24	11297784	1.736451e-05	8.188235e-03
INPPL1	744547	182	58	1732226	528844	0	21	0	0	16	7	3449126	1.780389e-05	8.190658e-03
CCND1	441431	536	41	410310	115818	0	13	0	0	50	36	11129974	2.031019e-05	9.121210e-03
C14orf43	535648	191	50	1409022	440574	0	17	2	0	50	26	9013822	2.287260e-05	1.003309e-02
MAP7D3	314502	NaN	20	1263910	319712	0	12	1	0	50	20	11906556	2.629820e-05	1.107265e-02
ACVR2A	90992	951	-2	733514	187210	0	11	0	0	50	49	11166640	2.641657e-05	1.107265e-02
NRIP1	103852	526	8	1588472	435142	0	10	0	0	14	4	4129290	2.908388e-05	1.192565e-02
OR10Z1	179404	940	1	415548	132114	0	7	0	0	40	24	9920966	6.438085e-05	2.583727e-02
PPP2R1A	478211	896	-38	815964	246768	0	15	1	0	50	26	9865482	8.130618e-05	3.194994e-02
SERPINA1	201688	843	9	578314	162572	0	10	0	0	50	43	12028388	8.396157e-05	3.232006e-02
RHCE	667862	185	32	594804	157140	0	8	0	0	50	25	10490550	1.038308e-04	3.916911e-02
TAF15	620019	235	8	845258	226204	0	9	0	0	50	27	13324696	1.452175e-04	5.370769e-02
CHD4	2790851	179	51	2724342	706548	0	26	1	0	21	14	7226694	1.609168e-04	5.836947e-02
ADAM23	290387	726	16	1206292	306326	0	12	0	0	44	28	10589296	2.023814e-04	7.202485e-02
IL2RG	759088	NaN	27	524576	138904	0	9	1	0	13	15	3817920	2.087809e-04	7.292640e-02
NFE2L2	372300	145	36	844482	222906	0	12	0	0	50	15	10395490	2.453115e-04	8.338518e-02
TAF1	729010	NaN	32	2699704	694520	0	28	1	0	15	5	3826068	2.475650e-04	8.338518e-02
LCE2A	169158	818	24	147828	41322	0	4	0	0	50	36	10999218	2.883788e-04	9.542810e-02
EBPL	425192	296	62	284404	85166	0	9	0	0	50	34	10034068	2.986932e-04	9.645313e-02
KLF3	294258	364	39	481702	134054	0	9	1	0	50	26	9416760	3.017037e-04	9.645313e-02
PDS5B	243309	471	50	2081814	525546	0	15	2	0	31	23	8583142	3.113382e-04	9.787435e-02
MAML3	351118	591	8	1551418	441932	0	21	5	0	50	39	11419616	3.288623e-04	1.016885e-01
FAHD2A	255441	536	19	437470	128816	0	6	0	0	50	25	10213324	3.463296e-04	1.053624e-01
MLL2	1770671	214	65	7409830	2382902	0	59	9	0	28	18	7452898	4.073057e-04	1.219460e-01
SETD1B	NaN	NaN	NaN	2573216	824500	0	20	0	0	10	4	3451454	4.672106e-04	1.376957e-01
ZFHX3	122465	495	-11	5032166	1455970	0	40	1	0	3	3	1978800	4.899396e-04	1.421729e-01
MRPS31	270527	470	44	561242	146470	0	7	0	0	11	8	3516638	5.534122e-04	1.581585e-01
ACBD3	756400	214	24	739722	201372	0	18	1	0	50	48	13750720	6.189351e-04	1.742441e-01
TCERG1	377370	463	14	1548314	420592	0	11	1	0	48	22	9766542	6.654569e-04	1.845860e-01
C1QTNF5	NaN	NaN	NaN	321458	109222	0	5	0	0	50	51	21713838	6.771215e-04	1.850995e-01
POLE3	390186	297	36	214370	51022	0	4	0	0	50	25	10567374	7.143675e-04	1.924914e-01
USP9X	734477	NaN	38	3647782	941288	0	21	3	0	31	13	6806102	8.001473e-04	2.125687e-01
MUC2	1467711	466	43	3867584	1160896	0	40	8	0	50	36	12693226	8.579814e-04	2.247673e-01
KCNA4	30326	940	-38	887550	254334	0	9	0	0	50	34	10360182	8.899661e-04	2.299526e-01
FOXP4	461476	388	43	945556	280718	0	11	1	0	50	27	9947738	9.228862e-04	2.329630e-01
USP26	88462	NaN	12	1269342	327084	0	10	0	0	30	11	6322266	9.263188e-04	2.329630e-01
MTMR11	1115711	451	51	1007636	290806	0	12	1	0	50	39	12506598	9.937957e-04	2.466444e-01
FAM104A	205112	251	-15	285568	85748	0	5	0	0	50	51	12901582	1.008405e-03	2.470199e-01
KIAA0040	NaN	NaN	NaN	139098	35502	0	4	0	0	50	51	21640118	1.025956e-03	2.480973e-01
DDX47	742991	129	27	640782	182166	0	7	2	0	50	38	12155070	1.099267e-03	2.624605e-01
MST1	1551582	271	48	1021992	287508	0	12	0	0	39	14	9347114	1.132564e-03	2.670303e-01
MAP3K1	200595	412	38	2081232	604698	0	12	1	0	50	20	10943346	1.169304e-03	2.722891e-01
RAE1	181292	604	9	536992	132890	0	10	2	0	7	3	1219678	1.266436e-03	2.913112e-01
RB1	349930	450	41	1340152	342410	0	12	1	0	25	19	6720354	1.302669e-03	2.960354e-01
MORC4	177448	NaN	31	1335690	339306	0	12	0	0	6	2	2300452	1.408743e-03	3.163299e-01
C6orf89	836025	244	43	504788	131338	0	5	0	0	50	30	12616208	1.470485e-03	3.263092e-01
RECK	866055	155	44	1388458	356378	0	13	0	0	45	22	12164770	1.525399e-03	3.329526e-01
FKBP9	375055	235	13	791326	226592	0	7	0	0	39	22	9086378	1.544403e-03	3.329526e-01
ZEB1	323935	635	16	1578966	412056	0	8	0	0	29	15	7675416	1.553379e-03	3.329526e-01
HEBP1	701221	196	10	265780	72944	0	4	0	0	50	25	12325984	1.599457e-03	3.389382e-01
SIN3A	775031	296	47	1786158	484806	0	16	3	0	50	34	10570284	1.617243e-03	3.389382e-01
DDX27	886628	261	50	1136064	303222	0	8	0	0	50	25	13118668	1.651526e-03	3.408832e-01
ANKRD36	NaN	NaN	NaN	2878572	686760	0	18	2	0	50	53	22291376	1.662669e-03	3.408832e-01
VPS37B	977561	184	37	383926	122996	0	4	0	0	50	24	12353144	1.721249e-03	3.457197e-01
DHX9	673873	517	23	1792948	489074	0	15	1	0	50	30	12452084	1.725428e-03	3.457197e-01
OR51E1	212267	935	-3	421950	137352	0	6	1	0	50	42	11630494	1.744754e-03	3.457197e-01
TTK	150632	841	-2	1251106	298178	0	13	1	0	50	44	10309160	1.759574e-03	3.457197e-01
LY96	250079	468	26	237068	55678	0	4	0	0	50	25	9448576	1.795957e-03	3.492303e-01
WASF3	149391	643	10	693938	202924	0	8	0	0	16	7	3495880	1.821657e-03	3.506132e-01
WDR87	NaN	NaN	NaN	3969822	1060986	0	22	0	0	10	4	3687940	1.848672e-03	3.522187e-01
