"","tumorType","min_mutrate","max_mutrate","avg_mutrate","min_matrate","max_matrate","avg_matrate","avg_multiplier"
"1","BLCA",0.000424989375265618,0.180661577608142,0.0051453192736297,0,1,0.0326402397534455,6.34367626528643
"2","BRCA",0.0010515247108307,0.33587786259542,0.00863720545319972,0,1,0.0358124036946052,4.14629522113987
"3","CELLLINE",0.000298151460942159,0.384223918575064,0.0164773352829253,0,1,0.0322528569046072,1.9574073326061
"4","CESC",0.000343406593406593,0.00744416873449132,0.00183983904128308,0,1,0.0289256198347107,15.7218208689269
"5","COAD/READ",0.00140056022408964,0.178117048346056,0.0111046591353319,0,1,0.0609328586074807,5.48714353722122
"6","ESCA",0.000451467268623025,0.134860050890585,0.0036075729820748,0,1,0.0599852280303475,16.6275854510499
"7","GBM",0.000232396002788752,0.186104218362283,0.00407278058876148,0,1,0.0548775496998473,13.4742219728894
"8","HNSC",0.000556173526140156,0.325699745547074,0.00676619344215994,0,1,0.0304974825116358,4.50733233868351
"9","KIRC",0.000451467268623025,0.488262910798122,0.00438888532833239,0,1,0.0210342516217455,4.79261818165062
"10","KIRP",0.000351741118536757,0.0201680672268908,0.00334242283543818,0,1,0.0279510328852434,8.36250655928131
"11","LIHC",0.000449640287769784,0.157760814249364,0.00350403321852607,0,1,0.0267512480423894,7.63441622098605
"12","LUAD",0.00179533213644524,0.333333333333333,0.0167365184330841,0,1,0.0288256395998314,1.72231995053703
"13","LUSC",0.000617283950617284,0.203562340966921,0.00706200238301799,0,1,0.0440058841936866,6.23136071144745
"14","OV",0.000333667000333667,0.312977099236641,0.00355668895205367,0,1,0.0247383598207841,6.95544652745075
"15","PAAD",0.000401284109149278,0.150127226463104,0.00407170076601195,0,1,0.0328077112312089,8.05749565514919
"16","PRAD",0.00036697247706422,0.0966921119592875,0.00350455044525631,0,1,0.0503569638505806,14.3690224002176
"17","SKCM",0.00135135135135135,0.132315521628499,0.023509703903105,0,1,0.03714816375672,1.58012044344862
"18","STAD",0.00148920327624721,0.155216284987277,0.00910474927745722,0,0.666666666666667,0.0500569543583072,5.49789487144308
"19","UCEC",0.0010515247108307,0.300248138957816,0.013841533067035,0,1,0.0393966107651788,2.84626063994355
"20","UCS",0.000198491464867011,0.0916030534351145,0.00253449601753767,0,1,0.0748603597660201,29.5365860699789
"21","ACC",0.000232396002788752,0.0432569974554707,0.00244874268785081,0,1,0.0534250474383302,21.8173382215262
"22","KICH",0.000216262975778547,0.0687022900763359,0.00230492688064792,0,1,0.0574493306733744,24.9245783698028
"23","LGG",0.000232396002788752,0.185750636132316,0.0032116476017438,0,1,0.0466271600816562,14.5181432907955
"24","MBL",0.000232396002788752,0.0254452926208651,0.00164804132678781,0,1,0.0964460784313726,58.5216383009978
"25","MM",0.000298151460942159,0.0687830687830688,0.00257926392079752,0,1,0.0519036125817502,20.1234205477125
"26","SCLC",0.000292568753657109,0.132315521628499,0.00324088360067549,0,1,0.0229933396832838,7.09477491832517
"27","THCA",0.000180603214737222,0.0105820105820106,0.00186037944628315,0,1,0.0515463917525773,27.7074614297432
"28","LAML",0.000180603214737222,0.0432569974554707,0.00296497803960161,0,1,0.171985460851007,58.0056440735446
"29","ACYC",0.000216262975778547,0.0091324200913242,0.00191412767827599,0,1,0.126984126984127,66.3404685201036
"30","SCCO",0.00850030358227079,0.00850030358227079,0.00850030358227079,0,0,0,0
