"","geneSymbol","mRNA_medvals"
"AP5Z1","AP5Z1",496.2004
"ZNF592","ZNF592",1272.351
"FOXRED1","FOXRED1",406.0645
"NUBPL","NUBPL",231.5984
"HFE","HFE",84.2268
"WDR35","WDR35",263.94755
"ABHD12","ABHD12",1611.7296
"ZNF513","ZNF513",361.9469
"HOGA1","HOGA1",6.6703
"FAM161A","FAM161A",87.6116
"WDR62","WDR62",140.67015
"WDPCP","WDPCP",75.74805
"TBC1D24","TBC1D24",324.2953
"XPNPEP3","XPNPEP3",272.392
"C12ORF65","C12ORF65",458.6405
"CEP152","CEP152",106.038
"SDCCAG8","SDCCAG8",395.9342
"OPN1SW","OPN1SW",1.686
"UROD","UROD",1201.2936
"LIPA","LIPA",2280.1272
"HPSE2","HPSE2",0.479
"TCN2","TCN2",747.653
"C2ORF71","C2ORF71",0.3372
"TMEM127","TMEM127",2065.12835
"VIPAS39","VIPAS39",491.7377
"POMP","POMP",1710.5639
"CBS","CBS",329.45825
"TPRN","TPRN",406.16275
"SLC52A3","SLC52A3",226.80915
"OAT","OAT",1882.7542
"DPYS","DPYS",1.44655
"SH3PXD2B","SH3PXD2B",1310.9031
"GRXCR1","GRXCR1",0
"TMEM216","TMEM216",269.3705
"USB1","USB1",977.4427
"PEPD","PEPD",1270.0236
"AGA","AGA",494.4339
"CYB5A","CYB5A",336.8907
"WDR72","WDR72",40.4624
"CYB5R3","CYB5R3",6550.095
"XPC","XPC",1139.9282
"DNAAF1","DNAAF1",6.8852
"RBM20","RBM20",47.8834
"KLHDC8B","KLHDC8B",444.95
"SERPINF2","SERPINF2",39.1078
"CANT1","CANT1",1680.6001
"VWF","VWF",1941.4342
"TSPAN12","TSPAN12",43.2225
"NEXN","NEXN",99.8777
"FAM134B","FAM134B",156.4113
"NF1","NF1",1139.1076
"CTSA","CTSA",5055.2792
"GM2A","GM2A",2056.87585
"LOXHD1","LOXHD1",2.49765
"INPP5E","INPP5E",254.925
"SDHAF2","SDHAF2",759.1232
"TAT","TAT",0.01335
"UROC1","UROC1",0.3405
"HTT","HTT",1923.1266
"TMEM126A","TMEM126A",281.2737
"TACO1","TACO1",659.71895
"RNASET2","RNASET2",997.694
"PGAM2","PGAM2",39.1379
"NDUFAF3","NDUFAF3",688.70025
"TUBB1","TUBB1",10.5842
"TUBB2B","TUBB2B",21.5986
"COQ9","COQ9",782.6732
"DPYD","DPYD",410.8467
"BCAM","BCAM",952.155
"DUOXA2","DUOXA2",9.9181
"CCBE1","CCBE1",4.7874
"CPOX","CPOX",434.7346
"ALDOB","ALDOB",3.25815
"PTS","PTS",334.0249
"RNF168","RNF168",208.67425
"QDPR","QDPR",552.5578
"RFX6","RFX6",0
"RSPH9","RSPH9",1.9292
"RSPH4A","RSPH4A",5.3763
"ANK1","ANK1",14.8837
"NDUFA11","NDUFA11",1385.7975
"LMBRD1","LMBRD1",539.4737
"FBN2","FBN2",31.9527
"DNAAF2","DNAAF2",290.2367
"DCAF17","DCAF17",369.9832
"EYS","EYS",8.4098
"TMEM70","TMEM70",481.64315
"LRTOMT","LRTOMT",153.4456
"NDUFAF6","NDUFAF6",143.81
"FECH","FECH",598.4186
"SLC29A3","SLC29A3",229.3469
"NDUFAF5","NDUFAF5",143.5379
"KNG1","KNG1",0
"PAH","PAH",0.90955
"ICK","ICK",761.51215
"FASTKD2","FASTKD2",972.3463
"F5","F5",47.86395
"PROC","PROC",2.4574
"FUCA1","FUCA1",895.13635
"ADAMTSL2","ADAMTSL2",23.9765
"GALNS","GALNS",509.2038
"ZFP57","ZFP57",3.71975
"NAT2","NAT2",0.35615
"TPCN2","TPCN2",293.2648
"UQCRQ","UQCRQ",2141.3053
"ZNF469","ZNF469",116.8136
"RBM28","RBM28",351.41505
"BEAN1","BEAN1",7.7762
"TMEM43","TMEM43",1605.92225
"RNF212","RNF212",11.5926
"IYD","IYD",2.5733
"CC2D2A","CC2D2A",210.625
"ZFYVE26","ZFYVE26",752.70275
"GIGYF2","GIGYF2",1744.3212
"TRAPPC9","TRAPPC9",782.7231
"MMADHC","MMADHC",1042.6766
"FAM83H","FAM83H",2082.8825
"ISCU","ISCU",1605.27
"SLC16A12","SLC16A12",1.5221
"RFT1","RFT1",481.75465
"GPD1L","GPD1L",952.6194
"NDUFAF4","NDUFAF4",555.5974
"NKX2-6","NKX2-6",0
"LMF1","LMF1",276.0241
"APC","APC",502.5635
"KCTD7","KCTD7",362.7771
"ATP6V0A2","ATP6V0A2",480.597
"TTBK2","TTBK2",98.8412
"SART3","SART3",1196.2764
"SLC46A1","SLC46A1",447.2524
"UBIAD1","UBIAD1",530.69375
"FBP1","FBP1",432.88995
"UPK3A","UPK3A",1.468
"NCR3","NCR3",3.57705
"ARSB","ARSB",359.5166
"FOXD3","FOXD3",1.53895
"EMG1","EMG1",520.9387
"RARS2","RARS2",576.9753
"CYP4F22","CYP4F22",1.22695
"CA2","CA2",102.42025
"MBD5","MBD5",229.0467
"PLEKHM1","PLEKHM1",668.0244
"GLB1","GLB1",1510.95315
"DOCK8","DOCK8",439.1608
"OCA2","OCA2",1.401
"LCA5","LCA5",111.65485
"DIP2B","DIP2B",1368.59645
"FANCI","FANCI",1062.7811
"RNF135","RNF135",516.129
"ARMS2","ARMS2",0
"NHEJ1","NHEJ1",265.44945
"CDKAL1","CDKAL1",326.57945
"SUCLG1","SUCLG1",1508.0214
"IFT80","IFT80",550.8675
"XPA","XPA",181.74585
"ATXN10","ATXN10",1923.1288
"SLC30A8","SLC30A8",0.6388
"MFSD8","MFSD8",272.1811
"KLHL7","KLHL7",768
"FGD4","FGD4",343.5085
"ACAD9","ACAD9",920.8486
"PLEKHG5","PLEKHG5",177.5646
"MTMR14","MTMR14",807.9281
"FAM20C","FAM20C",734.9015
"SETBP1","SETBP1",243.2924
"CCDC50","CCDC50",1005.46145
"G6PC3","G6PC3",1017.8936
"FA2H","FA2H",57.4427
"OBSL1","OBSL1",995.73845
"INF2","INF2",2032.44285
"FTO","FTO",1006.3688
"YARS2","YARS2",351.5152
"DARS2","DARS2",813.0926
"RPGRIP1L","RPGRIP1L",144.17385
"PSAT1","PSAT1",222.8961
"NOBOX","NOBOX",0
"ZFAT","ZFAT",257.60655
"CHMP4B","CHMP4B",3267.3772
"FLVCR2","FLVCR2",205.0969
"AGL","AGL",655.3472
"SPG11","SPG11",1271.1814
"SLC25A38","SLC25A38",514.2595
"SLC35D1","SLC35D1",412.8511
"ATG16L1","ATG16L1",696.7341
"DOLK","DOLK",437.476
"STRA6","STRA6",80.414
"HIBCH","HIBCH",517.0584
"BBS12","BBS12",98.1921
"PFKM","PFKM",1000.7582
"KIAA0196","KIAA0196",1337.4501
"F12","F12",96.2946
"CYP11B1","CYP11B1",0
