"","x"
"1",523.09385
"2",642.5184
"3",607.40895
"4",576.821
"5",2.9756
"6",868.34005
"7",1340.8614
"8",1256.83605
"9",1272.351
"10",1282.8288
"11",1149.4642
"12",1241.2556
"13",1487.71685
"14",1171.33475
"15",819.0986
"16",1442.574
"17",968.8088
"18",1470.0029
"19",5.8211
"20",809.9548
"21",764.7059
"22",523.2452
"23",305.7602
"24",883.1001
"25",434.42
"26",360.0181
"27",467.7313
"28",8.49565
"29",630.6998
"30",118.39655
"31",198.9175
"32",210.3753
"33",382.7434
"34",297.1491
"35",266.4843
"36",231.5984
"37",3.6711
"38",304.2889
"39",84.0675
"40",123.3211
"41",146.85325
"42",46.8227
"43",125.23135
"44",84.3861
"45",651.2509
"46",368.762
"47",65.2866
"48",6.49085
"49",40.0812
"50",390.9636
"51",249.7995
"52",154.2901
"53",265.4003
"54",240.2326
"55",141.4127
"56",804.2506
"57",554.9923
"58",425.6296
"59",309.30725
"60",153.5948
"61",503.394
"62",561.32775
"63",2.0685
"64",486.1066
"65",346.6774
"66",4656.2094
"67",1624.5265
"68",4682.7525
"69",1611.7296
"70",1738.94375
"71",34.5962
"72",632.29065
"73",280.0394
"74",435.8426
"75",324.954
"76",460.8171
"77",452.1173
"78",351.2545
"79",312.57225
"80",5.2676
"81",364.9802
"82",506.0161
"83",5.7032
"84",27.5166
"85",0
"86",7.6374
"87",167.6022
"88",94.3396
"89",167.9389
"90",65.8841
"91",177.0968
"92",44.4809
"93",94.3396
"94",84.4109
"95",212.3077
"96",86.8791
"97",107.2495
"98",19.9005
"99",290.1764
"100",1.4703
"101",155.3566
"102",168.3973
"103",512.63005
"104",145.5817
"105",13.8212
"106",144.9123
"107",124.3243
"108",389.823
"109",286.7363
"110",33.8201
"111",25.9556
"112",167.4875
"113",684.1535
"114",72.4952
"115",20.132
"116",263.4409
"117",2.2891
"118",30.581
"119",384.5764
"120",28.1254
"121",101.2641
"122",76.7349
"123",75.2397
"124",95.0152
"125",78.4784
"126",84.2935
"127",0.4576
"128",66.765
"129",379.8189
"130",148.1665
"131",458.8582
"132",324.5796
"133",117.5048
"134",118.2078
"135",1512.962
"136",216.9576
"137",283.6585
"138",368.79805
"139",154.8994
"140",154.3606
"141",254.5399
"142",388.339
"143",108.9955
"144",288.9806
"145",138.6962
"146",154.3902
"147",158.4028
"148",189.42975
"149",485.8868
"150",147.5075
"151",130.1626
"152",350.17645
"153",4.5845
"154",131.86
"155",679.7829
"156",458.5077
"157",169.3768
"158",487.1083
"159",501.6896
"160",5.3675
