"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"AARS",0.25,0.209048921191791,1.19589232307322,0.0226988650567472,0.0667490435002059,0.9874824,1,968,66,4,1,1,8.74125874125875e-05,0.000129611767542802,4
"ABCD1",0.166666666666667,0.153916359758659,1.08283919219504,0.0437978101094945,0.0689501239223753,0.9584223,1,745,49,6,11,1,3.14649449048815e-06,6.32279113291771e-06,6
"ACAD8",0.333333333333333,0.274379412200729,1.21486277217285,0.0389980500974951,0.0676786160691965,0.8072449,1,415,30,3,1,1,0.00689655172413793,0.00780399274047187,3
"ACTA2",0.166666666666667,0.149889292924701,1.11193176920512,0.0898955052247388,0.0966376681165942,0.5655485,1,377,40,6,2,1,9.11843017106176e-06,1.70474998850285e-05,6
"ACTB",0.142857142857143,0.132919317994476,1.07476584301373,0.105594720263987,0.110745682228084,0.6607801,1,375,58,7,1,1,1.72944733435094e-07,4.3744844339465e-07,7
"ACTN1",0.166666666666667,0.152697813270961,1.09148037615259,0.0374481275936203,0.0676786160691965,0.9996544,1,892,60,6,3,1,1.09859687207499e-06,2.30437392679144e-06,5
"AKT1",0.333333333333333,0.259166292498016,1.28617549034038,0.0351482425878706,0.0676499508357915,0.9509114,1,480,42,3,1,1,0.00348432055749129,0.00404934551276015,3
"ASS1",0.142857142857143,0.129722511426456,1.10125175103577,0.0943452827358632,0.100169065620793,0.06418294,1,412,48,7,5,1,5.70426855305198e-07,1.3258570150337e-06,7
"ATM",0.0344827586206897,0.0341249427461046,1.01048546446648,0.0509474526273686,0.0695473162849794,0.563384,1,3056,455,28,4,1,1.14699281210269e-42,4.71760464105387e-41,21
"ATP2C1",0.111111111111111,0.109856052645816,1.01142457274832,0.0566471676416179,0.0730963451827409,0.869142,1,919,72,9,1,1,7.51941491312251e-10,2.58667873011415e-09,9
"ATP7B",0.4,0.149234919040622,2.68033783628829,2.23185889295335e-06,9.59699323969941e-05,0.8677504,1,1465,115,10,8,4,7.46340431644497e-08,1.94500839761899e-07,8
"AUH",0.142857142857143,0.126061993956139,1.13322928167269,0.112394380280986,0.115838255706262,0.2392371,1,339,26,7,1,1,3.04043782304652e-05,4.84217875522224e-05,7
"BBS12",0.333333333333333,0.275181864212969,1.21132013654562,0.0243987800609969,0.0667490435002059,0.3269726,1,710,53,3,3,1,0.00217706821480407,0.00263701220384718,3
"BRAF",0.222222222222222,0.137563849544822,1.61541148315871,0.0143992800359982,0.0667490435002059,0.9999371,1,766,109,7,10,1,3.45675024024069e-09,1.10103896541e-08,9
"CEP164",0.111111111111111,0.103561559478118,1.07289916906464,0.032098395080246,0.0667490435002059,0.7910608,1,1460,112,9,1,1,1.89278005432625e-11,7.75138498438368e-11,7
