,geneSymbol,prob,probSD,SNR,pval_prob,qval_prob,pval_MutSig,qval_MutSig,protLength,uniquePosNdMAF,uniquePosNdMAFtumor,uniquePosNExactMatch,uniquePosNExactMatchtumor,casesN,SNRcorrected,MutSigPass,probPass,tumorType
1,ABCA1,0.071428571,0.072703304,0.982466644,0.026098695,0.058357738,0.9999632,1,2261,190,14,5,1,12,0.982466644,0,0,BRCA
2,ABCD1,0.4,0.22294094,1.794197155,0.000549973,0.014665933,0.2988133,1,745,49,5,11,2,5,1.794197155,0,0,BRCA
3,ACADVL,0.111111111,0.104874227,1.059470129,0.057147143,0.064391147,0.664505,1,655,38,9,2,1,9,1.059470129,0,0,BRCA
4,ACTA2,0.333333333,0.186282734,1.789394685,0.004849758,0.043108956,0.7797104,1,377,40,6,2,2,6,1.789394685,0,0,BRCA
5,AKT1,0.833333333,0.078535108,10.6109656,0.008049598,0.058357738,0.7918961,1,480,42,4,1,1,24,10.6109656,0,1,BRCA
6,AKT2,0.166666667,0.156056679,1.06798804,0.043497825,0.058357738,0.1650891,1,481,55,5,1,1,6,1.06798804,0,0,BRCA
7,ALDH3A2,0.333333333,0.277398339,1.201641416,0.024748763,0.058357738,0.5668578,1,485,38,3,2,1,3,1.201641416,0,0,BRCA
8,ALPL,0.333333333,0.271804853,1.22637006,0.02379881,0.058357738,0.9983031,1,524,47,3,8,1,3,1.22637006,0,0,BRCA
9,ATL1,0.25,0.213986513,1.168297929,0.02879856,0.058357738,0.4516483,1,558,41,4,1,1,3,1.168297929,0,0,BRCA
10,ATP7B,0.125,0.117312402,1.06553099,0.024448778,0.058357738,0.9186502,1,1465,115,8,8,1,8,1.06553099,0,0,BRCA
11,BCHE,0.142857143,0.128524468,1.111517089,0.045697715,0.058964794,0.2667951,1,602,112,7,2,1,7,1.111517089,0,0,BRCA
12,BEST1,0.166666667,0.152623591,1.092011171,0.042047898,0.058357738,0.1622313,1,585,40,6,3,1,6,1.092011171,0,0,BRCA
13,BRAF,0.111111111,0.10385797,1.069837121,0.04859757,0.059512176,0.6212826,1,766,109,9,10,1,9,1.069837121,0,0,BRCA
14,BTD,0.25,0.224555506,1.113310489,0.031698415,0.058357738,0.5139903,1,543,41,4,1,1,4,1.113310489,0,0,BRCA
15,BTK,0.111111111,0.105575369,1.052434032,0.053647318,0.063349774,0.50542,1,659,102,9,3,1,9,1.052434032,0,0,BRCA
16,CACNA1F,0.071428571,0.069590097,1.026418626,0.029048548,0.058357738,0.5414667,1,1977,184,14,2,1,14,1.026418626,0,0,BRCA
17,CBS,0.5,0.346221923,1.444160429,0.015749213,0.058357738,0.9156808,1,551,43,2,3,1,2,1.444160429,0,0,BRCA
18,CETP,0.25,0.220890341,1.131783307,0.031498425,0.058357738,0.4695865,1,493,45,4,1,1,4,1.131783307,0,0,BRCA
19,COL1A1,0.1,0.094318269,1.06023998,0.027748613,0.058357738,0.5976333,1,1464,204,10,4,1,8,1.06023998,0,0,BRCA
20,COL1A2,0.076923077,0.068783795,1.118331382,0.041347933,0.058357738,0.3678557,1,1366,250,13,8,1,13,1.118331382,0,0,BRCA
21,CPS1,0.076923077,0.070700458,1.088013841,0.036698165,0.058357738,0.4660695,1,1500,246,13,10,1,12,1.088013841,0,0,BRCA
22,CRB1,0.111111111,0.104991292,1.058288829,0.027298635,0.058357738,0.999604,1,1406,226,9,7,1,9,1.058288829,0,0,BRCA
23,DDR2,0.071428571,0.067868525,1.052455036,0.066646668,0.070126364,0.08526433,1,855,124,14,2,1,14,1.052455036,0,0,BRCA
24,DNAL1,0.333333333,0.274120062,1.216012176,0.065946703,0.070126364,0.1714301,1,190,13,3,1,1,3,1.216012176,0,0,BRCA
25,EDA,0.333333333,0.272507766,1.223206729,0.031448428,0.058357738,0.5996652,1,391,31,3,2,1,3,1.223206729,0,0,BRCA
26,ERCC4,0.2,0.175668151,1.138510304,0.021548923,0.058357738,0.9862483,1,916,96,5,2,1,4,1.138510304,0,0,BRCA
27,F10,0.2,0.177275454,1.128187775,0.04259787,0.058357738,0.4480468,1,488,56,5,2,1,4,1.128187775,0,0,BRCA
28,F7,0.5,0.343040343,1.457554514,0.016049198,0.058357738,0.8726051,1,466,35,2,3,1,2,1.457554514,0,0,BRCA
