"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ACADM",1,0,Inf,0.0175491225438728,0.0386230688465577,1,1,421,39,1,2,1,1,1,1
"APC",0.125,0.114047168999308,1.09603772804530,0.0205489725513724,0.0386230688465577,0.9858764,1,2843,535,8,1,1,3.34318631461964e-15,1.50443384157884e-14,7
"ATP1A2",0.5,0.361591618401891,1.38277541445741,0.0124493775311234,0.0373481325933703,1,1,1020,117,2,2,1,0.0170940170940171,0.0307692307692308,2
"ATP8B1",0.5,0.350911868051138,1.42485918979274,0.0114494275286236,0.0373481325933703,0.7618468,1,1251,135,2,5,1,0.0148148148148148,0.0296296296296297,2
"EFEMP1",0.2,0.171313596507540,1.16744966002273,0.0694965251737413,0.0694965251737413,1,1,493,62,5,1,1,8.96306321648485e-06,2.30478768423896e-05,5
"F8",0.25,0.224556062989681,1.11330772668333,0.0106994650267487,0.0373481325933703,0.4587668,1,2351,324,4,27,1,7.12209623233987e-07,2.56395464364235e-06,4
"KCNJ1",0.333333333333333,0.276015631936885,1.20766106975258,0.0524973751312434,0.0555854560213166,0.2822218,1,391,47,3,1,1,0.00277520814061055,0.00624421831637373,3
"KCNQ1",0.5,0.351928406929028,1.42074350963329,0.0210489475526224,0.0386230688465577,1,1,676,54,2,6,1,0.037037037037037,0.0555555555555555,2
"KRAS",1,0,Inf,0.0374481275936203,0.0421291435428229,0.1980646,1,189,44,1,6,1,1,1,2
"LCAT",0.5,0.354710543358341,1.40960005097701,0.0309484525773711,0.0421291435428229,1,1,440,31,2,4,1,0.064516129032258,0.0893300248138958,2
"MYH7",1,0,Inf,0.00434978251087446,0.0260986950652467,0.6325293,1,1935,108,1,22,1,1,1,1
"NF1",0.0666666666666667,0.0651128568607846,1.02386333330765,0.0366981650917454,0.0421291435428229,0.9446979,1,2839,474,15,6,1,5.49266417206835e-26,4.94339775486151e-25,14
"PACS1",0.2,0.176106142349929,1.13567872949368,0.0374481275936203,0.0421291435428229,0.03925012,1,963,82,5,1,1,2.85867837581329e-06,8.57603512743988e-06,5
"PIK3CA",1,0,Inf,0.000299985000749962,0.00269986500674966,1,1,1068,139,2,14,2,1,1,2
"PLP1",1,0,Inf,0.0245487725613719,0.0386230688465577,0.1854423,1,277,25,1,2,1,1,1,1
"PRF1",0.5,0.349286416857285,1.43148996316194,0.0257487125643718,0.0386230688465577,0.1117693,1,555,58,2,2,1,0.0344827586206897,0.0555555555555555,2
"TG",0.111111111111111,0.104136330065146,1.06697740396269,0.0219489025548723,0.0386230688465577,0.4466476,1,2768,463,9,2,1,1.82608968360368e-16,1.09565381016221e-15,9
"TP53",0.46,0.0282542683759328,16.2807259377430,7.09437888712843e-05,0.00127698819968312,0,0,393,287,123,44,34,3.26242159317669e-46,5.87235886771805e-45,294
