"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ACSF3",0.5,0.356631723471407,1.4020065156657,0.047697615119244,0.0823867897514215,0.2262882,1,576,49,2,1,1,0.0408163265306123,0.0646258503401361,2
"ASS1",1,0,Inf,0.0341982900854957,0.0649767511624419,0.5012899,1,412,48,1,5,1,1,1,1
"BRAF",0.666666666666667,0.277939092298865,2.39860705146798,0.00259987000649968,0.0164658433744979,0.03694442,1,766,109,3,10,2,0.0275229357798165,0.0606060606060606,3
"CDKN2A",1,0,Inf,0.0911954402279886,0.101924315548928,0.5701452,1,156,81,1,9,1,1,1,1
"CHRNA1",0.5,0.353009370435992,1.41639299654415,0.0591470426478676,0.0917382702293457,0.1761473,1,482,62,2,1,1,0.032258064516129,0.0606060606060606,2
"CREBBP",0.25,0.207775378974767,1.20322244740249,0.024198790060497,0.0626968651567422,0.7176934,1,2442,350,4,1,1,5.64596948353494e-07,2.6818355046791e-06,4
"KCNJ2",0.5,0.357972267283576,1.39675624537672,0.0675966201689916,0.0917382702293457,0.2508862,1,427,64,2,3,1,0.03125,0.0606060606060606,2
"KRAS",1,0,Inf,0.0805459727013649,0.0956483425828709,0.2036016,1,189,44,1,6,1,1,1,1
"L2HGDH",1,0,Inf,0.0296985150742463,0.0626968651567422,0.07519502,1,463,33,1,1,1,1,1,1
"PIK3CA",0.392857142857143,0.0925992124964964,4.2425538216322,0.00184990750462477,0.0164658433744979,0,0,1068,139,12,14,5,4.64207494806634e-09,2.93998080044201e-08,25
"POLR3B",1,0,Inf,0.0117494125293735,0.0446477676116194,0.4017001,1,1133,105,1,1,1,1,1,1
"PTEN",0.230769230769231,0.121722912201972,1.89585696394054,0.105944702764862,0.105944702764862,6.084625e-09,7.651213e-06,403,242,13,17,3,1.81890730875827e-15,1.72796194332036e-14,13
"PTPN11",0.6,0.213100379567404,2.81557452510411,0.00549972501374931,0.0261236938153092,0.01382141,1,597,82,4,10,2,0.001806684733514,0.00490385856239515,5
"SLC2A9",1,0,Inf,0.0268486575671216,0.0626968651567422,0.6299024,1,540,66,1,1,1,1,1,1
"SMARCB1",0.333333333333333,0.269021964273749,1.23905620209561,0.0727463626818659,0.0921453927303635,0.007440651,1,385,57,2,1,1,0.0350877192982456,0.0606060606060606,3
"TP53",0.643243243243243,0.0350186682391072,18.3685809766146,3.36904521258675e-05,0.000640118590391483,0,0,393,287,73,44,29,1.16638591847602e-32,2.21613324510443e-31,144
"TP63",0.333333333333333,0.269269083209539,1.23791907099093,0.0629468526573671,0.0917382702293457,0.04130585,1,680,162,3,3,1,0.000230043708304578,0.000728471742964497,3
"TPM1",0.5,0.356517678179996,1.40245499901288,0.0997450127493625,0.105286402346549,0.07226792,1,284,34,2,3,1,0.0588235294117647,0.085972850678733,2
"VWF",0.333333333333333,0.275185905958852,1.21130234548849,0.016149192540373,0.0511391097111811,0.9339812,1,2813,298,3,3,1,6.7792014100739e-05,0.000257609653582808,3
"FUBP1",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IDH1",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CIC",NA,NA,NA,NA,NA,1.221245e-15,2.094103e-12,NA,NA,NA,NA,NA,NA,NA,NA
"ATRX",NA,NA,NA,NA,NA,2.997602e-15,4.711731e-12,NA,NA,NA,NA,NA,NA,NA,NA
"NBPF1",NA,NA,NA,NA,NA,1.675138e-11,2.430496e-08,NA,NA,NA,NA,NA,NA,NA,NA
"NOTCH1",NA,NA,NA,NA,NA,1.727851e-10,2.327909e-07,NA,NA,NA,NA,NA,NA,NA,NA
"PIK3R1",NA,NA,NA,NA,NA,7.022259e-09,8.278366e-06,NA,NA,NA,NA,NA,NA,NA,NA
"IDH2",NA,NA,NA,NA,NA,3.13939e-08,3.483245e-05,NA,NA,NA,NA,NA,NA,NA,NA
"ARID1A",NA,NA,NA,NA,NA,9.482036e-08,9.93612e-05,NA,NA,NA,NA,NA,NA,NA,NA
"EGFR",NA,NA,NA,NA,NA,2.761815e-07,0.0002741756,NA,NA,NA,NA,NA,NA,NA,NA
"TCF12",NA,NA,NA,NA,NA,7.467962e-07,0.0006707652,NA,NA,NA,NA,NA,NA,NA,NA
"TPTE",NA,NA,NA,NA,NA,2.147557e-05,0.0155797,NA,NA,NA,NA,NA,NA,NA,NA
"SLC6A3",NA,NA,NA,NA,NA,3.80899e-05,0.02660932,NA,NA,NA,NA,NA,NA,NA,NA
