"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA4",0.5,0.3617659804689,1.38210895162649,0.0268986550672466,0.0864019299035048,0.9863679,1,2273,238,2,13,1,0.00840336134453781,0.0300120048019208,2
"ATP8B1",1,0,Inf,0.0242487875606220,0.0864019299035048,1,1,1251,135,1,5,1,1,1,1
"BCHE",0.5,0.343493431869865,1.45563190911152,0.0945952702364882,0.106353377983275,0.4064325,1,602,112,2,2,1,0.0178571428571429,0.0434027777777778,2
"COL17A1",1,0,Inf,0.0199990000499975,0.0864019299035048,0.131124,1,1497,118,1,1,1,1,1,1
"DDR2",1,0,Inf,0.0335983200839958,0.0933286668999883,0.5099482,1,855,124,1,2,1,1,1,1
"EDNRB",1,0,Inf,0.0665966701664917,0.0971661943218629,0.4685234,1,442,83,1,2,1,1,1,1
"FGFR2",0.5,0.353707660517989,1.41359675181412,0.072296385180741,0.0971661943218629,0.3320995,1,821,137,2,5,1,0.0145985401459854,0.0434027777777778,1
"GALC",0.5,0.352261391708044,1.41940051271472,0.0841457927103645,0.100173562750434,0.3676518,1,685,45,2,2,1,0.0444444444444444,0.0854700854700854,2
"KHK",1,0,Inf,0.0978451077446128,0.106353377983275,1,1,298,32,1,1,1,1,1,1
"KRAS",1,0,Inf,0.155792210389481,0.162283552489042,7.830571e-06,0.01846253,189,44,1,6,1,1,1,7
"NAGLU",1,0,Inf,0.0408479576021199,0.0971661943218629,0.5269877,1,743,37,1,1,1,1,1,1
"NIPBL",0.5,0.349757173021627,1.42956324721061,0.0219989000549973,0.0864019299035048,0.8733967,1,2804,342,2,2,1,0.00584795321637427,0.0292397660818713,2
"OCRL",0.5,0.353724640251596,1.41352889537003,0.0657967101644918,0.0971661943218629,1,1,901,96,2,3,1,0.0208333333333333,0.0434027777777778,1
"PAFAH1B1",1,0,Inf,0.0713464326783661,0.0971661943218629,1,1,410,32,1,1,1,1,1,1
"PIK3CA",0.545454545454545,0.108105850403298,5.04555991576477,0.00294985250737463,0.0368731563421829,1.269892e-09,5.988176e-06,1068,139,11,14,4,1.93419789502764e-09,1.6118315791897e-08,20
"PKHD1",0.25,0.219355571770737,1.13970207358713,0.0276486175691215,0.0864019299035048,0.9609057,1,4074,476,4,10,1,2.23940342292813e-07,1.39962713933008e-06,2
"PLCE1",0.5,0.364530701906757,1.37162658010599,0.0249987500624969,0.0864019299035048,1,1,2302,241,2,1,1,0.008298755186722,0.0300120048019208,1
"PPOX",1,0,Inf,0.0603969801509925,0.0971661943218629,0.3238954,1,477,40,1,5,1,1,1,1
"PTEN",0.375,0.122828978876330,3.05302546215555,0.259687015649218,0.259687015649218,1.093405e-09,5.988176e-06,403,242,13,17,4,1.0595135073517e-13,1.32439188418962e-12,11
"SLC35A2",1,0,Inf,0.0738463076846158,0.0971661943218629,0.489431,1,396,29,1,1,1,1,1,1
"SLC7A7",1,0,Inf,0.0614469276536173,0.0971661943218629,1,1,511,38,1,1,1,1,1,1
"SMC1A",0.5,0.362283037139471,1.38013638162007,0.0465976701164942,0.0971661943218629,0.3443693,1,1233,105,2,5,1,0.0190476190476190,0.0434027777777778,2
"STAT3",0.5,0.357591767063885,1.39824248221764,0.0779961001949902,0.0974951252437378,0.1023249,1,770,100,2,3,1,0.02,0.0434027777777778,2
"TP53",0.6,0.065553456069914,9.15283550206854,0.000599970001499925,0.0149992500374981,0,0,393,287,36,44,15,1.45928616304572e-22,3.64821540761429e-21,50
"TYR",1,0,Inf,0.0531973401329933,0.0971661943218629,0.4627449,1,529,11,1,4,1,1,1,1
