"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ACTA1",0.25,0.211202613724461,1.18369747225834,0.0690465476726164,0.0799420555288025,0.08774389,1,377,41,4,2,1,0.000375234521575985,0.000701525409902929,4
"ACTN1",0.5,0.357080532242387,1.40024435625238,0.0134493275336233,0.0372270860141203,0.9097721,1,892,60,2,3,1,0.0333333333333333,0.042156862745098,2
"AKT1",0.6,0.215235420612608,2.78764525974520,0.0148992550372481,0.0372270860141203,1,1,480,42,3,1,1,0.00348432055749129,0.00499419279907085,5
"ATP8B1",0.1,0.0963289638129118,1.03810937065842,0.0485975701214939,0.0630424361134884,0.4803539,1,1251,135,10,5,1,3.19949064725657e-13,1.96540139760046e-12,8
"BRAF",0.625,0.171296385912917,3.648646739796,5.25268018006188e-06,7.52884159142202e-05,0.9097302,1,766,109,8,10,5,0.000266750502538893,0.00054620340996059,8
"C3",0.333333333333333,0.194538873110051,1.71345360443599,0.00039998000099995,0.00343982800859957,0.8860153,1,1663,210,6,3,2,1.90503622997902e-07,4.55091988272767e-07,6
"CDKN2A",0.111111111111111,0.110592494481489,1.00468943785068,0.324633768311584,0.324633768311584,1.554597e-05,0.0293228,156,81,8,9,1,2.30069073062633e-09,8.24414178474433e-09,8
"CFTR",0.333333333333333,0.270818529663948,1.23083650792639,0.0134493275336233,0.0372270860141203,0.9845283,1,1480,72,3,6,1,0.00117370892018779,0.00199659495434143,3
"CREBBP",0.0285714285714286,0.0280364034331882,1.01908323011243,0.0855457227138643,0.0898759940051778,0.003993872,1,2442,350,33,1,1,1.45649059130787e-44,3.13145477131191e-43,32
"CTNNB1",0.666666666666667,0.19338629571529,3.44733148851538,1.08921783267436e-05,0.000117090917012493,0.5449774,1,781,112,5,5,3,0.00160875160875161,0.00256208589541923,6
"DYSF",0.142857142857143,0.129253952106524,1.10524390572915,0.0221488925553722,0.044072796360182,0.9859428,1,2080,287,7,3,1,9.50569472172217e-12,4.08744873034053e-11,7
"FBN1",0.0769230769230769,0.0747730641974279,1.02875384001881,0.0294985250737463,0.0528515240904621,0.8707139,1,2871,411,13,17,1,3.15194675454262e-22,3.38834276113332e-21,11
"FGFR3",0.826923076923077,0.0523023041479519,15.8104521472685,0,0,0.0002022269,0.2243767,806,93,16,8,7,1.18939215952376e-08,3.35233141646088e-08,45
"FKBP10",0.333333333333333,0.273180373389624,1.22019502791263,0.0342982850857457,0.0534401851336005,0.9257727,1,582,42,3,1,1,0.00348432055749129,0.00499419279907085,3
"GALNS",1,0,Inf,0.0106994650267487,0.0372270860141203,0.9999229,1,522,35,1,5,1,1,1,1
"HRAS",0.454545454545455,0.104892005946229,4.33346135813693,0.00809959502024899,0.0372270860141203,0.0225595,1,189,22,7,2,2,0.000797448165869218,0.00142876129718235,21
"IRF6",0.2,0.177163051302315,1.12890356386285,0.0706464676766162,0.0799420555288025,0.3109594,1,467,80,5,1,1,3.16139556645885e-06,7.1547373346174e-06,5
"KCNC3",1,0,Inf,0.00844957752112394,0.0372270860141203,0.8985777,1,757,38,1,1,1,1,1,1
"KRAS",0.666666666666667,0.140840048468417,4.73350211048931,0.0341982900854957,0.0534401851336005,1,1,189,44,3,6,1,0.00317124735729387,0.00487012987012987,11
"L1CAM",0.333333333333333,0.269699140739092,1.23594510690637,0.0163491825408730,0.0372270860141203,0.9496677,1,1257,135,3,6,1,0.000331674958540631,0.000648273782602142,3
"MPI",0.5,0.349045602798306,1.43247757883637,0.0313484325783711,0.0534401851336005,0.5806774,1,423,29,2,3,1,0.0689655172413793,0.082375478927203,2
"MYO7A",0.166666666666667,0.15277654927161,1.09091786312284,0.0164491775411229,0.0372270860141203,0.9999283,1,2215,144,6,4,1,1.24737913170637e-08,3.35233141646088e-08,6
"NR3C2",0.5,0.351116836726798,1.42402741110660,0.0131493425328734,0.0372270860141203,0.8969449,1,984,100,2,3,1,0.02,0.0260606060606061,2
"NRAS",0.25,0.213846130822299,1.16906487406940,0.0674466276686166,0.0799420555288025,0.1778445,1,189,31,2,2,1,0.064516129032258,0.07926267281106,4
"NSD1",0.1,0.0944081718015072,1.05923034088881,0.0206989650517474,0.044072796360182,0.9623005,1,2696,296,10,3,1,2.35217801375333e-16,2.02287309182787e-15,10
"PIK3CA",0.742857142857143,0.0531684879661101,13.9717560396046,0,0,5.197611e-05,0.07541333,1068,139,19,14,7,7.56192308426714e-13,3.61291880692764e-12,67
"PKD1",0.166666666666667,0.152088855307671,1.09585062185855,0.00939953002349883,0.0372270860141203,0.9998722,1,4303,189,6,4,1,3.14910081150139e-09,1.04162565303507e-08,5
"PMM2",0.5,0.337822251892728,1.48006828205849,0.0498475076246188,0.0630424361134884,0.4437223,1,246,17,2,3,1,0.117647058823529,0.13312693498452,2
"PRDM16",0.2,0.129175990170141,1.54827533922190,0.00394980250987451,0.0242630725606577,0.1475648,1,1276,169,9,1,1,6.45226322037104e-13,3.46809148094944e-12,10
"PROC",1,0,Inf,0.0146492675366232,0.0372270860141203,1,1,461,39,1,2,1,1,1,1
