"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA4",0.0444444444444444,0.0221069164016564,2.01043165120551,0.00039998000099995,0.00543861695804099,0.9998927,1,2273,238,81,13,4,2.58537802672012e-58,2.00085777720079e-57,64
"ABCC9",0.0120481927710843,0.0118826990335191,1.01392728513096,0.0741962901854907,0.0776878803118668,0.9999773,1,1549,237,76,2,1,7.78107930499113e-62,8.14724774287307e-61,63
"ABCD1",0.5,0.342187217897005,1.46118841923106,0.00449977501124944,0.0227172851883722,0.9991274,1,745,49,2,11,1,0.0408163265306123,0.0417546328876378,2
"ACAD8",0.25,0.213575196041966,1.17054791302112,0.0146492675366232,0.0386788352890048,0.9999996,1,415,30,4,1,1,0.000985221674876847,0.00106284520077624,3
"ACADM",0.25,0.215034857616132,1.16260220678401,0.0141992900354982,0.0386788352890048,0.98249,1,421,39,4,2,1,0.000437684648210964,0.000477962376573936,4
"ACTG1",0.111111111111111,0.106087700886067,1.04735148545107,0.0311484425778711,0.0477967480936298,0.9860757,1,375,56,7,1,1,2.15594000277685e-07,2.99810406636156e-07,9
"ACVR1",0.125,0.117819008732966,1.06094934377957,0.0212489375531223,0.0408613977903255,0.9999191,1,509,65,7,2,1,8.4746911822533e-08,1.19721827812785e-07,8
"ACVRL1",0.111111111111111,0.074035671560265,1.50077805427437,0.00264986750662467,0.0171634275429086,0.9999932,1,503,81,18,3,2,4.55437238174552e-15,9.42649167384538e-15,18
"ADAMTS13",0.0384615384615385,0.0372484445073328,1.03256764061562,0.0255987200639968,0.0438131939556868,0.999301,1,1427,92,23,1,1,2.48962796992952e-20,6.75167476852264e-20,25
"AKT1",0.2,0.176380583143696,1.1339116609965,0.0167991600419979,0.0386788352890048,0.9964964,1,480,42,5,1,1,4.46707763780935e-05,5.30093213020043e-05,5
"AKT3",0.5,0.251058694268826,1.99156616127627,0.00284985750712464,0.017492228836834,0.9999958,1,479,60,3,1,1,0.00169491525423729,0.00179580306698951,4
"ALPL",0.2,0.102009418570211,1.96060327372951,0.000549972501374931,0.00543861695804099,0.9999989,1,524,47,14,8,3,2.08989612185508e-08,3.02440251780654e-08,15
"ALX3",0.111111111111111,0.10673185084257,1.04103049121673,0.0361981900904955,0.0506162191890405,0.9994492,1,343,22,8,1,1,4.69087156393657e-05,5.52963667801795e-05,9
"ASS1",0.125,0.0809393363956993,1.54436650417907,0.0171991400429978,0.0387524927551091,0.9999998,1,412,48,14,5,2,1.30618507615944e-09,1.97034697929135e-09,16
"ATP1A2",0.03125,0.0301754539146714,1.03560993940198,0.0495475226238688,0.0576435230526055,0.9987716,1,1020,117,31,2,1,4.36574874732031e-27,1.5237319157314e-26,23
"ATP1A3",0.0425531914893617,0.0295599321479713,1.43955646705644,0.0188990550472476,0.0394412097576939,1,1,1013,110,42,4,2,5.29828859526126e-28,1.92468442848266e-27,38
"ATP2A2",0.0416666666666667,0.0421435011098616,0.988685457291459,0.0363481825908705,0.0506162191890405,0.910315,1,1042,82,23,2,1,4.52525111523854e-19,1.08850634934116e-18,22
"ATP7B",0.0714285714285714,0.0489902196693984,1.45801696564323,0.00624968751562422,0.0249187540622969,1,1,1465,115,26,8,2,9.32022575474689e-23,2.81186471922872e-22,25
"ATP8B1",0.0555555555555556,0.0545623599672821,1.01820294409679,0.0244487775611219,0.0433745303026111,0.8131511,1,1251,135,18,5,1,1.11475150975113e-20,3.10040263649533e-20,17
"BAG3",0.142857142857143,0.131195632269446,1.08888642393023,0.0192990350482476,0.0394412097576939,0.8826897,1,575,40,7,2,1,1.82368603421235e-06,2.38688319183676e-06,7
"BEST1",0.333333333333333,0.279137014794857,1.19415668888738,0.00774961251937403,0.0265307489342514,0.9999684,1,585,40,3,3,1,0.00384615384615385,0.00405097860719163,3
