,geneSymbol,prob,probSD,SNR,pval_prob,qval_prob,pval_MutSig,qval_MutSig,protLength,uniquePosNdMAF,uniquePosNdMAFtumor,uniquePosNExactMatch,uniquePosNExactMatchtumor,casesN,SNRcorrected,MutSigPass,probPass,tumorType
1,ABCA12,0.03030303,0.030135674,1.005553428,0.1219939,0.143443377,NA,1,2595,210,33,3,1,22,1.005553428,0,0,COAD/READ
2,ABCA4,0.214285714,0.10941723,1.958427513,0.000124198,0.004429725,NA,1,2273,169,14,11,3,9,1.958427513,0,0,COAD/READ
3,ABCC9,0.1,0.093039811,1.07480872,0.062246888,0.124572343,NA,1,1549,185,10,2,1,6,1.07480872,0,0,COAD/READ
4,ABCD1,0.666666667,0.276302388,2.412815435,0.001749913,0.02340508,NA,1,745,39,3,8,2,3,2.412815435,0,1,COAD/READ
5,ADSL,0.142857143,0.132915245,1.074798777,0.139143043,0.155086517,NA,1,484,40,7,4,1,7,1.074798777,0,0,COAD/READ
6,ALDH3A2,0.25,0.21348305,1.17105316,0.079946003,0.132316717,NA,1,485,31,4,2,1,4,1.17105316,0,0,COAD/READ
7,ATP2A1,0.166666667,0.147531405,1.12970297,0.055897205,0.124572343,NA,1,1001,66,6,1,1,4,1.12970297,0,0,COAD/READ
8,AVPR2,0.166666667,0.150348185,1.108537934,0.155042248,0.15951462,NA,1,371,27,6,3,1,5,1.108537934,0,0,COAD/READ
9,BBS12,0.25,0.225421416,1.109033935,0.05239738,0.124572343,NA,1,710,37,4,3,1,4,1.109033935,0,0,COAD/READ
10,BCHE,0.111111111,0.102003315,1.089289216,0.141092945,0.15563861,NA,1,602,91,9,2,1,9,1.089289216,0,0,COAD/READ
11,BICD2,0.166666667,0.154387146,1.079537194,0.053847308,0.124572343,NA,1,824,54,5,1,1,5,1.079537194,0,0,COAD/READ
12,BRAF,0.869565217,0.069729264,12.47059217,0.01259937,0.070954347,NA,0.6778567,766,65,4,6,1,22,12.47059217,0,0,COAD/READ
13,BTK,0.142857143,0.13215875,1.080951071,0.105844708,0.136708225,NA,1,659,72,7,3,1,5,1.080951071,0,0,COAD/READ
14,CACNA1A,0.176470588,0.092317097,1.911569956,0.00059997,0.016049198,NA,1,2505,156,15,3,2,10,1.911569956,0,0,COAD/READ
15,CAPN3,0.333333333,0.191205761,1.743322648,0.004449778,0.045630071,NA,1,821,61,6,6,2,6,1.743322648,0,0,COAD/READ
16,CBS,0.5,0.351242254,1.423518936,0.03439828,0.121155707,NA,1,551,31,2,3,1,2,1.423518936,0,0,COAD/READ
17,CD40LG,0.166666667,0.152887075,1.09012921,0.220238988,0.222316714,NA,1,261,25,6,1,1,4,1.09012921,0,0,COAD/READ
18,CFP,0.333333333,0.274358333,1.214956113,0.06179691,0.124572343,NA,1,469,27,3,1,1,3,1.214956113,0,0,COAD/READ
