"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"CPS1",0.125,0.116625837450202,1.07180366489007,0.0346482675866207,0.0472476376181191,NA,NA,1500,246,8,10,1,8.06082665220482e-13,3.02280999457681e-12,7
"CYP4F22",0.125,0.118886801502823,1.05142032942178,0.0975451227438628,0.112552064704457,NA,NA,531,53,7,1,1,3.0491151467844e-07,7.622787866961e-07,7
"DDR2",0.5,0.358296143052261,1.39549367107496,0.0176491175441228,0.0457477126143693,NA,NA,855,124,2,2,1,0.0161290322580645,0.0219941348973607,2
"IDS",1,0,Inf,0.0142492875356232,0.0457477126143693,NA,NA,550,51,1,2,1,1,1,1
"LRRK2",0.111111111111111,0.105971147984689,1.0485034202627,0.0276486175691215,0.0457477126143693,NA,NA,2527,392,9,4,1,6.993511209368e-16,3.496755604684e-15,9
"NLRP3",0.142857142857143,0.132601333801628,1.07734318171231,0.0505974701264937,0.0632468376581171,NA,NA,1036,271,7,3,1,1.34529494210909e-11,4.03588482632727e-11,7
"PCDH19",0.25,0.219334322542198,1.13981248854429,0.0245987700614969,0.0457477126143693,NA,NA,1148,144,4,3,1,8.20775468662793e-06,1.75880457570599e-05,4
"PIK3CA",1,0,Inf,0.000249987500624969,0.00374981250937453,NA,NA,1068,139,2,14,2,1,1,2
"PROS1",0.333333333333333,0.276221063377925,1.20676290669864,0.0304984750762462,0.0457477126143693,NA,NA,676,110,3,3,1,0.000500417014178482,0.000750625521267723,3
"PTEN",0.6,0.217974936800250,2.75261004227212,0.00249987500624969,0.0187490625468727,NA,NA,403,242,4,17,2,0.000205754260827818,0.000385789239052159,5
"QDPR",1,0,Inf,0.0289985500724964,0.0457477126143693,NA,NA,244,23,1,1,1,1,1,1
"RB1",0.0270270270270270,0.0277019719029457,0.975635493448505,0.256737163141843,0.256737163141843,NA,NA,928,250,33,3,1,1.27321585451983e-39,1.90982378177974e-38,37
"SLC5A5",0.333333333333333,0.275521164181469,1.20982841490096,0.0225988700564972,0.0457477126143693,NA,NA,643,42,2,1,1,0.0476190476190476,0.0595238095238095,3
"SOS1",0.333333333333333,0.270731244073581,1.23123333796944,0.0171991400429978,0.0457477126143693,NA,NA,1333,149,3,8,1,0.000272084164701614,0.000453473607836024,3
"TP53",0.359375,0.0610874136118832,5.882963097493,0.242687865606720,0.256737163141843,NA,NA,393,287,52,44,18,2.60821573223903e-31,1.95616179917927e-30,61
