"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA12",0.0181818181818182,0.0174262518277787,1.04335793844291,0.0516474176291185,0.0619563616413774,0.7937253,1,2595,264,51,3,1,1.84041981251081e-53,3.44421422055594e-52,24
"ABCA1",0.0344827586206897,0.0344966317748662,0.999597840326352,0.0370481475926204,0.0566719032469429,0.5873616,1,2261,190,29,5,1,1.12317161027747e-32,9.19596755914676e-32,18
"ABCA4",0.142857142857143,0.0648056023243611,2.20439495557997,4.99975001249937e-05,0.000935667502339169,0.9981802,1,2273,238,26,13,3,4.39684323231927e-29,2.74279268301821e-28,18
"ABCC6",0.0714285714285714,0.0661807380902919,1.07929547916374,0.0266986650667467,0.0560873364782465,0.2920474,1,1503,93,13,4,1,3.12065026532199e-14,8.88706923385174e-14,12
"ABCC9",0.0714285714285714,0.049200207889548,1.45179409788115,0.00609969501524924,0.0285378588213446,0.9181573,1,1549,237,25,2,1,5.24860158807617e-32,4.04451063551752e-31,15
"ABCD1",0.25,0.126592184342843,1.97484545588485,0.000149992500374981,0.00245612719364032,0.3948891,1,745,49,12,11,3,1.07084327526539e-07,2.00400670085381e-07,8
"ACADVL",0.333333333333333,0.157627806994463,2.11468610576459,0.000199990000499975,0.00261986900654967,0.2824269,1,655,38,8,2,2,1.01424250031061e-05,1.38401841188219e-05,7
"ACTA2",0.142857142857143,0.135281471705444,1.05599932537838,0.0510474476276186,0.0619563616413774,0.5450912,1,377,40,7,2,1,1.82368603421235e-06,2.84408179145022e-06,7
"ACTN1",0.111111111111111,0.106042551839242,1.04779740947344,0.0251487425628719,0.0560873364782465,0.6789942,1,892,60,8,3,1,2.07142844566328e-08,4.17472502125985e-08,8
"ACVR1",0.363636363636364,0.145091913053352,2.50624832207327,0.000599970001499925,0.00604585155357617,0.766151,1,509,65,9,2,2,5.1709980095105e-08,1.01104587947146e-07,10
