"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"AARS",0.2,0.178498239827797,1.12045922801786,0.00784960751962402,0.0253874403054041,0.9999621,1,968,66,5,1,1,6.93750693750694e-06,9.81161695447411e-06,5
"ABCA12",0.0227272727272727,0.0227659035594301,0.998303127655067,0.0265486725663717,0.0398230088495575,0.5719863,1,2595,264,44,3,1,7.37800094517162e-49,6.08685077976659e-48,39
"ABCA4",0.0606060606060606,0.042426744852941,1.42848716808542,0.00219989000549973,0.0111369431528424,0.9999978,1,2273,238,32,13,2,4.47300334059463e-36,2.46015183732704e-35,22
"ACVRL1",0.0769230769230769,0.072219153544493,1.06513401428453,0.0426978651067447,0.0497304546537379,0.9519885,1,503,81,13,3,1,1.83812300578498e-13,3.79112869943152e-13,13
"AGA",0.111111111111111,0.106302347471572,1.04523666460729,0.0434978251087446,0.0500730777414618,0.5653234,1,346,43,9,1,1,6.20653216408058e-08,1.05939083490341e-07,9
"AKT1",0.6,0.222907442064476,2.69170017134937,0.00449977501124944,0.0178191090445478,0.9992366,1,480,42,3,1,1,0.00348432055749129,0.00387581724934425,5
"ALPL",1,0,Inf,1.57780968459584e-05,0.000259833312992847,0.9363255,1,524,47,2,8,2,1,1,2
"APC",0.0208333333333333,0.0200132640784157,1.04097628711161,0.0251987400629969,0.0392934199443874,0.01377713,0.8691109,2843,535,41,1,1,1.09556832293896e-59,1.20512515523286e-58,44
"ATM",0.0428571428571429,0.0248433469114633,1.72509537502644,4.99975001249937e-05,0.000618719064046798,2.978427e-05,0.008777984,3056,455,65,4,2,1.30754164454631e-75,2.15744371350142e-74,61
"ATP1A3",0.142857142857143,0.0951208791755234,1.50184842797272,0.000499975001249937,0.00353553750883884,0.9969373,1,1013,110,14,4,2,2.58719505006547e-14,5.82118886264731e-14,13
"ATP7B",0.0666666666666667,0.0679546912455977,0.981045832814163,0.0171491425428729,0.0334836199366502,0.9912367,1,1465,115,15,8,1,4.21390614155965e-17,1.09783344214317e-16,14
"BBS12",0.142857142857143,0.131911196754238,1.08297965883289,0.0194990250487476,0.0347366560243416,0.9918295,1,710,53,7,3,1,3.0491151467844e-07,4.64403691587163e-07,7
