"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"CASR",0.0046189376443418,0.00332003523804305,1.39123151206804,0.0130493475326234,0.0723413829308535,0.5650317,1,1078,173,20,8,2,1.57761040494566e-22,6.62596370077177e-22,11
"CFTR",0.00234192037470726,0.00233828394126739,1.00155517188297,0.0271486425678716,0.0723413829308535,0.9598095,1,1480,129,14,6,1,5.94643011116169e-17,2.08125053890659e-16,13
"F11",0.00467289719626168,0.00324455189415102,1.44022883550901,0.0185490725463727,0.0723413829308535,1,1,625,51,13,4,1,8.18880151673535e-11,1.91072035390492e-10,12
"F9",0.00234192037470726,0.00237887334028934,0.98446619037835,0.0791460426978651,0.0791460426978651,0.2790991,1,461,78,13,9,1,2.99325599980102e-13,8.97976799940305e-13,14
"G6PC",0.00239234449760766,0.00234375389872867,1.02073195436831,0.0464976751162442,0.0723413829308535,0.435068,1,357,36,6,4,1,1.59154570919277e-05,1.96602705253224e-05,5
"GLRA1",0.00237529691211401,0.00232845129146401,1.02011878918049,0.0566971651417429,0.0723413829308535,0.3052222,1,457,58,9,1,1,4.69533212945955e-09,8.21683122655421e-09,9
"HSD3B2",0.00238663484486874,0.00237892855193327,1.00323939654648,0.0542472876356182,0.0723413829308535,0.2974933,1,372,48,7,1,1,5.70426855305198e-07,7.98597597427277e-07,7
"MYH7",0.00892857142857143,0.00467931823087942,1.90809237329717,0.00509974501274936,0.0723413829308535,0.9909913,1,1935,198,34,22,3,3.73374688046352e-33,1.96021711224335e-32,22
"OTC",0.00238095238095238,0.00229566366416349,1.03715209598004,0.064446777661117,0.0723413829308535,0.6766752,1,354,39,8,7,1,5.20124359133648e-07,7.80186538700472e-07,7
"PAH",0.00240963855421687,0.00234621105873115,1.02703401096405,0.0196490175491225,0.0723413829308535,1,1,452,32,3,9,1,0.00604838709677419,0.00668505942275042,3
"PHOX2B",0.00239234449760766,0.0024220748463839,0.98772525596365,0.0548972551372431,0.0723413829308535,0.6503018,1,314,58,6,1,1,1.30943869600857e-06,1.71863828851125e-06,6
"PIK3CA",0.132758620689655,0.0142029660653546,9.34724620750127,0.0306484675766212,0.0723413829308535,7.771561e-16,2.44312e-12,1068,58,58,14,12,1,1,129
"PKHD1",0.00215517241379310,0.00206900214657840,1.04164822513945,0.0369981500924954,0.0723413829308535,0.9944545,1,4074,190,50,10,1,5.96367736236341e-45,6.26186123048158e-44,23
"PROKR2",0.0023696682464455,0.00238031849447357,0.995525704626168,0.0663466826658667,0.0723413829308535,0.6891288,1,384,68,9,2,1,1.2175308586524e-09,2.55542145233786e-09,10
"RHO",0.00239808153477218,0.00234464557305975,1.02279063510767,0.0404979751012449,0.0723413829308535,1,1,348,36,5,1,1,8.48824378236143e-05,9.90295107942167e-05,4
"RIMS1",0.00220264317180617,0.00222876020185471,0.988281812450343,0.0658467076646168,0.0723413829308535,0.5896019,1,1692,153,39,1,1,2.97385289155996e-35,2.08169702409197e-34,18
"RPE65",0.00238663484486874,0.00240295698463521,0.993207477341108,0.0385480725963702,0.0723413829308535,0.4291659,1,533,51,7,3,1,3.88684613530890e-07,6.27875144934515e-07,6
"SCN10A",0.00222222222222222,0.00214058821831513,1.03813624834923,0.0536473176341183,0.0723413829308535,0.9985347,1,1956,358,37,1,1,9.76794249187944e-49,2.05126792329468e-47,22
"SERPINC1",0.00236406619385343,0.00238352808563638,0.991834838489954,0.0688965551722414,0.0723413829308535,0.1026275,1,464,49,11,6,1,1.33855409408174e-09,2.55542145233786e-09,8
"TACR3",0.0023696682464455,0.00235650958485017,1.00558396268783,0.0632968351582421,0.0723413829308535,0.4846071,1,465,82,10,1,1,3.41236265254399e-11,8.95745196292799e-11,8
"TTR",0.00240963855421687,0.00234476885131106,1.02766571334720,0.0567971601419929,0.0723413829308535,1,1,147,18,3,3,1,0.0196078431372549,0.0205882352941177,3
