"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCD1",0.666666666666667,0.278582418180464,2.39306798692086,0.0101494925253737,0.0558222088895555,1,1,745,49,3,11,2,0.0612244897959184,0.168367346938776,2
"FAS",1,0,Inf,0.0742962851857407,0.136209856173858,1,1,335,46,1,1,1,1,1,1
"GJB1",1,0,Inf,0.0895955202239888,0.140792960351982,0.1656027,1,283,19,1,5,1,1,1,1
"HNF1A",0.333333333333333,0.269494309287402,1.23688449754184,0.121593920303985,0.167191640417979,0.004442402,1,631,78,3,5,1,0.000999000999001,0.00366300366300367,3
"KRT5",1,0,Inf,0.0423978801059947,0.136209856173858,0.4812253,1,590,72,1,3,1,1,1,1
"NPHS2",1,0,Inf,0.0685965701714914,0.136209856173858,1,1,383,1,1,2,1,1,1,1
"PKD1",1,0,Inf,0.00614969251537423,0.0558222088895555,1,1,4303,189,1,4,1,1,1,1
"PRNP",1,0,Inf,0.343032848357582,0.409894505274736,0.1493115,1,73,24,1,2,1,1,1,1
"PRSS1",0.142857142857143,0.137365934686359,1.03997503590189,0.710314484275786,0.710314484275786,1,1,247,23,7,2,1,6.93433187712363e-05,0.000381388253241799,6
"TINF2",1,0,Inf,0.0552972351382431,0.136209856173858,0.3252461,1,451,33,1,1,1,1,1,1
"TP53",0.413793103448276,0.0951975080461132,4.34667999132747,0.372631368431578,0.409894505274736,4.440892e-16,8.376411e-12,393,287,27,44,10,7.99994100182131e-21,8.79993510200344e-20,22
