"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"AGXT",0.00241545893719807,0.00241201826585715,1.00142646985291,0.0826458677066147,0.187632285052414,NA,NA,392,34,2,3,1,0.0588235294117647,0.0647058823529412,2
"BMP15",0.00240384615384615,0.0023999255777781,1.00163362401916,0.169741512924354,0.228388580570971,NA,NA,392,63,4,4,1,0.000100727758051925,0.000158286476938740,4
"CLCN1",0.00240384615384615,0.00233681667904896,1.02868409635987,0.0680465976701165,0.187632285052414,NA,NA,988,97,4,3,1,2.71296798697775e-05,4.97377464279255e-05,4
"CNGA3",0.00479616306954436,0.00343986935598640,1.39428640253375,0.0554472276386181,0.187632285052414,NA,NA,694,78,5,5,2,0.000131447499868552,0.000180740312319259,5
"ELANE",0.00241545893719807,0.00242458008119618,0.996238052078026,0.125993700314984,0.197990100494975,NA,NA,267,18,2,2,1,0.111111111111111,0.111111111111111,2
"G6PC",0.00241545893719807,0.00248082903497127,0.9736498981382,0.0916454177291135,0.187632285052414,NA,NA,357,36,2,4,1,0.0555555555555555,0.0647058823529412,2
"GRIN2B",0.00239234449760766,0.0024173537484271,0.989654285875322,0.0634468276586171,0.187632285052414,NA,NA,1484,314,6,1,1,2.43546467033256e-10,6.69752784341454e-10,6
"MYH7",0.00235849056603774,0.0024155975543204,0.976359063544949,0.102344882755862,0.187632285052414,NA,NA,1935,198,12,22,1,3.46615496814321e-17,1.90638523247876e-16,12
"SPTA1",0.00223214285714286,0.00235262124432675,0.94878972232593,0.228388580570971,0.228388580570971,NA,NA,2419,423,33,4,1,2.61921438479784e-47,2.88113582327762e-46,33
"TPO",0.00236406619385343,0.00241690848622988,0.978136411586323,0.202989850507475,0.228388580570971,NA,NA,933,171,11,4,1,2.44151687045344e-15,8.95222852499594e-15,11
"TYR",0.00238663484486874,0.00234061333074069,1.01966216013710,0.219889005549723,0.228388580570971,NA,NA,529,95,7,4,1,8.05423690917692e-09,1.77193212001892e-08,7
