"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA4",0.00469483568075117,0.00326611783818017,1.43743609794773,0.00549972501374931,0.0586470676466177,0.8514507,1,2273,30,14,13,2,1.05210552618428e-06,3.73522936505494e-06,13
"ABCC6",0.00237529691211401,0.00233236762293424,1.01840588454309,0.0328483575821209,0.089554613178432,0.8814406,1,1503,19,9,4,1,0.000119075970469159,0.000319624973364585,8
"ALAS2",0.0023696682464455,0.00241491698665587,0.981262817537663,0.095395230238488,0.113143180050300,0.5133734,1,587,66,10,4,1,2.70167085136391e-10,1.53094681577288e-09,9
"ARG1",0.00240963855421687,0.00245131535386471,0.982998189285548,0.0502474876256187,0.089554613178432,0.5721889,1,322,31,3,1,1,0.0064516129032258,0.0126550868486352,3
"ATM",0.00240384615384615,0.00233791420514665,1.02820118401024,0.00729963501824909,0.0586470676466177,0.563384,1,3056,4,4,4,1,1,1,4
"AVPR2",0.00239808153477218,0.00237508992413586,1.00968031163901,0.0571971401429928,0.089554613178432,0.533844,1,371,6,4,3,1,0.4,0.453333333333333,5
"BCHE",0.00236406619385343,0.00237788246698897,0.994189673658245,0.100094995250237,0.113440994616936,0.1662354,1,602,13,11,2,1,0.0384615384615384,0.0625,10
"CABP4",0.00240384615384615,0.00230252385522925,1.04400488550283,0.079546022698865,0.104021721990824,1,1,275,7,4,1,1,0.142857142857143,0.182142857142857,4
"CASQ2",0.00240963855421687,0.00252250243931899,0.955257175040593,0.0425478726063697,0.089554613178432,0.6565629,1,399,4,3,1,1,1,1,3
"CASR",0.00470588235294118,0.00337493578837564,1.39436204064970,0.0235988200589970,0.0823458827058647,0.3677451,1,1078,173,11,8,2,1.77664906151965e-13,1.5101517022917e-12,13
"CAV3",0.00240963855421687,0.00243221093023043,0.990719400306525,0.106444677766112,0.117931603419829,0.6574493,1,151,17,3,2,1,0.0220588235294118,0.0375,3
"CDH23",0.00226757369614512,0.00214435066582543,1.05746402968670,0.0456977151142443,0.089554613178432,0.8424722,1,3354,30,28,2,1,0.00689655172413792,0.0127372627372628,23
"CFTR",0.00241545893719807,0.00238503909028241,1.01275444374878,0.0072496375181241,0.0586470676466177,0.9968575,1,1480,129,2,6,1,0.0155038759689923,0.0272654370489174,2
"CLCN1",0.00238663484486874,0.00228159409328735,1.04603831675863,0.0413479326033698,0.089554613178432,0.6683373,1,988,97,7,3,1,7.08378439499128e-09,3.01060836787129e-08,7
