"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"AKR1D1","0.00240384615384615","0.00228778696042199","1.05072989549812","0.0674966251687416","0.113746486588714","-","1","326","52","4","1","1","0.000180995475113122","0.000212472949045839","4"
"ALAS2","0.00237529691211401","0.00228270798573966","1.04056100340156","0.0810959452027399","0.113746486588714","-","1","587","66","9","4","1","1.56696909379106e-09","3.52568046102988e-09","9"
"ALX4","0.00239808153477218","0.00238086952217399","1.00722929687574","0.0651967401629918","0.113746486588714","-","0.08767218","411","46","5","1","1","3.06400710849649e-05","3.93943771092406e-05","5"
"BMP15","0.00238663484486874","0.00239026221008271","0.998482440462527","0.0968951552422379","0.113746486588714","-","1","392","63","7","4","1","1.0302371513201e-07","1.85442687237617e-07","6"
"CACNA1S","0.00232018561484919","0.00222410564636308","1.04319937258521","0.0572971351432428","0.113746486588714","-","1","1873","227","19","1","1","9.48797333134692e-26","2.56175279946367e-24","17"
"CAV3","0.00240384615384615","0.00234602511798029","1.02464638397207","0.148142592870356","0.153840384903832","-","1","151","17","4","2","1","0.00588235294117647","0.00635294117647059","4"
"CFTR","0.00231481481481481","0.00241755200401622","0.95750362803748","0.0729463526823659","0.113746486588714","-","1","1480","129","20","6","1","7.76770024636544e-22","6.9909302217289e-21","15"
"CLCN1","0.00235849056603774","0.00240902732647904","0.979021923128135","0.0654467276636168","0.113746486588714","-","1","988","97","12","3","1","1.20641277892823e-13","4.07164312888277e-13","9"
"CYP11B1","0.00468384074941452","0.00329902058457136","1.41976705793216","0.0431478426078696","0.113746486588714","-","1","503","105","15","2","2","7.52054928678225e-15","2.9007832963303e-14","15"
"CYP17A1","0.00239234449760766","0.00237585858594909","1.00693892799684","0.0658467076646168","0.113746486588714","-","1","508","40","6","2","1","9.11843017106176e-06","1.29577691904562e-05","5"
"DCX","0.0023696682464455","0.00236946780056359","1.00008459531793","0.124793760311984","0.134777261136943","-","1","441","70","10","4","1","1.5376683722111e-10","3.77427691360907e-10","8"
"ELANE","0.00241545893719807","0.00239576361506158","1.00822089542251","0.0431478426078696","0.113746486588714","-","1","267","18","2","2","1","0.111111111111111","0.111111111111111","2"
"F9","0.004739336492891","0.00329662193308673","1.43763421741643","0.0513474326283686","0.113746486588714","-","1","461","78","9","9","2","1.36265457101795e-08","2.83012872442189e-08","10"
"FGF23","0.00240384615384615","0.00235762401584683","1.01960538987075","0.0849457527123644","0.113746486588714","-","1","251","41","4","2","1","0.000375234521575985","0.000422138836772983","3"
"GJA8","0.00238663484486874","0.00227509365336637","1.04902707690179","0.0933953302334883","0.113746486588714","-","1","433","72","7","1","1","4.48031805240217e-08","8.64061338677562e-08","7"
"HEPACAM","0.00239234449760766","0.00229160324725573","1.04396103490976","0.0807459627018649","0.113746486588714","-","1","416","31","6","1","1","3.53126048342956e-05","4.333819684209e-05","6"
"MYH7","0.0023094688221709","0.00231215355074965","0.998838862333395","0.0537473126343683","0.113746486588714","-","1","1935","198","19","22","1","1.23327656222957e-24","1.66492335900992e-23","18"
"MYOC","0.00239234449760766","0.0024588604502567","0.972948463731605","0.064246787660617","0.113746486588714","-","1","504","42","6","5","1","7.05328048075159e-06","1.05799207211274e-05","5"
"MYPN","0.00232558139534884","0.00228616644317451","1.01724063105379","0.0744962751862407","0.113746486588714","-","1","1320","123","18","1","1","6.04209833615382e-20","4.07841637690383e-19","15"
"OTC","0.00239234449760766","0.00241441320464582","0.990859598102056","0.0892455377231138","0.113746486588714","-","1","354","39","6","7","1","1.0421063052642e-05","1.40684351210667e-05","6"
"PLG","0.00234741784037559","0.00230664659389758","1.0176755496858","0.087795610219489","0.113746486588714","-","1","810","135","13","2","1","2.81122680526996e-16","1.26505206237148e-15","12"
"POU1F1","0.00238095238095238","0.00238187574449654","0.99961233765183","0.15709214539273","0.15709214539273","-","1","291","35","8","1","1","1.18967599174365e-06","2.0075782360674e-06","6"
"PROP1","0.00240963855421687","0.00228935148651135","1.05254198335827","0.0750962451877406","0.113746486588714","-","1","226","22","3","1","1","0.012987012987013","0.0134865134865135","3"
"SCN2A","0.00227272727272727","0.0022360205748498","1.01641608234304","0.07989600519974","0.113746486588714","-","1","2005","67","28","5","1","6.82082486082951e-18","3.68324542484794e-17","20"
"SLC4A1","0.00236406619385343","0.00228826575334789","1.03312571557505","0.0650967451627419","0.113746486588714","-","1","911","74","11","4","1","1.53116556912898e-11","4.59349670738694e-11","10"
"TBX22","0.00239808153477218","0.0024620404296458","0.974021996510098","0.0521973901304935","0.113746486588714","-","1","520","97","5","1","1","1.44306807817966e-06","2.29193165357946e-06","5"
"TPH2","0.00236406619385343","0.00251641942361274","0.93945634486457","0.109794510274486","0.123518824058797","-","1","490","73","10","1","1","1.03005683741404e-10","2.78115346101792e-10","9"
"B3GNT6",NA,NA,NA,NA,NA,"-","0.04964727",NA,NA,NA,NA,NA,NA,NA,NA
"KRT1",NA,NA,NA,NA,NA,"-","0.005736507",NA,NA,NA,NA,NA,NA,NA,NA
"OPRD1",NA,NA,NA,NA,NA,"-","0.000172385",NA,NA,NA,NA,NA,NA,NA,NA
