"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ALDH3A2",1,0,Inf,0.016299185040748,0.051972401379931,1,1,485,38,1,2,1,1,1,1
"ATM",0.0769230769230769,0.0704032622911377,1.09260671195857,0.032198390080496,0.051972401379931,0.9851569,1,3056,455,12,4,1,3.12692362874015e-21,2.43900043041732e-20,10
"ATP1A2",0.25,0.215402729406653,1.16061667690399,0.0328483575821209,0.051972401379931,0.9388293,1,1020,117,4,2,1,1.53769269211548e-05,3.15631657855283e-05,4
"C7",0.25,0.225250250111238,1.1098766810538,0.0379481025948703,0.0527083020848958,0.3454988,1,843,159,4,1,1,6.08495510063756e-06,1.39596028779332e-05,3
"CDKN2A",0.117647058823529,0.0780550723811607,1.50723143588968,0.155192240387981,0.155192240387981,8.049117e-14,1.740432e-10,156,81,12,9,1,9.89758541576521e-13,3.50914392013494e-12,16
"CFI",0.333333333333333,0.275721316670817,1.20895017243552,0.0420478976051197,0.0527083020848958,0.5435339,1,583,84,3,2,1,0.000860585197934597,0.00145925316171519,2
"CHD7",0.1,0.0981040998858581,1.01932539125631,0.0265486725663717,0.051972401379931,0.9056363,1,2997,262,10,1,1,7.16772658210857e-16,3.99344766717478e-15,6
"CNGA3",0.5,0.359310595591202,1.39155373132627,0.0228988550572471,0.051972401379931,0.9726434,1,694,31,2,5,1,0.0645161290322581,0.0786290322580645,2
"CTNNB1",0.125,0.113649036967339,1.09987733583632,0.0786460676966152,0.0828972064910268,0.2341566,1,781,112,8,5,1,2.20824339671395e-10,7.17679103932033e-10,4
"F8",0.166666666666667,0.158401588645783,1.05217799954877,0.0117994100294985,0.051972401379931,0.9848935,1,2351,324,4,27,1,7.12209623233987e-07,1.73601095663284e-06,5
"FBN1",0.3,0.14895821074566,2.01398767142979,4.403734366743e-05,0.00171745640302977,0.9159702,1,2871,411,10,17,3,3.21386157170186e-13,1.25340601296372e-12,3
"FLT4",0.111111111111111,0.103503250187337,1.07350359442823,0.0531973401329933,0.0611925286088637,0.06529928,1,1363,213,9,1,1,9.78359872057258e-14,4.23955944558145e-13,6
"GCDH",0.5,0.359634657794667,1.39029982000643,0.0346482675866207,0.051972401379931,0.4869264,1,438,46,2,3,1,0.0434782608695652,0.0584707646176912,1
"GJB6",0.5,0.345847669661963,1.44572320087832,0.0610469476526174,0.0661341932903355,0.3443314,1,261,13,2,1,1,0.153846153846154,0.176470588235294,1
"GRIN2A",0.125,0.116215074080101,1.07559196592555,0.0432478376081196,0.0527083020848958,0.9195897,1,1464,367,8,7,1,4.76273840295509e-14,2.32183497144061e-13,5
"KRAS",0.925465838509317,0.0202714457619815,45.6536672014286,0.0422978851057447,0.0527083020848958,1.998401e-15,1.256462e-11,189,44,2,6,1,0.0454545454545455,0.0590909090909091,159
"MYBPC3",0.25,0.213548684239778,1.1706932350812,0.0248987550622469,0.051972401379931,3.798354e-05,0.004239322,1274,61,4,3,1,0.000111141983884412,0.000216726868574604,2
"MYH7",0.166666666666667,0.146880588372235,1.1347085990988,0.0250487475626219,0.051972401379931,0.6524308,1,1935,108,6,22,1,5.38265394551761e-08,1.39949002583458e-07,4
"NDUFA1",1,0,Inf,0.115644217789111,0.118687486678298,1,1,70,6,1,1,1,1,1,1
"OSMR",0.5,0.359665273704745,1.39018147303945,0.0168491575421229,0.051972401379931,0.9088768,1,979,127,2,1,1,0.015748031496063,0.0219347581552306,1
"PARK2",0.333333333333333,0.279300132688252,1.19345927309455,0.0555472226388681,0.0618954766547387,0.3334522,1,465,71,3,4,1,0.00120724346076459,0.00188329979879276,2
"PARK7",1,0,Inf,0.0417479126043698,0.0527083020848958,1,1,189,11,1,1,1,1,1,1
"PCDH19",0.5,0.357949896114146,1.39684353991419,0.0143992800359982,0.051972401379931,0.914152,1,1148,144,2,3,1,0.0138888888888889,0.0200617283950617,1
"PHGDH",1,0,Inf,0.0128993550322484,0.051972401379931,0.6058292,1,533,39,1,3,1,1,1,1
"PIK3CA",0.25,0.21368589485893,1.16994151703389,0.0312484375781211,0.051972401379931,0.3755315,1,1068,139,4,14,1,9.13264945010034e-06,1.97874071418841e-05,4
"PKLR",0.5,0.34321355676247,1.45681891099085,0.0273986300684966,0.051972401379931,0.3701394,1,574,36,2,5,1,0.0555555555555555,0.0698924731182795,2
"PMM2",1,0,Inf,0.031998400079996,0.051972401379931,0.4050484,1,246,17,1,3,1,1,1,1
"RYR1",0.0526315789473684,0.049860010496243,1.05558700095609,0.0313984300784961,0.051972401379931,0.1576524,1,5038,569,19,7,1,4.08383726803283e-33,1.5926965345328e-31,9
"SACS",0.0833333333333333,0.0788237616942369,1.0572108148884,0.0213989300534973,0.051972401379931,0.2643382,1,4579,567,12,3,1,2.71214635466497e-22,2.64434269579835e-21,3
