"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"AQP2",0.00241545893719807,0.00246049398418349,0.981696745744993,0.0998450077496125,0.20995200239988,0.4668036,1,271,23,2,3,1,0.0869565217391304,0.0956521739130435,2
"CLCNKB",0.00241545893719807,0.00236163575837178,1.02279063510767,0.0421978901054947,0.20995200239988,1,1,687,10,2,1,1,0.2,0.2,2
"F9",0.00239808153477218,0.0023677638400567,1.01280435751344,0.145042747862607,0.20995200239988,0.7269026,1,461,78,5,9,1,3.5052666631614e-06,9.63948332369385e-06,5
"MC2R",0.00240384615384615,0.0023771996112702,1.01120921543552,0.182940852957352,0.223594375836764,0.05395394,1,297,50,4,2,1,0.000204081632653061,0.00032069970845481,4
"NLRP7",0.00240384615384615,0.0024561838674847,0.978691451266578,0.0548472576371181,0.20995200239988,0.8373518,1,980,61,4,2,1,0.000111141983884412,0.000244512364545707,4
"OTC",0.00240384615384615,0.00236108571466802,1.01811049845098,0.152692365381731,0.20995200239988,0.09340692,1,354,39,4,7,1,0.000437684648210964,0.000601816391290076,4
"PAH",0.00240963855421687,0.00236867014583058,1.01729595336793,0.0857957102144893,0.20995200239988,0.434207,1,452,32,3,9,1,0.00604838709677419,0.00739247311827956,3
"PDYN",0.00240384615384615,0.00244440900980723,0.983405863831163,0.208289585520724,0.229118544072796,0.02447865,1,254,51,4,2,1,0.000192076830732293,0.00032069970845481,4
"PROKR2",0.00238095238095238,0.00244668197618773,0.973135210920315,0.247087645617719,0.247087645617719,0.0003208488,0.2881833,384,68,7,2,1,6.39541903808803e-08,2.34498698063228e-07,7
"SLC26A3",0.00238095238095238,0.00246065072033809,0.967610868650727,0.120893955302235,0.20995200239988,0.02608938,1,764,110,7,2,1,3.26820022713666e-09,1.79751012492516e-08,8
"SPTA1",0.00228310502283105,0.00231598809675518,0.985801708579503,0.131693415329234,0.20995200239988,0.0001395035,0.1384902,2419,423,24,4,1,4.48089345001693e-37,4.92898279501862e-36,24
