"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCC6",1,0,Inf,0.0184490775461227,0.0744296118527407,0.8337391,1,1503,93,1,4,1,1,1,1
"AKT1",0.666666666666667,0.279623298723817,2.38415993842176,0.0589970501474926,0.0811209439528024,0.07721945,1,480,42,2,1,1,0.0476190476190476,0.130952380952381,3
"AKT2",1,0,Inf,0.0583470826458677,0.0811209439528024,0.2343891,1,481,55,1,1,1,1,1,1
"BRAF",1,0,Inf,0.00629968501574921,0.0692965351732413,0,0,766,109,2,10,2,1,1,236
"CHRNE",1,0,Inf,0.0566471676416179,0.0811209439528024,0.5607989,1,493,32,1,3,1,1,1,1
"KRAS",0.25,0.213392915853682,1.1715477948266,0.293585320733963,0.293585320733963,0.001933829,1,189,44,2,6,1,0.0454545454545455,0.130952380952381,4
"PIK3CA",0.5,0.345616044839429,1.44669209507416,0.0513974301284936,0.0811209439528024,0.192271,1,1068,139,2,14,1,0.0143884892086331,0.108910891089109,2
"PLA2G5",1,0,Inf,0.199090045497725,0.218999050047498,0.1884763,1,138,12,1,1,1,1,1,1
"PPOX",1,0,Inf,0.0578971051447428,0.0811209439528024,0.5053666,1,477,40,1,5,1,1,1,1
"SOS1",1,0,Inf,0.0202989850507475,0.0744296118527407,0.811954,1,1333,149,1,8,1,1,1,1
"TSHR",0.5,0.355643757828649,1.40590123963571,0.0728963551822409,0.0890955452227389,0.3394506,1,764,101,2,4,1,0.0198019801980198,0.108910891089109,2
"COMMD1",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CTSH",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CYB5A",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"HRAS",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"NRAS",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"PDK3",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"SVOPL",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
