"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ADSL",1,0,Inf,0.0109494525273736,0.0244987750612469,0.7334859,1,484,49,1,4,1,1,1,1
"AKT3",0.5,0.357748492636914,1.39762992798256,0.0212989350532473,0.028170020070425,0.3865963,1,479,60,2,1,1,0.0333333333333333,0.0533333333333333,2
"ALK",0.166666666666667,0.154902730663724,1.07594401953108,0.0196490175491225,0.028170020070425,0.9849063,1,1620,221,6,1,1,1.42941126248224e-09,5.71764504992894e-09,6
"CPS1",0.2,0.175687296142965,1.13838623731365,0.016399180040998,0.028170020070425,0.5140197,1,1500,246,5,10,1,3.35802522864206e-08,1.07456807316546e-07,5
"GDF5",1,0,Inf,0.00899955002249887,0.0244987750612469,0.7447572,1,501,57,1,3,1,1,1,1
"GLI2",0.25,0.221193046599263,1.13023444382014,0.0122493875306235,0.0244987750612469,0.4413513,1,1586,221,4,1,1,2.25399097276615e-06,4.50798194553231e-06,4
"HPRT1",1,0,Inf,0.0230488475576221,0.028170020070425,0.4270683,1,218,14,1,4,1,1,1,1
"KRAS",1,0,Inf,0.0246487675616219,0.028170020070425,0.3277711,1,189,44,1,6,1,1,1,1
"LDLR",1,0,Inf,0.00529973501324934,0.0211989400529973,0.9063899,1,860,106,1,4,1,1,1,1
"PIK3CA",0.538461538461538,0.136657718907022,3.94022044834433,4.45688410318578e-06,2.37700485503242e-05,0.2916592,1,1068,139,9,14,4,3.13375226228934e-07,8.35667269943824e-07,13
"PTEN",0.15,0.082618556183377,1.81557275906717,0.023998800059997,0.028170020070425,0,0,403,242,19,17,3,2.43220896839815e-22,3.89153434943705e-21,18
"RAD51",0.5,0.345860693950064,1.44566875839378,0.0287485625718714,0.0306651334099962,0.5510179,1,339,23,2,1,1,0.0869565217391304,0.126482213438735,2
"SLC37A4",0.333333333333333,0.267070098567136,1.24811176961295,0.0327483625818709,0.0327483625818709,0.2314301,1,429,21,3,2,1,0.0142857142857143,0.0253968253968254,3
"TG",0.166666666666667,0.148299878506613,1.12384897644562,0.0106494675266237,0.0244987750612469,0.9285544,1,2768,463,6,2,1,3.45810429476699e-11,2.7664834358136e-10,6
"TP53",0.5625,0.119400089536739,4.71105174361631,0,0,5.22124e-05,0.07034502,393,287,16,44,9,3.86993407887907e-10,2.06396484206884e-09,15
"VHL",0.431818181818182,0.0301786842339318,14.308714669961,0,0,7.327472e-15,1.97444e-11,213,115,104,24,23,4.02092672004049e-07,9.19068964580684e-07,246
"BAP1",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"PBRM1",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"SETD2",NA,NA,NA,NA,NA,8.65974e-15,2.04175e-11,NA,NA,NA,NA,NA,NA,NA,NA
"KDM5C",NA,NA,NA,NA,NA,1.694755e-11,3.551831e-08,NA,NA,NA,NA,NA,NA,NA,NA
"NEFH",NA,NA,NA,NA,NA,4.952137e-08,9.340722e-05,NA,NA,NA,NA,NA,NA,NA,NA
