"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA4",0.25,0.21511208871356,1.16218480093369,0.0137493125343733,0.031898405079746,0.9924709,1,2273,238,4,13,1,1.80290953540824e-06,4.05654645466854e-06,3
"AKT1",0.5,0.363477806910018,1.3755998041547,0.0310984450777461,0.0368981550922454,1,1,480,42,2,1,1,0.0476190476190476,0.0659340659340659,2
"CTNNB1",0.728813559322034,0.0575303704744068,12.6683272385019,0,0,0,0,781,112,13,5,5,2.70667547768653e-09,1.62400528661192e-08,55
"CYP27B1",1,0,Inf,0.015949202539873,0.031898405079746,0.9386844,1,508,58,1,2,1,1,1,1
"EIF2B5",1,0,Inf,0.0114494275286236,0.031898405079746,0.6040371,1,721,53,1,1,1,1,1,1
"FBN1",0.2,0.190018701993007,1.05252797699545,0.0122993850307485,0.031898405079746,0.9890289,1,2871,411,5,17,1,4.26748591471463e-09,1.92036866162159e-08,4
"FOXP3",1,0,Inf,0.0188990550472476,0.0340182990850458,0.9148899,1,431,25,1,1,1,1,1,1
"IL17RD",0.333333333333333,0.283197184113003,1.1770361855022,0.0303984800759962,0.0368981550922454,0.6862681,1,739,61,3,2,1,0.00163934426229508,0.00295081967213115,3
"JAG1",0.166666666666667,0.149384139642508,1.11569184697598,0.0369481525923704,0.039121573333098,0.9982732,1,1218,130,6,2,1,2.09611544531889e-08,7.546015603148e-08,5
"KMT2D",0.0833333333333333,0.079296580442615,1.05090702358394,0.015699215039248,0.031898405079746,NA,NA,5537,531,12,4,1,5.61797903143567e-22,5.0561811282921e-21,12
"NLRP3",0.25,0.210204956229922,1.18931543995827,0.0297985100744963,0.0368981550922454,0.9046218,1,1036,271,4,3,1,1.21934304844907e-06,3.13545355315476e-06,4
"PIK3CA",0.5,0.351521432230408,1.4223883785051,0.015749212539373,0.031898405079746,0.7075671,1,1068,139,2,14,1,0.0143884892086331,0.0235448005232178,2
"RET",0.2,0.177964354046846,1.12382055985972,0.0327983600819959,0.0368981550922454,0.9999602,1,1114,160,5,7,1,1.90154846894923e-07,5.7046454068477e-07,5
"SLC4A4",0.333333333333333,0.269883624000859,1.23510025688803,0.0208989550522474,0.0341982900854957,0.9212308,1,1079,128,3,2,1,0.000369094488188976,0.000738188976377953,3
"SMC1A",1,0,Inf,0.00689965501724914,0.031898405079746,0.7970598,1,1233,105,1,5,1,1,1,1
"TGFBR2",0.5,0.355833693763839,1.40515080151977,0.0261486925653717,0.0368981550922454,0.9852423,1,567,103,2,4,1,0.0194174757281553,0.029126213592233,2
"TGM1",1,0,Inf,0.0103494825258737,0.031898405079746,0.8668855,1,817,72,1,3,1,1,1,1
"TP53",0.369047619047619,0.0510126156208968,7.23443827680231,0.206589670516474,0.206589670516474,3.330669e-16,3.141154e-12,393,287,62,44,21,2.08980530454841e-34,3.76164954818715e-33,82
"RB1",NA,NA,NA,NA,NA,1.327883e-07,0.0008348843,NA,NA,NA,NA,NA,NA,NA,NA
"BAP1",NA,NA,NA,NA,NA,1.412192e-06,0.00665919,NA,NA,NA,NA,NA,NA,NA,NA
"AXIN1",NA,NA,NA,NA,NA,6.475961e-06,0.02035826,NA,NA,NA,NA,NA,NA,NA,NA
"PTEN",NA,NA,NA,NA,NA,2.048111e-05,0.04828934,NA,NA,NA,NA,NA,NA,NA,NA
