"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"BMP15",0.00240963855421687,0.00227693999873374,1.05827933786438,0.0434478276086196,0.0887655617219139,0.7530242,1,392,63,3,4,1,0.00153609831029186,0.00187745349035672,3
"CRB1",0.00236406619385343,0.00233908189691789,1.0106812407759,0.0487475626218689,0.0887655617219139,0.0005275083,0.497493,1406,74,11,7,1,1.53116556912898e-11,8.4214106302094e-11,10
"DCX",0.00239808153477218,0.00235420134350081,1.01863909872981,0.0681965901704915,0.0887655617219139,0.1716133,1,441,70,5,4,1,5.45318711520947e-06,1.35071250084419e-05,5
"FGF23",0.00240963855421687,0.0025314140441113,0.951894282099875,0.0806959652017399,0.0887655617219139,0.4727215,1,251,41,3,2,1,0.00365853658536585,0.00402439024390244,3
"MYH7",0.00235294117647059,0.00245406102105874,0.958794893965381,0.040197990100495,0.0887655617219139,0.4138739,1,1935,198,13,22,1,2.40962644844181e-18,2.65058909328599e-17,13
"OCA2",0.00240384615384615,0.00241799060130528,0.994150329843511,0.0289485525723714,0.0887655617219139,0.4659502,1,838,29,4,2,1,0.00109469074986317,0.00150519978106185,4
"OTC",0.00240384615384615,0.00253727082050564,0.947414101174703,0.0692465376731163,0.0887655617219139,0.2351372,1,354,39,4,7,1,0.000437684648210964,0.000687790161474372,3
"PDYN",0.00235294117647059,0.00235929190644615,0.997308205077036,0.292985350732463,0.292985350732463,0.0001505007,0.236562,254,51,12,2,1,2.51963123591856e-10,9.2386478650347e-10,12
"PKLR",0.00241545893719807,0.00241975410334377,0.998224957593927,0.0218489075546223,0.0887655617219139,0.6706522,1,574,32,2,5,1,0.0625,0.0625,2
"PROKR2",0.00239808153477218,0.00232237433838666,1.03259904965972,0.0782460876956152,0.0887655617219139,0.9485444,1,384,68,5,2,1,6.13960227656452e-06,1.35071250084419e-05,5
"SERPINC1",0.00240384615384615,0.00247922989881379,0.969593886793756,0.0534473276336183,0.0887655617219139,0.1050788,1,464,49,4,6,1,0.000217108119843682,0.000398031553046751,4
