"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA1",1,0,Inf,0.0253487325633718,0.0986200689965502,NA,NA,2261,190,1,5,1,1,1,1
"ALDOB",1,0,Inf,0.157592120393980,0.214898345991791,NA,NA,364,60,1,1,1,1,1,1
"ATM",0.25,0.21939478474105,1.13949837182809,0.0737963101844908,0.128993550322484,NA,NA,3056,455,4,4,1,2.56475443918920e-07,3.84713165878379e-06,2
"CDKN2A",1,0,Inf,0.373781310934453,0.4004799760012,NA,NA,156,81,1,9,1,1,1,1
"CLCNKB",1,0,Inf,0.0826958652067397,0.128993550322484,NA,NA,687,43,1,1,1,1,1,1
"CTNNB1",1,0,Inf,0.00784960751962402,0.0986200689965502,NA,NA,781,112,4,5,4,1,1,25
"IGHMBP2",1,0,Inf,0.0579471026448678,0.128993550322484,NA,NA,993,77,1,1,1,1,1,1
"MYO7A",1,0,Inf,0.0262986850657467,0.0986200689965502,NA,NA,2215,144,1,4,1,1,1,1
"NRAS",1,0,Inf,0.312084395780211,0.360097379746397,NA,NA,189,31,1,2,1,1,1,1
"PIK3CA",0.75,0.213970870759395,3.50515001101883,0.0169991500424979,0.0986200689965502,NA,NA,1068,139,3,14,2,0.0215827338129496,0.107913669064748,4
"PLA2G4A",1,0,Inf,0.079646017699115,0.128993550322484,NA,NA,749,118,1,1,1,1,1,1
"PTEN",1,0,Inf,0.0859957002149893,0.128993550322484,NA,NA,403,242,2,17,2,1,1,2
"SMC1A",1,0,Inf,0.0462976851157442,0.128993550322484,NA,NA,1233,105,1,5,1,1,1,1
"TP53",0.7,0.146707576876974,4.77139637162031,1,1,NA,NA,393,287,10,44,7,3.07779511887342e-05,0.000230834633915507,9
"WAS",0.5,0.355119853162436,1.40797535127188,0.232488375581221,0.290610469476526,NA,NA,502,64,2,2,1,0.03125,0.1171875,2
