"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA12","0.0222222222222222","0.0223809700728465","0.99290701653648","0.0935453227338633","0.110425681723433","-","1","2595","264","44","3","1","7.37800094517162e-49","2.31669229678389e-47","33"
"ABCA1","0.0333333333333333","0.0307999417887757","1.08225312768224","0.0672466376681166","0.0934311691495071","-","1","2261","190","29","5","1","1.12317161027747e-32","1.25955673438259e-31","25"
"ABCA4","0.142857142857143","0.0789906655214731","1.80853195645387","0.000249987500624969","0.00784960751962402","-","1","2273","238","21","13","3","2.7422221871819e-24","1.95694946994345e-23","15"
"ABCC9","0.133333333333333","0.0891607204912733","1.49542682695553","0.00304984750762462","0.0266014477053925","-","1","1549","237","14","2","1","1.63754565787975e-20","9.18195243882573e-20","9"
"ABCD1","0.6","0.213798292111302","2.80638350323043","9.99950002499875e-05","0.00392480375981201","-","1","745","49","5","11","3","0.00850340136054421","0.00960456124896001","4"
"ADSL","0.111111111111111","0.0991095938872185","1.12109339523225","0.0889455527223639","0.106598868529856","-","1","484","49","8","4","1","9.31309151518689e-08","1.82769420985543e-07","9"
"ALDH3A2","0.142857142857143","0.131220543650657","1.0886797058048","0.0781460926953652","0.0980577955229223","-","1","485","38","7","2","1","2.53560625077653e-06","3.98090181371915e-06","7"
"ATP2A1","0.142857142857143","0.129488522586225","1.10324173914345","0.0359482025898705","0.0896469195231827","-","1","1001","79","7","1","1","2.51832363757747e-08","5.34292987972518e-08","5"
"ATP7B","0.111111111111111","0.102392625133749","1.08514759696778","0.0345482725863707","0.0896469195231827","-","1","1465","115","9","8","1","1.52159109407645e-11","4.19104915385969e-11","8"
"ATP8B1","0.0625","0.0643269030068326","0.97159970523315","0.0690465476726164","0.094398297326513","-","1","1251","135","16","5","1","5.20217371217189e-19","2.63464926713221e-18","14"
"AVPR2","0.142857142857143","0.135961037695062","1.05072118659132","0.103894805259737","0.114066324655795","-","1","371","30","7","3","1","1.17889773062187e-05","1.76273279721557e-05","6"
"BBS12","0.142857142857143","0.134588684940875","1.06143501528305","0.055747212639368","0.0896469195231827","-","1","710","53","7","3","1","3.0491151467844e-07","5.31901197827946e-07","6"
"BBS2","0.125","0.119643489436595","1.04477059795422","0.0625968701564922","0.0901624643538465","-","1","721","51","8","1","1","6.9099486849936e-08","1.39084864556922e-07","7"
"BCHE","0.0833333333333333","0.0776747494365664","1.07284972192138","0.110644467776611","0.118171302319238","-","1","602","112","12","2","1","2.28666922171822e-14","8.34900157697118e-14","10"
"BICD2","0.111111111111111","0.101749485974956","1.09200660864723","0.0534473276336183","0.0896469195231827","-","1","824","72","8","1","1","5.43068854836624e-09","1.21802586013357e-08","8"
"BRAF","0.8","0.072053780628489","11.1028178261016","0.00709964501774911","0.0412831210291337","-","0.6778567","766","109","7","10","1","3.45675024024069e-09","8.22287557148164e-09","28"
