"","geneSymbol","UniProtID","refSeqID","length"
"1","LCE6A","A0A183","",80
"2","TRBC2","A0A5B9","NG_001333",178
"3","KANSL1L","A0AUZ9","NM_152519",987
"4","SLC12A8","A0AV02","NM_024628",714
"5","RBM47","A0AV96","NM_019027",593
"6","TTC26","A0AVF1","NM_024926",554
"7","FER1L5","A0AVI2","NM_001077400",2093
"8","TMEM129","A0AVI4","NM_138385",362
"9","E2F8","A0AVK6","NM_024680",867
"10","UBA6","A0AVT1","NM_018227",1052
"11","ESYT2","A0FGR8","NM_020728",921
"12","ESYT3","A0FGR9","NM_031913",886
"13","MED19","A0JLT2","NM_153450",244
"14","UHRF1BP1L","A0JNW5","NM_001006947",1464
"15","IGLC7","A0M8Q6","NG_000002",106
"16","KIAA1598","A0MZ66","NM_018330",631
"17","PLSCR5","A0PG75","XM_371670",271
"18","DHRS12","A0PJE2","NM_024705",317
"19","SLC5A10","A0PJK1","NM_152351",596
"20","TMEM223","A0PJW6","",202
"21","DAPL1","A0PJW8","NM_001017920",107
"22","CIB4","A0PJX0","",185
"23","TLDC2","A0PJX2","NM_080628",215
"24","SHISA3","A0PJX4","NM_001080505",238
"25","TMEM82","A0PJX8","NM_001013641",343
"26","FEZF1","A0PJY2","NM_001024613",475
"27","ANKRD20A5P","A0PJZ0","",165
"28","GXYLT2","A0PJZ3","NM_001080393",443
"29","TMEM120B","A0PK00","NM_001080825",339
"30","TMEM72","A0PK05","NM_001123376",275
"31","CLRN2","A0PK11","NM_001079827",232
"32","TMEM30C","A0ZSE6","NR_028357",113
"33","PQLC2L","A1A4F0","NM_001130002",135
"34","LNP1","A1A4G5","",178
"35","ARHGAP10","A1A4S6","NM_024605",786
"36","C14orf182","A1A4T8","NM_001012706",154
"37","C16orf93","A1A4V9","NM_001014979",331
"38","IRGM","A1A4Y4","NM_001145805",181
"39","FAM170A","A1A519","NM_182761",330
"40","KRTAP23-1","A1A580","",65
"41","ANO9","A1A5B4","NM_001012302",782
"42","SLC22A23","A1A5C7","NM_021945",686
"43","CCDC64B","A1A5D9","",508
"44","ODAM","A1E959","NM_017855",279
"45","ARHGEF37","A1IGU5","NM_001001669",675
"46","FAM168B","A1KXE4","NM_001009993",195
"47","PXDNL","A1KZ92","NM_144651",1463
"48","MEX3A","A1L020","NM_001093725",520
"49","ILVBL","A1L0T0","NM_006844",632
"50","TSPAN11","A1L157","XM_497334",253
"51","ERICH2","A1L162","",156
"52","UBE2QL1","A1L167","NM_001145161",161
"53","C20orf202","A1L168","NM_001009612",122
"54","C1orf226","A1L170","NM_001085375",272
"55","C17orf89","A1L188","NM_001086521",74
"56","SYCE3","A1L190","NM_001123225",88
"57","IGSF23","A1L1A6","NM_001205280",192
"58","PLEKHG3","A1L390","NM_015549",1219
"59","ELOVL7","A1L3X0","",281
"60","MT1DP","A1L3X4","",49
"61","GAGE12B","A1L429","",117
"62","GAGE12C","A1L429","",117
"63","GAGE12E","A1L429","",117
"64","GAGE12D","A1L429","",117
"65","NUTM2F","A1L443","NM_017561",756
"66","PRSS38","A1L453","NM_183062",326
"67","SSC5D","A1L4H1","XM_001718392",1573
"68","FSD2","A1L4K1","NM_001007122",749
"69","PLAC8L1","A1L4L8","XM_087761",177
"70","MIR99AHG","A1L4M7","NM_001005732",104
"71","SH3PXD2B","A1X283","NM_017963",911
"72","FAM92A1","A1XBS5","NM_145269",289
"73","ZBTB7C","A1YPR0","NM_001039360",619
"74","MACROD2","A1Z1Q3","NM_080676",448
"75","ZC3H12D","A2A288","NM_207360",527
"76","SERTM1","A2A2V5","NM_203451",107
"77","FRMD3","A2A2Y4","NM_174938",597
"78","ANKRD18B","A2A2Z9","XM_001718334",1011
"79","MAGEB16","A2A368","",324
"80","PTPDC1","A2A3K4","NM_177995, NM_152422",754
"81","TTC24","A2A3L6","XM_089384",582
"82","PIPSL","A2A3N6","NR_002319",862
"83","CXorf23","A2AJT9","NM_198279",711
"84","PPIAL4G","A2BFH1","NM_001123068",164
"85","DYTN","A2CJ06","",578
"86","CCDC78","A2IDD5","NM_173476",438
"87","HFM1","A2PYH4","NM_001017975",1435
"88","ZNF320","A2RRD8","NM_207333",509
"89","WDR27","A2RRH5","NM_182552",827
"90","TMEM213","A2RRL7","NM_001085429",107
"91","NBAS","A2RRP1","NM_015909",2371
"92","TARSL2","A2RTX5","NM_152334",802
"93","HEATR9","A2RTY3","NM_152781",570
"94","TMEM218","A2RU14","NM_001080546",115
"95","TESPA1","A2RU30","NM_001098815",521
"96","C9orf170","A2RU37","NM_001001709",121
"97","SMCO3","A2RU48","NM_001013698",225
"98","HYKK","A2RU49","NM_001013619",373
"99","HMX2","A2RU54","XM_370580",273
"100","KIAA1467","A2RU67","NM_020853",622
"101","C17orf104","A2RUB1","NM_001145080",952
"102","CCDC66","A2RUB6","NM_001012506",948
"103","TYW5","A2RUC4","NM_001039693",315
"104","XKRY2","A2RUG3","NM_001002906",117
"105","MYBPHL","A2RUH7","NM_001010985",354
"106","C17orf102","A2RUQ5","NM_207454",167
"107","CCDC144A","A2RUR9","",1427
"108","DENND3","A2RUS2","NM_014957",1198
"109","TMEM89","A2RUT3","NM_001008269",159
"110","CLPSL1","A2RUU4","NM_001010886",121
"111","DCDC2B","A2VCK2","XM_940631",349
"112","CCDC162P","A2VCL2","NR_028595",907
"113","FUOM","A2VDF0","NM_198472",154
"114","KIAA0922","A2VDJ0","NM_015196",1609
"115","SSPO","A2VEC9","",5147
"116","OR2M5","A3KFT3","NM_001004690",312
"117","VWA8","A3KMH1","NM_015058",1905
"118","SBNO1","A3KN83","NM_018183",1393
"119","PRAMEF22","A3QJZ6","NM_001100631",481
"120","LAMB4","A4D0S4","XM_209857",1761
"121","C7orf66","A4D0T2","NM_001024607",115
"122","LINC00998","A4D0T7","",59
"123","CPED1","A4D0V7","NM_024913",1026
"124","ISPD","A4D126","NM_001101426",451
"125","FAM221A","A4D161","NM_199136",298
"126","C7orf71","A4D174","NM_001145531",169
"127","GSAP","A4D1B5","NM_017439",854
"128","ZNF804B","A4D1E1","NM_181646",1349
"129","GTPBP10","A4D1E9","NM_033107",387
"130","LRRD1","A4D1F6","NM_001045475",860
"131","WDR91","A4D1P6","NM_014149",747
"132","KLRG2","A4D1S0","NM_198508",409
"133","RAB19","A4D1S5","",217
"134","PRSS37","A4D1T9","NM_001008270",235
"135","KIAA1147","A4D1U4","",455
"136","GRIFIN","A4D1Z8","",148
"137","BLACE","A4D250","",179
"138","CDC14C","A4D256","XM_498195",554
"139","C7orf72","A4D263","NM_001161834",438
"140","MBLAC1","A4D2B0","NM_203397",266
"141","PMS2P1","A4D2B8","NR_003613",440
"142","OR2A25","A4D2G3","",310
"143","CTAGE15","A4D2H0","NM_001008747",777
"144","GRID2IP","A4D2P6","XM_294249",1211
"145","MTMR11","A4FU01","NM_181873",709
"146","CTAGE9","A4FU28","NM_001145659",777
"147","SH3D21","A4FU49","NM_024676",640
"148","EFCAB5","A4FU69","NM_198529",1503
"149","EME2","A4GXA9","NM_001010865",379
"150","SLC35F4","A4IF30","XM_292260",521
"151","C5orf49","A4QMS7","NM_001089584",147
"152","C10orf40","A4QN01","NR_024340",128
"153","LRP5L","A4QPB2","NM_182492",252
"154","PI4KAP2","A4QPH2","",592
"155","XIRP2","A4UGR9","NM_152381",3374
"156","POTEF","A5A3E0","NM_001099771",1075
"157","FITM1","A5D6W6","NM_203402",292
"158","CLEC18A","A5D8T8","NM_182619",446
"159","VPS37C","A5D8V6","NM_017966",355
"160","CCDC151","A5D8V7","NM_145045",595
"161","CFAP69","A5D8W1","NM_001039706",941
"162","PSMB11","A5LHX3","NM_001099780",300
"163","PSD","A5PKW4","",1024
"164","KRBA1","A5PL33","NM_032534",1030
"165","RGSL1","A5PLK6","NM_181572",1076
"166","ANKRD34B","A5PLL1","NM_001004441",514
"167","TMEM189","A5PLL7","NM_199129",270
"168","FAM149A","A5PLN7","NM_001006655",773
"169","TRAPPC13","A5PLN9","NM_024941",417
"170","HTR3E","A5X5Y0","NM_182589",456
"171","CNOT1","A5YKK6","NM_016284",2376
"172","ARHGEF35","A5YM69","NM_001003702",484
"173","CARNS1","A5YM72","NM_020811",827
"174","MEGF11","A6BM72","NM_032445",1044
"175","CDHR4","A6H8M9","NM_001007540",788
"176","BDP1","A6H8Y1","NM_018429",2624
"177","FAM221B","A6H8Z2","NM_001012446",402
"178","C5orf63","A6NC05","NM_001164478",138
"179","DPPA5","A6NC42","NM_001025290",116
"180","TMEM150B","A6NC51","NM_001085488",233
"181","ANKRD62","A6NC57","XM_001715728",917
"182","RBAKDN","A6NC62","NR_015343",111
"183","GOLGA8I","A6NC78","NR_024074",632
"184","PINLYP","A6NC86","NM_001193621",204
"185","FAM172BP","A6NC97","XR_041878",362
"186","CCDC88B","A6NC98","NM_032251",1476
"187","GOLGA8O","A6NCC3","",632
"188","C10orf131","A6NCD4","NM_001098847",256
"189","MAP1LC3B2","A6NCE7","NM_001085481",125
"190","KLHL33","A6NCF5","XM_063481",533
"191","MAGEA13P","A6NCF6","XR_040398",341
"192","VWA3A","A6NCI4","",1184
"193","LINC00862","A6NCI5","NR_040064",91
"194","C2orf78","A6NCI8","NM_001080474",922
"195","C19orf71","A6NCJ1","NM_001135580",209
"196","TRIM43B","A6NCK2","",446
"197","GMNC","A6NCL1","NM_001146686",334
"198","LRCOL1","A6NCL2","NM_001195520",159
"199","ANKRD33B","A6NCL7","XM_001130634",494
"200","IQCA1P1","A6NCM1","",817
"201","KRT87P","A6NCN2","NG_000944",255
"202","RNF222","A6NCQ9","NM_001146684.2",220
"203","NKX2-6","A6NCS4","NM_001136271",301
"204","C2orf72","A6NCS6","NM_001144994",295
"205","OR6C74","A6NCV1","",312
"206","USP17L3","A6NCW0","NM_001256871",530
"207","FAM231B","A6NCW3","XM_001721533",169
"208","USP17L4","A6NCW7","NM_001256874",530
"209","FOLR4","A6ND01","NM_001080486",250
"210","FAM83G","A6ND36","",823
"211","OR14I1","A6ND48","NM_001004734",311
"212","ASPDH","A6ND91","NM_001024656",283
"213","LRIT2","A6NDA9","XM_291697",550
"214","PALM3","A6NDB9","NM_001145028",673
"215","SYNDIG1L","A6NDD5","XM_938515",238
