"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCC6",1,0,Inf,0.00964951752412379,0.048247587620619,0.9440128,1,1503,93,1,4,1,1,1,1
"ATL1",0.5,0.349045602798306,1.43247757883637,0.048247587620619,0.0728852446266575,0.1602396,1,558,41,2,1,1,0.0487804878048781,0.0650406504065041,2
"BRAF",0.833333333333333,0.151138121003635,5.51372034930414,0.015649217539123,0.060585206033816,0.0554577,1,766,109,2,10,1,0.018348623853211,0.0293577981651376,6
"CASR",0.333333333333333,0.267579352381554,1.24573637826142,0.0347482625868707,0.0661871668321346,0.9950369,1,1078,36,3,8,1,0.00476190476190476,0.00865800865800866,3
"COL1A2",0.0833333333333333,0.0830676026830219,1.00319896857172,0.121293935303235,0.121293935303235,0.003359127,1,1366,250,12,8,1,2.51135456356424e-18,1.43505975060813e-17,12
"CPS1",0.4,0.220870513613257,1.81101584569318,0.00229988500574971,0.0229988500574971,0.8160048,1,1500,246,5,10,2,4.0800006528001e-06,1.02000016320003e-05,5
"CYP11A1",0.333333333333333,0.274566827016764,1.21403352675588,0.0763961801909905,0.0869400974395725,0.08311105,1,521,41,3,2,1,0.00365853658536585,0.00696864111498258,3
"DCX",0.333333333333333,0.273307371180076,1.21962803964664,0.0919954002299885,0.0943542566461421,0.2793827,1,441,14,3,4,1,0.032967032967033,0.0467562828755114,3
"DYNC2H1",0.5,0.34627685117209,1.44393134657308,0.00669966501674916,0.041140800102852,0.9996801,1,4307,306,2,3,1,0.0065359477124183,0.0113668655868144,2
"F8",0.166666666666667,0.147541205417961,1.1296279313601,0.0339483025848708,0.0661871668321346,0.148364,1,2351,324,6,27,1,2.08005146972543e-10,7.56382352627427e-10,6
"FGFR3",0.25,0.21773874290112,1.14816498280938,0.064246787660617,0.0803084845757712,0.03370344,1,806,93,4,8,1,3.08247152566929e-05,7.25287417804538e-05,4
"GRIN2A",0.1,0.0937483266450594,1.06668570606716,0.0917454127293635,0.0943542566461421,0.0920827,1,1464,367,10,7,1,3.31667019704395e-17,1.65833509852198e-16,9
"HEXA",1,0,Inf,0.0250487475626219,0.060585206033816,0.5865915,1,529,49,1,1,1,1,1,1
"HNF1A",0.5,0.360028638611737,1.38877840920653,0.0417979101044948,0.0726920175730344,0.4180192,1,631,78,2,5,1,0.0256410256410256,0.0379867046533713,2
"JAK2",0.5,0.350837693367014,1.42516043587411,0.0224988750562472,0.060585206033816,0.9926,1,1132,145,2,1,1,0.0137931034482759,0.0229885057471264,2
"KIF7",0.5,0.359991102103363,1.38892321804231,0.0187990600469977,0.060585206033816,0.9978404,1,1343,59,2,1,1,0.0338983050847457,0.0467562828755114,2
"KRAS",1,0,Inf,0.072346382680866,0.0851133913892541,0.1270399,1,189,44,1,6,1,1,1,3
"KRT17",1,0,Inf,0.0302484875756212,0.0661871668321346,0.8883287,1,432,36,1,1,1,1,1,1
"KRT6B",1,0,Inf,0.0225488725563722,0.060585206033816,0.8454106,1,564,70,1,1,1,1,1,1
"LCAT",0.5,0.350429094897314,1.42682216539844,0.0618969051547423,0.0803084845757712,0.06582185,1,440,31,2,4,1,0.0645161290322581,0.0806451612903226,2
"MUT",1,0,Inf,0.0194490275486226,0.060585206033816,0.8731314,1,750,67,1,3,1,1,1,1
"NF1",0.08,0.0381682697645154,2.09598183238516,0.0071996400179991,0.041140800102852,5.701473e-07,0.0008961766,2839,474,43,6,3,5.09619552955625e-55,2.0384782118225e-53,38
"NPC1",0.333333333333333,0.277398339446393,1.20164141572934,0.0333483325833708,0.0661871668321346,0.3670974,1,1278,99,3,6,1,0.000618429189857762,0.00130195618917424,2
"NSMF",1,0,Inf,0.0252987350632468,0.060585206033816,NA,NA,530,29,1,1,1,1,1,1
"PIK3CA",0.485714285714286,0.0857489371780545,5.66437674563497,0,0,0,0,1068,139,23,14,7,6.47927030842297e-16,2.87967569263243e-15,33
"PKHD1",0.0625,0.0609375521354465,1.0256401481484,0.0517474126293685,0.0739248751848122,0.5411513,1,4074,476,16,10,1,1.79185718412984e-27,1.43348574730387e-26,13
"PTEN",0.201754385964912,0.0370979897125362,5.43841829512221,0.0491975401229938,0.0728852446266575,0,0,403,242,75,17,10,1.00942362141426e-48,1.34589816188568e-47,107
"PTPN11",0.333333333333333,0.191579421904127,1.73992243018744,0.0450977451127444,0.0728852446266575,0.05811065,1,597,82,4,10,1,4.516711833785e-05,0.000100371374084111,6
"RAG1",0.2,0.1764419784852,1.13351710129898,0.063746812659367,0.0803084845757712,0.3689105,1,1043,156,5,5,1,2.10626396584651e-07,6.48081220260464e-07,5
"RYR2",0.0333333333333333,0.032580333712402,1.02311209048926,0.0782460876956152,0.0869400974395725,0.3090339,1,4967,959,30,5,1,1.36971835659224e-54,2.73943671318448e-53,28
"SCN5A",0.25,0.22182641176595,1.12700736584864,0.0257487125643718,0.060585206033816,0.6763005,1,2016,229,4,18,1,2.02495350200521e-06,5.7855814343006e-06,4
"SLC2A1",0.5,0.349092918670468,1.4322834215723,0.0547972601369932,0.075582427775163,0.3134436,1,492,33,2,1,1,0.0606060606060606,0.0782013685239492,2
"SLCO2A1",0.5,0.343939375899728,1.45374456964116,0.04014799260037,0.0726920175730344,0.9990044,1,643,81,2,1,1,0.0246913580246913,0.0379867046533713,2
"SMC1A",0.166666666666667,0.154973887460706,1.07544999610935,0.0687465626718664,0.0833291668749896,0.08237627,1,1233,105,6,5,1,6.2137115362712e-08,2.07123717875707e-07,5
"TGM1",1,0,Inf,0.0167491625418729,0.060585206033816,0.8744776,1,817,72,1,3,1,1,1,1
"TMPRSS6",0.166666666666667,0.149434480617194,1.11531599653775,0.0842457877106145,0.0910765272547183,0.006472104,1,811,80,5,3,1,3.16139556645885e-06,8.43038817722361e-06,6
