"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA12",0.0714285714285714,0.0706072832622398,1.01163177689873,0.0267986600669966,0.0481669464913851,0.9495516,1,2595,264,14,3,1,3.8899678537487e-21,2.13948231956179e-20,14
"ABCA1",0.142857142857143,0.130605718757409,1.09380465278469,0.0138493075346233,0.0481669464913851,0.9999942,1,2261,190,7,5,1,1.1601950358163e-10,3.03860604618555e-10,7
"ABCA4",0.0714285714285714,0.0692111113408467,1.03203907645413,0.0260986950652467,0.0481669464913851,0.8920968,1,2273,238,14,13,1,1.54809988665101e-20,7.74049943325507e-20,14
"ADA",0.5,0.357499028747709,1.39860519831749,0.0244487775611219,0.0481669464913851,0.7831239,1,363,26,2,1,1,0.0769230769230769,0.0846153846153846,2
"AKT1",0.5,0.357215064915525,1.39971700274803,0.0195990200489976,0.0481669464913851,0.5398715,1,480,42,2,1,1,0.0476190476190476,0.0545634920634921,2
"ALAS2",0.5,0.35548575234476,1.4065261313626,0.016099195040248,0.0481669464913851,0.5733263,1,587,14,2,4,1,0.142857142857143,0.15406162464986,2
"CASP8",0.0303030303030303,0.0295345889255126,1.02601835358046,0.238338083095845,0.242751751301324,0,0,479,106,25,1,1,6.43252294457934e-23,3.93098624390959e-22,33
"CDKN2A",0.0677966101694915,0.0341291026669609,1.9864750278103,0.774511274436278,0.774511274436278,0,0,156,81,28,9,4,8.88097061359419e-17,3.48895274105486e-16,58
"CFI",0.2,0.183787316694536,1.08821437516502,0.0383980800959952,0.050283200125708,0.2120595,1,583,84,5,2,1,2.59134356499426e-06,4.59754503466724e-06,5
"CHST6",0.166666666666667,0.153010787822555,1.08924781734964,0.0670966451677416,0.0709676054658805,1,1,395,53,6,1,1,2.09082181493788e-06,3.83317332738611e-06,6
"COL2A1",0.2,0.186731434495182,1.07105694625379,0.0144492775361232,0.0481669464913851,0.8816356,1,1487,134,5,3,1,3.89385324892602e-07,7.64864031039039e-07,4
"COL4A1",0.166666666666667,0.14980616252603,1.11254880210757,0.0152492375381231,0.0481669464913851,0.9993467,1,1669,231,6,1,1,1.14339554037561e-09,2.85848885093903e-09,6
"DHODH",0.25,0.217465034065344,1.14961010203084,0.0451477426128694,0.0528324647597407,0.999932,1,395,26,4,1,1,0.00153846153846154,0.00235042735042735,4
"DNMT3B",0.166666666666667,0.150530057420689,1.10719858560128,0.0325483725813709,0.0490280364030579,0.3938598,1,853,101,6,2,1,7.57492117821082e-08,1.60238717231383e-07,6
"DYNC2H1",0.0625,0.0561835401513106,1.11242545114954,0.0172491375431228,0.0481669464913851,0.8745206,1,4307,306,16,3,1,1.53543696410071e-24,1.2064147575077e-23,16
"F7",0.333333333333333,0.268991988771704,1.23919427807285,0.0263986800659967,0.0481669464913851,0.9983047,1,466,35,3,3,1,0.00504201680672269,0.00644909126441274,3
"F8",0.142857142857143,0.125802443641826,1.13556731269762,0.0133993300334983,0.0481669464913851,0.9942743,1,2351,324,7,27,1,4.56437626585517e-12,1.32126681380018e-11,7
"FBN1",0.0909090909090909,0.0876188649506904,1.03755157020411,0.0171491425428729,0.0481669464913851,0.9079383,1,2871,411,11,17,1,3.24084781685022e-19,1.48538858272302e-18,11
"FGFR3",0.142857142857143,0.135281471705444,1.05599932537838,0.0364981750912454,0.0490280364030579,0.8116532,1,806,93,7,8,1,9.18339320722041e-09,2.02034650558849e-08,6
"GAA",0.333333333333333,0.27830280712284,1.19773615214094,0.0146492675366232,0.0481669464913851,0.9681512,1,952,56,3,5,1,0.00194805194805195,0.00274725274725275,3
"GLB1",0.5,0.246090045126393,2.03177661958328,0.0007999600019999,0.0109994500274986,0.5163831,1,677,47,4,6,2,0.00555041628122109,0.00693802035152636,3
"HPRT1",1,0,Inf,0.0222488875556222,0.0481669464913851,0.3597162,1,218,14,1,4,1,1,1,1
"HRAS",0.789473684210526,0.0953755492112843,8.27752700497289,0.00154992250387481,0.0170491475426229,0,0,189,22,4,2,2,0.025974025974026,0.031055900621118,18
"IFT140",0.4,0.221060416419828,1.80946008551951,0.00194990250487476,0.0178741062946853,0.9999989,1,1462,109,4,3,1,1.90536073242066e-05,3.17560122070111e-05,5
"KIT",0.166666666666667,0.154428114302194,1.07925080494426,0.0299485025748713,0.0490280364030579,0.7703729,1,976,155,6,2,1,8.58950449648109e-09,1.96842811377692e-08,5
"KLHL3",0.333333333333333,0.269862193315698,1.23519834044847,0.0210489475526224,0.0481669464913851,0.9999413,1,587,40,3,1,1,0.00384615384615385,0.00528846153846154,3
"KMT2D",0.0149253731343284,0.0148563011119171,1.00464934184431,0.0533973301334933,0.0587370631468427,NA,NA,5537,531,66,4,1,2.39506443120107e-83,6.58642718580293e-82,62
"LRRK2",0.037037037037037,0.0362408584276457,1.0219690880386,0.0498975051247438,0.0560074037114471,0.603281,1,2527,392,27,4,1,9.54294389530078e-40,1.04972382848309e-38,24
"MAP2K2",0.333333333333333,0.269602623250131,1.23638757410782,0.031898405079746,0.0490280364030579,0.4212083,1,400,36,3,1,1,0.00476190476190476,0.00638792102206737,3
"MAT1A",0.333333333333333,0.271328741479076,1.22852201914274,0.0340482975851207,0.0490280364030579,0.861639,1,395,35,3,1,1,0.00504201680672269,0.00644909126441274,3
"MED12",0.0588235294117647,0.0581423195120867,1.01171624911759,0.0353982300884956,0.0490280364030579,0.1046459,1,2177,210,17,1,1,4.46754945784838e-23,3.07144025227076e-22,15
"NCF2",0.2,0.177946354008462,1.12393423913866,0.0451477426128694,0.0528324647597407,0.3019014,1,526,65,5,2,1,7.38508803024933e-06,1.2693120051991e-05,5
"NOTCH3",0.0555555555555556,0.0551739759706924,1.00691593415464,0.0347482625868707,0.0490280364030579,0.1353264,1,2321,242,18,6,1,3.39852207973658e-25,3.11531190642519e-24,17
"NSD1",0.0666666666666667,0.036993795244143,1.80210400762332,0.000249987500624969,0.00458310417812443,1.185154e-10,1.596741e-07,2696,296,43,3,2,2.62563204282586e-48,4.81365874518075e-47,40
"PARK2",0.25,0.208235712864321,1.20056255750372,0.0393980300984951,0.0503724813759312,0.8304656,1,465,71,4,4,1,6.9985128160266e-05,0.000113211236729842,3
"PAX6",0.5,0.349408194074046,1.4309910542454,0.0224988750562472,0.0481669464913851,0.6976794,1,422,48,2,1,1,0.0416666666666667,0.048758865248227,2
"PIK3CA",0.756756756756757,0.0488736522667854,15.4839411760322,0,0,0,0,1068,139,24,14,7,1.26424786505814e-16,4.63557550521316e-16,73
"PRF1",0.333333333333333,0.278425870582915,1.19720675609441,0.0215989200539973,0.0481669464913851,0.6362382,1,555,58,3,2,1,0.00181488203266788,0.0026268029420193,3
"PTEN",0.222222222222222,0.13386539745578,1.66004229954667,0.0106994650267487,0.0481669464913851,0.007806366,1,403,242,9,17,2,4.07431103281607e-12,1.24492837113824e-11,9
"RAF1",0.333333333333333,0.275369944591203,1.21049279298865,0.0215989200539973,0.0481669464913851,0.8316691,1,648,58,3,4,1,0.00181488203266788,0.0026268029420193,3
"RAG1",0.166666666666667,0.150415211487928,1.1080439605674,0.0266486675666217,0.0481669464913851,0.4688403,1,1043,156,6,5,1,8.31419986518357e-09,1.96842811377692e-08,5
"RDH12",0.333333333333333,0.268884462938946,1.23968982696118,0.040297985100745,0.0503724813759312,0.273974,1,316,22,3,2,1,0.012987012987013,0.0158730158730159,3
"RPS19",0.5,0.353248544985729,1.41543399710309,0.0629468526573671,0.0678838607089253,0.6397416,1,145,6,2,1,1,0.333333333333333,0.352564102564103,2
"RUNX2",0.2,0.173757738681625,1.15102787085909,0.0435478226088696,0.0528324647597407,0.5229113,1,521,89,5,4,1,2.04781567693005e-06,3.83317332738611e-06,5
"RYR2",0.0188679245283019,0.0182236107541113,1.03535598860644,0.0470976451177441,0.0539660516974151,0.9994008,1,4967,959,52,5,1,2.64063813016334e-84,1.45235097158984e-82,43
"SEPN1",1,0,Inf,0.00759962001899905,0.0481669464913851,1,1,590,40,1,1,1,1,1,1
"SETBP1",0.0714285714285714,0.0671618552187853,1.06352886167136,0.0365481725913704,0.0490280364030579,0.9835128,1,1596,214,12,3,1,1.44302800957774e-17,6.10511850205969e-17,14
"SLC22A5",1,0,Inf,0.00924953752312384,0.0481669464913851,0.9450693,1,557,32,1,2,1,1,1,1
"SLC4A11",0.166666666666667,0.152296676296445,1.09435524608725,0.0307484625768712,0.0490280364030579,0.9681444,1,891,84,6,1,1,1.9435076737457e-07,3.95899711318568e-07,6
"SMAD4",0.2,0.124388232692777,1.6078691341646,0.00819959002049898,0.0481669464913851,0.005331123,1,552,135,9,2,1,4.06335312201581e-12,1.24492837113824e-11,9
"SOS1",0.125,0.113106335114542,1.10515471899442,0.0271486425678716,0.0481669464913851,0.8664193,1,1333,149,8,8,1,2.8532236639822e-11,7.84636507595106e-11,7
"STK11",0.333333333333333,0.265720501962007,1.2544509395101,0.0305484725763712,0.0490280364030579,0.7719169,1,433,85,3,2,1,0.000840336134453783,0.00132052821128452,1
"TGFBR2",0.0769230769230769,0.0748533442237866,1.02765050407237,0.0859957002149893,0.089240820977819,0.001259789,0.5400488,567,103,11,4,1,4.66274055780502e-13,1.60281706674547e-12,12
"TNFRSF1A",0.5,0.359684755199776,1.39010617706689,0.0214489275536223,0.0481669464913851,1,1,455,38,2,2,1,0.0526315789473684,0.0590762620837809,2
"TP53",0.482649842271293,0.028752955387514,16.7860950558454,0,0,2.220446e-16,3.807459e-13,393,287,128,44,33,6.30890221046847e-48,8.67474053939415e-47,276
"NOTCH1",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"FAT1",NA,NA,NA,NA,NA,1.332268e-15,2.094103e-12,NA,NA,NA,NA,NA,NA,NA,NA
"NFE2L2",NA,NA,NA,NA,NA,1.183502e-07,0.0001488215,NA,NA,NA,NA,NA,NA,NA,NA
"NBPF1",NA,NA,NA,NA,NA,6.480466e-07,0.0007639659,NA,NA,NA,NA,NA,NA,NA,NA
"EPHA2",NA,NA,NA,NA,NA,1.097847e-06,0.001218094,NA,NA,NA,NA,NA,NA,NA,NA
"B2M",NA,NA,NA,NA,NA,1.501099e-06,0.001572985,NA,NA,NA,NA,NA,NA,NA,NA
