"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"BRAF",0.923076923076923,0.0773070803270461,11.9403930296147,9.99950002499875e-05,0.00199990000499975,NA,NA,766,109,6,10,5,0.0550458715596331,0.0786369593709044,13
"CACNA1A",0.5,0.361483637832227,1.38318847015715,0.0162491875406230,0.08032931686749,NA,NA,2505,204,2,5,1,0.00980392156862747,0.0217864923747277,2
"CDK4",0.5,0.359665273704745,1.39018147303945,0.132393380330983,0.160168462165127,NA,NA,303,30,2,1,1,0.0666666666666667,0.0833333333333333,1
"DNM2",0.5,0.360729990610881,1.38607826633231,0.048197590120494,0.08032931686749,NA,NA,870,73,2,2,1,0.0273972602739726,0.045662100456621,2
"EARS2",0.5,0.349800100214551,1.42938781233431,0.0767961601919904,0.109708800274272,NA,NA,523,31,2,3,1,0.064516129032258,0.0833333333333333,2
"FGFR3",0.4,0.220477142058242,1.81424702926499,0.0573471326433678,0.0882263579128736,NA,NA,806,93,4,8,2,0.00140252454417953,0.00467508181393175,5
"GAA",0.5,0.367377144044054,1.36099920233481,0.0418479076046198,0.08032931686749,NA,NA,952,56,2,5,1,0.0357142857142857,0.0549450549450549,2
"IDH2",1,0,Inf,0.0451977401129944,0.08032931686749,NA,NA,452,44,1,1,1,1,1,1
"ISPD",0.333333333333333,0.278235658657216,1.19802520978807,0.136143192840358,0.160168462165127,NA,NA,451,33,3,1,1,0.00568181818181818,0.0162337662337662,3
"KCNJ2",1,0,Inf,0.0462976851157442,0.08032931686749,NA,NA,427,64,1,3,1,1,1,1
"KRAS",0.446808510638298,0.0709546886457478,6.29709634650161,0.192940352982351,0.203095108402475,NA,NA,189,44,13,6,4,1.00856147666310e-06,1.0085614766631e-05,45
"L1CAM",0.5,0.355466040721341,1.40660412731793,0.0338983050847458,0.08032931686749,NA,NA,1257,135,2,6,1,0.0148148148148148,0.0296296296296297,2
"NRAS",0.135135135135135,0.054960017383024,2.45878989071928,0.217939103044848,0.217939103044848,NA,NA,189,31,5,2,1,0.000158906721754330,0.000794533608771651,37
"PHGDH",1,0,Inf,0.0350482475876206,0.08032931686749,NA,NA,533,39,1,3,1,1,1,1
"PTPN11",0.666666666666667,0.273381425979779,2.4385953225512,0.0330483475826209,0.08032931686749,NA,NA,597,82,2,10,1,0.024390243902439,0.0443458980044346,3
"SAMHD1",0.25,0.210711056067661,1.18645886298307,0.127293635318234,0.160168462165127,NA,NA,626,73,4,2,1,6.43128175445366e-05,0.000428752116963578,2
"SCN4A",0.333333333333333,0.280952033550689,1.18644214501901,0.0344482775861207,0.08032931686749,NA,NA,1836,154,3,4,1,0.000254647313470843,0.00101858925388337,3
"SCN5A",1,0,Inf,0.00819959002049898,0.08032931686749,NA,NA,2016,229,1,18,1,1,1,1
"SETBP1",0.5,0.360039759788594,1.38873551158235,0.0253987300634968,0.08032931686749,NA,NA,1596,214,2,3,1,0.00934579439252336,0.0217864923747277,2
"TP53",0.5625,0.128067330279173,4.39222086361767,0.169441527923604,0.188268364359560,NA,NA,393,287,16,44,9,3.86993407887907e-10,7.73986815775815e-09,15
