"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ACVRL1",0.333333333333333,0.273290278761163,1.21970431895473,0.0850457477126144,0.102555166359329,0.455968,1,503,81,3,3,1,0.000925925925925927,0.00162183544303797,3
"AKT1",1,0,Inf,0.0305984700764962,0.0839638018099095,0.5818023,1,480,42,1,1,1,1,1,2
"ALG12",0.333333333333333,0.276389121533496,1.20602913560379,0.088095595220239,0.103121232827248,0.4782842,1,488,34,3,1,1,0.0053475935828877,0.00843274372686137,3
"ATM",0.04,0.0407599285054792,0.98135599022513,0.114194290285486,0.125798973209234,0.5174755,1,3056,455,24,4,1,8.01700785098352e-38,3.28697321890324e-36,25
"ATP7B",0.333333333333333,0.265261353777798,1.25662230319671,0.0309484525773711,0.0839638018099095,0.8245295,1,1465,115,3,8,1,0.00045766590389016,0.000938215102974828,3
"BRAF",0.555555555555556,0.160319352816433,3.46530562777202,4.04203718674212e-05,0.000828617623282134,0.005436288,1,766,109,8,10,4,1.25825708744761e-05,3.2242837865845e-05,9
"CHRNE",0.333333333333333,0.272152449639414,1.22480372223355,0.0905454727263637,0.103121232827248,0.1330062,1,493,32,3,3,1,0.00604838709677419,0.00918458781362006,3
"CLCNKB",0.333333333333333,0.186031798497661,1.79180836838237,0.0207489625518724,0.0839638018099095,0.004673451,1,687,43,5,1,1,4.05153553196662e-05,8.74278720055955e-05,6
"COL6A1",0.333333333333333,0.273175284107033,1.22021776026681,0.0433978301084946,0.0839638018099095,1,1,1028,84,3,1,1,0.000860585197934597,0.00160381786887811,3
"CTNNB1",0.692307692307692,0.130012098472794,5.32494821974249,0.000149992500374981,0.00204989750512474,0.007659483,1,781,112,8,5,4,1.12706534724883e-05,3.08064528248014e-05,13
"CYP27A1",0.333333333333333,0.26844916435469,1.24170002217967,0.0829458527073646,0.102555166359329,1,1,531,45,3,1,1,0.00303030303030303,0.00496969696969697,3
