"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCG8",0.00229357798165138,0.00230393081803512,0.99550644650321,0.0584970751462427,0.0660361718756168,0.9312088,1,673,85,24,1,1,6.93105182457508e-20,2.42586813860128e-19,21
"AGXT",0.00477326968973747,0.0034223147110063,1.39474890324564,0.00869956502174891,0.032679616019199,0.005120291,0.5083101,392,34,7,3,2,7.54700707262377e-05,8.80484158472773e-05,7
"BMP15",0.00467289719626168,0.00319279558006405,1.46357544010630,0.0187990600469977,0.0394780260986951,0.9073017,1,392,63,15,4,2,1.00301531565327e-11,1.62025550990144e-11,16
"CASR",0.0045662100456621,0.00309084844864341,1.47733223467046,0.00504974751262437,0.032679616019199,0.9999993,1,1078,173,26,8,2,2.07988119232526e-27,2.18387525194152e-26,24
"DCX",0.00696055684454756,0.0039652948448532,1.75536930212947,0.0124493775311234,0.032679616019199,0.01915704,1,441,70,18,4,3,1.13100739704724e-12,2.15919593981745e-12,18
"F11",0.00240384615384615,0.00236380958028063,1.01693730912148,0.0104494775261237,0.032679616019199,0.997469,1,625,51,4,4,1,0.000192076830732293,0.000212295444493587,4
"F9",0.00465116279069767,0.00333055898915454,1.39651115798984,0.0118994050297485,0.032679616019199,0.8688817,1,461,78,18,9,2,8.89604055884916e-15,2.61081071185177e-14,17
"FRMD7",0.00235294117647059,0.00237167949308991,0.992099136213845,0.0279986000699965,0.0534518728609024,0.03950449,1,714,78,13,2,1,2.99325599980102e-13,6.28583759958214e-13,13
"GDF2",0.00234741784037559,0.0024053886503153,0.975899607769366,0.0548972551372431,0.0660361718756168,0.9483169,1,429,71,14,1,1,2.40944243601835e-13,5.62203235070948e-13,13
"GRXCR1",0.00234192037470726,0.00229603789321436,1.01998332938167,0.0853957302134893,0.0896655167241638,0.999997,1,290,80,15,1,1,9.94594556895912e-15,2.61081071185177e-14,12
"MC2R",0.00471698113207547,0.00327467546457580,1.44044232263685,0.0178491075446228,0.0394780260986951,0.9999999,1,297,50,12,2,2,6.42505965159238e-09,8.43289079271499e-09,12
"MYH7",0.00652173913043478,0.00377348538263417,1.7283064512316,0.00254987250637468,0.032679616019199,0.9987056,1,1935,198,46,22,3,2.21651497832496e-40,4.65468145448241e-39,45
"MYOC",0.00936768149882904,0.00485797044317233,1.92831175249222,0.0100994950252487,0.032679616019199,0.8893217,1,504,42,14,5,3,8.50355754833592e-08,1.05043946185326e-07,14
"NPHS2",0.00235849056603774,0.00234301873654727,1.00660337420659,0.048147592620369,0.0631937153142343,0.03108497,1,383,49,11,2,1,1.33855409408174e-09,1.87397573171443e-09,11
"PLG",0.00226757369614512,0.00228001914287002,0.994541516564098,0.0597470126493675,0.0660361718756168,0.001535676,0.2129848,810,135,27,2,1,5.84358223128005e-27,4.09050756189604e-26,25
"PROK2",0.00240963855421687,0.00250451332623425,0.962118479856511,0.0397980100994950,0.0610369481525924,0.8936826,1,129,10,3,1,1,0.0666666666666666,0.07,3
"RAPSN",0.00241545893719807,0.00244668824600797,0.98723608990199,0.00849957502124894,0.032679616019199,0.7368511,1,412,21,2,1,1,0.0952380952380953,0.0952380952380953,2
"TACR3",0.00236406619385343,0.00234738433068454,1.00710657515722,0.0406979651017449,0.0610369481525924,0.9999996,1,465,82,11,1,1,5.1419163257512e-12,8.9983535700646e-12,11
"TPO",0.0023094688221709,0.00224485695109376,1.02878217743258,0.0360981950902455,0.0610369481525924,0.9999996,1,933,171,20,4,1,2.57075363061699e-24,1.07971652485914e-23,21
"TYR",0.0022271714922049,0.00232703793128873,0.95708430973941,0.113794310284486,0.113794310284486,0.4920638,1,529,95,35,4,1,5.07735951316329e-25,2.66561374441073e-24,36
"ZIC3",0.00235294117647059,0.00230027015802347,1.02289775323277,0.0435978201089946,0.0610369481525924,0.9999418,1,467,53,12,1,1,1.57431240502603e-10,2.36146860753905e-10,13
