"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCC6",0.0023696682464455,0.00242430687011588,0.977462166879984,0.0102494875256237,0.0381033579899952,0.9999564,1,1503,19,10,4,1,0.000119075970469159,0.000136086823393325,9
"ABCC8",0.00427350427350427,0.00297570520608644,1.43613159823875,0.0129493525323734,0.0381033579899952,1,1,1581,132,51,2,2,2.73641117940684e-34,2.73641117940684e-33,48
"ACTA1",0.00240963855421687,0.00239242133451431,1.00719656669759,0.0123493825308735,0.0381033579899952,0.7596237,1,377,11,3,2,1,0.0545454545454546,0.058968058968059,2
"AGXT",0.00704225352112676,0.00412838460688823,1.70581333662002,0.00904954752262387,0.0381033579899952,1,1,392,34,11,3,2,1.04859262092789e-06,1.49798945846842e-06,11
"AQP2",0.00237529691211401,0.0022646098361464,1.04887688563429,0.0460476976151192,0.0629301868239921,0.9928682,1,271,23,8,3,1,3.26321500099936e-05,3.95541212242346e-05,7
"CASR",0.0100603621730382,0.00431851243350057,2.32958972052405,0.00654967251637418,0.0381033579899952,1,1,1078,173,80,8,4,7.76794621655663e-45,2.83360660980436e-43,64
"CFTR",0.00404040404040404,0.00288311971850927,1.40140002319888,0.032098395080246,0.05836071832772,0.9999999,1,1480,129,67,6,2,4.65142572088869e-35,6.20190096118491e-34,65
"CHRNA4",0.0023094688221709,0.00232874262407857,0.991723515639564,0.0471976401179941,0.0629301868239921,1,1,627,67,19,1,1,2.02885260592427e-15,5.07213151481067e-15,21
"CLCN1",0.0043010752688172,0.00312587266243058,1.37595984651301,0.0180990950452477,0.0381033579899952,0.9992748,1,988,97,48,3,2,1.00087872210283e-25,4.44834987601257e-25,39
"CNGA3",0.00447427293064877,0.0032131595558143,1.3924838941012,0.0130493475326234,0.0381033579899952,0.9705573,1,694,78,28,5,1,4.17614170421795e-20,1.51859698335198e-19,31
"DNAH5",0.0018018018018018,0.00182847004941288,0.985414993469737,0.0406979651017449,0.0629301868239921,1,1,4624,176,123,3,1,1.41680330490218e-44,2.83360660980436e-43,68
"F11",0.00232558139534884,0.00237958573025,0.977305152651302,0.0430478476076196,0.0629301868239921,0.9999977,1,625,51,17,4,1,2.36949673679713e-12,4.73899347359426e-12,17
"F9",0.0115740740740741,0.00511902304276357,2.26099276705456,0.0168991550422479,0.0381033579899952,0.6620941,1,461,78,18,9,5,3.8857905161053e-11,6.21726482576849e-11,18
"G6PC",0.00475059382422803,0.00325891549464145,1.45772231039415,0.0174491275436228,0.0381033579899952,0.9164386,1,357,36,8,4,2,1.43752515669024e-05,1.91670020892032e-05,9
"GDF3",0.00233644859813084,0.0023596916261366,0.990149972247089,0.0692965351732413,0.0749151731602609,0.9999829,1,364,46,16,1,1,3.12659529307324e-11,5.21099215512207e-11,14
"GLRA1",0.00231481481481481,0.0023492861627204,0.98532688420313,0.0671966401679916,0.0746629335199907,0.9999987,1,457,58,19,1,1,4.22248486924704e-14,9.93525851587538e-14,19
"GRIA3",0.00238095238095238,0.00244442656936121,0.974033096676158,0.015999200039998,0.0381033579899952,0.9999999,1,894,24,8,2,1,2.31144395904121e-05,2.98250833424673e-05,8
"HMGCS2",0.00226757369614512,0.00222754234286097,1.01797108522424,0.0818459077046148,0.0839445207226818,0.9999741,1,508,46,25,1,1,3.16841877764158e-12,6.03508338598397e-12,29
"HNF1B",0.00234192037470726,0.00231121433022849,1.01328567587919,0.0427978601069946,0.0629301868239921,1,1,557,57,15,1,1,1.94940774944524e-12,4.10401631462155e-12,15
