"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"CC2D2A",1,0,Inf,0.0353482325883706,0.140135850350340,NA,NA,1620,81,1,1,1,1,1,1
"CDON",1,0,Inf,0.0439478026098695,0.140135850350340,NA,NA,1287,108,1,1,1,1,1,1
"GCM2",1,0,Inf,0.110544472776361,0.207807791428610,NA,NA,506,2,1,1,1,1,1,1
"GNRHR",1,0,Inf,0.180490975451227,0.270736463176841,NA,NA,328,22,1,1,1,1,1,1
"IDH2",0.85,0.0798678682348313,10.6425777823541,0.126993650317484,0.207807791428610,NA,NA,452,44,2,1,1,0.0454545454545455,0.090909090909091,20
"JAK2",1,0,Inf,0.0500974951252437,0.140135850350340,NA,NA,1132,145,1,1,1,1,1,1
"KRAS",0.75,0.151432050904163,4.95271638680145,0.664316784160792,0.703394242052603,NA,NA,189,44,6,6,4,0.0158562367864694,0.035676532769556,8
"MED12",0.5,0.352931382226858,1.41670598076373,0.0544972751362432,0.140135850350340,NA,NA,2177,210,2,1,1,0.00952380952380953,0.0244897959183674,2
"NF1",0.5,0.354119189539907,1.41195398263966,0.0424978751062447,0.140135850350340,NA,NA,2839,474,2,6,1,0.00421940928270042,0.0151898734177215,2
"NRAS",0.333333333333333,0.121605249580824,2.74110973401511,0.615169241537923,0.703394242052603,NA,NA,189,31,3,2,1,0.0064516129032258,0.0193548387096774,15
"PTPN11",0.222222222222222,0.137426333387089,1.61702795050413,0.643117844107795,0.703394242052603,NA,NA,597,82,8,10,2,7.9963031491281e-08,3.59833641710764e-07,9
"RIT1",1,0,Inf,0.269036548172591,0.372512143623588,NA,NA,219,32,1,3,1,1,1,1
"RUNX1",0.25,0.0999298928423496,2.50175390855670,0.0806959652017399,0.181565921703915,NA,NA,453,78,12,1,1,1.54267809220514e-12,1.38841028298462e-11,17
"SETBP1",1,0,Inf,0.00514974251287436,0.0926953652317384,NA,NA,1596,214,2,3,2,1,1,2
"SMC1A",0.142857142857143,0.137211480042895,1.04114570305986,0.331283435828209,0.42593584606484,NA,NA,1233,105,7,5,1,4.34959807538986e-09,2.60975884523392e-08,7
"SOS1",1,0,Inf,0.0423478826058697,0.140135850350340,NA,NA,1333,149,1,8,1,1,1,1
"THRB",1,0,Inf,0.124193790310484,0.207807791428610,NA,NA,461,55,1,3,1,1,1,1
"TP53",0.470588235294118,0.116920028782500,4.02487272877366,1,1,NA,NA,393,287,17,44,8,7.57936397937143e-13,1.36428551628686e-11,14
