"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ALAS2",0.00241545893719807,0.0023492395522611,1.02818758303011,0.0286485675716214,0.0286485675716214,0.4731621,1,587,66,2,4,1,0.0303030303030303,0.0303030303030303,2
"DSPP",0.00240963855421687,0.00235450018489656,1.02341829050344,0.0193490325483726,0.0286485675716214,0.7502135,1,1301,112,3,1,1,0.000482625482625483,0.000965250965250966,3
"PASD1",NA,NA,NA,NA,NA,2.241207e-12,2.113683e-09,NA,NA,NA,NA,NA,NA,NA,NA
"OR10A7",NA,NA,NA,NA,NA,2.825551e-11,2.131822e-08,NA,NA,NA,NA,NA,NA,NA,NA
"AADACL3",NA,NA,NA,NA,NA,2.731054e-09,1.256418e-06,NA,NA,NA,NA,NA,NA,NA,NA
"ADAD1",NA,NA,NA,NA,NA,3.25217e-09,1.333531e-06,NA,NA,NA,NA,NA,NA,NA,NA
"FGF10",NA,NA,NA,NA,NA,4.46395e-08,1.358049e-05,NA,NA,NA,NA,NA,NA,NA,NA
"HFE2",NA,NA,NA,NA,NA,7.12425e-08,1.91968e-05,NA,NA,NA,NA,NA,NA,NA,NA
"SFTPC",NA,NA,NA,NA,NA,2.232325e-07,5.263263e-05,NA,NA,NA,NA,NA,NA,NA,NA
"BRDT",NA,NA,NA,NA,NA,1.173371e-06,0.0002213213,NA,NA,NA,NA,NA,NA,NA,NA
"CDH10",NA,NA,NA,NA,NA,5.147837e-06,0.000776788,NA,NA,NA,NA,NA,NA,NA,NA
"TULP1",NA,NA,NA,NA,NA,7.850396e-06,0.001139032,NA,NA,NA,NA,NA,NA,NA,NA
"SYCP1",NA,NA,NA,NA,NA,1.000172e-05,0.001418439,NA,NA,NA,NA,NA,NA,NA,NA
"TPTE2",NA,NA,NA,NA,NA,1.699431e-05,0.002241586,NA,NA,NA,NA,NA,NA,NA,NA
"FETUB",NA,NA,NA,NA,NA,5.053235e-05,0.005324811,NA,NA,NA,NA,NA,NA,NA,NA
"NOX3",NA,NA,NA,NA,NA,8.423246e-05,0.008106085,NA,NA,NA,NA,NA,NA,NA,NA
"OR8I2",NA,NA,NA,NA,NA,0.0001644915,0.01410291,NA,NA,NA,NA,NA,NA,NA,NA
"LMX1A",NA,NA,NA,NA,NA,0.0003931981,0.02908433,NA,NA,NA,NA,NA,NA,NA,NA
