"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ABCA1",0.333333333333333,0.259830416192008,1.28288803989372,0.0232988350582471,0.0616635834874923,NA,NA,2261,190,3,5,1,0.000167084377610693,0.000556947925368978,3
"ACAD8",1,0,Inf,0.0393480325983701,0.0621284725237422,NA,NA,415,30,1,1,1,1,1,1
"AGPS",1,0,Inf,0.0231488425578721,0.0616635834874923,NA,NA,658,50,1,1,1,1,1,1
"ALG1",1,0,Inf,0.0363481825908705,0.0616635834874923,NA,NA,464,29,1,1,1,1,1,1
"CDH23",0.1,0.0940086571951096,1.06373181985203,0.0517974101294935,0.0675618392993394,NA,NA,3354,255,10,2,1,9.18134617751839e-16,1.37720192662776e-14,9
"CDKN2A",0.090909090909091,0.0868999968970101,1.04613457025588,1,1,NA,NA,156,81,10,9,1,3.83306489737819e-11,2.87479867303364e-10,11
"CRB1",0.2,0.1806920297346,1.10685568308552,0.0582470876456177,0.0698965051747413,NA,NA,1406,226,5,7,1,4.72429933916499e-08,2.83457960349899e-07,5
"CTNNB1",1,0,Inf,0.00174991250437478,0.0161241937903105,NA,NA,781,112,2,5,2,1,1,3
"CYP11A1",0.5,0.363628898708527,1.37502822733785,0.0616969151542423,0.071188748254895,NA,NA,521,41,2,2,1,0.048780487804878,0.097560975609756,2
"EOGT",0.333333333333333,0.274993250743762,1.21215096163918,0.0938953052347383,0.0971330743807637,NA,NA,527,30,3,1,1,0.00689655172413793,0.0188087774294671,2
"ERCC2",0.5,0.358579948658008,1.39438917840013,0.0420478976051197,0.0624968751562422,NA,NA,760,73,2,3,1,0.0273972602739726,0.0632244467860906,2
"F8",0.25,0.216593889371129,1.15423385546963,0.0280985950702465,0.0616635834874923,NA,NA,2351,324,4,27,1,7.12209623233987e-07,2.67078608712745e-06,4
"G6PC3",1,0,Inf,0.0474476276186191,0.064701310389026,NA,NA,346,17,1,1,1,1,1,1
"GNPTG",1,0,Inf,0.055747212639368,0.06968401579921,NA,NA,305,15,1,1,1,1,1,1
"HTRA1",1,0,Inf,0.0311984400779961,0.0616635834874923,NA,NA,480,51,1,1,1,1,1,1
"ITGB2",0.333333333333333,0.282189983419500,1.18123729727786,0.0648967551622419,0.0721075057358243,NA,NA,769,82,3,2,1,0.000903342366757,0.002710027100271,3
"KRAS",0.8,0.175299429234353,4.56362010700276,0.0437478126093695,0.0624968751562422,NA,NA,189,44,3,6,2,0.0681818181818182,0.126050420168067,5
"MAK",1,0,Inf,0.0280985950702465,0.0616635834874923,NA,NA,623,68,1,1,1,1,1,1
"MVK",0.5,0.350523346749709,1.42643850869376,0.0851957402129894,0.0912811502282029,NA,NA,396,28,2,3,1,0.0714285714285714,0.126050420168067,1
"MYBPC3",0.5,0.353118170648924,1.41595658779369,0.0264986750662467,0.0616635834874923,NA,NA,1274,61,2,3,1,0.0327868852459016,0.0702576112412178,2
"MYO7A",1,0,Inf,0.00774961251937403,0.0387480625968702,NA,NA,2215,144,1,4,1,1,1,1
"NIPBL",0.25,0.215543258758877,1.15985998095941,0.0256487175641218,0.0616635834874923,NA,NA,2804,342,4,2,1,6.05273750185364e-07,2.59403035793728e-06,4
"PANK2",1,0,Inf,0.0300484975751212,0.0616635834874923,NA,NA,570,37,1,1,1,1,1,1
"PIK3CA",0.875,0.113215525681133,7.72862197773478,0.0007999600019999,0.0161241937903105,NA,NA,1068,139,3,14,2,0.0215827338129496,0.0539568345323741,8
"SGSH",1,0,Inf,0.0335483225838708,0.0616635834874923,NA,NA,502,33,1,2,1,1,1,1
"SMAD4",0.545454545454545,0.146512413723132,3.72292375501575,0.00129993500324984,0.0161241937903105,NA,NA,552,135,7,2,2,6.0571050538849e-08,3.02855252694245e-07,11
"SOS1",1,0,Inf,0.0127993600319984,0.054854400137136,NA,NA,1333,149,1,8,1,1,1,1
"THRB",1,0,Inf,0.0369981500924954,0.0616635834874923,NA,NA,461,55,1,3,1,1,1,1
"TP53",0.584905660377358,0.0472666013588255,12.3746079380033,0.00214989250537473,0.0161241937903105,NA,NA,393,287,53,44,20,9.23994741773719e-30,2.77198422532116e-28,104
"VWF",0.222222222222222,0.136622030285772,1.62654750304472,0.00344982750862457,0.0206989650517474,NA,NA,2813,298,9,3,2,9.33359161208963e-13,9.33359161208963e-12,9
