"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"APOE",1,0,Inf,0.0194990250487476,0.0795489637282842,1,1,317,12,2,2,2,1,1,8
"BRAF",1,0,Inf,0.0284485775711214,0.0795489637282842,0.5488138,1,766,109,1,10,1,1,1,1
"CACNA1F",0.5,0.345768066130398,1.44605603864944,0.023898805059747,0.0795489637282842,0.837225,1,1977,184,2,2,1,0.0108695652173913,0.0326086956521739,2
"COL6A2",0.333333333333333,0.278220667947956,1.19808976016004,0.0621968901554922,0.0795489637282842,0.8413451,1,1019,134,3,1,1,0.000336662551902144,0.00141398271798900,3
"CTNNB1",0.307692307692308,0.131959601444292,2.33171595188701,0.0594970251487426,0.0795489637282842,5.342527e-07,0.001007707,781,112,5,5,2,4.38750438750439e-05,0.000307125307125307,13
"DPYS",0.5,0.353347710625956,1.41503676113890,0.0869956502174891,0.0913454327283636,0.6151718,1,519,84,2,1,1,0.0238095238095238,0.0625,2
"ELAC2",1,0,Inf,0.0253487325633718,0.0795489637282842,1,1,826,48,1,2,1,1,1,1
"GALNS",1,0,Inf,0.040097995100245,0.0795489637282842,0.4435753,1,522,35,1,5,1,1,1,1
"IMPDH1",1,0,Inf,0.0422478876056197,0.0795489637282842,0.7641691,1,514,45,1,2,1,1,1,1
"MEFV",0.25,0.215372666291211,1.16077868331708,0.0815959202039898,0.0901849644359887,0.998137,1,781,112,3,6,1,0.000482625482625483,0.00168918918918919,4
"NLRP3",0.333333333333333,0.273020524637874,1.22090943080362,0.064396780160992,0.0795489637282842,0.3456571,1,1036,271,3,3,1,8.20008200082e-05,0.00043050430504305,3
"PIK3CA",1,0,Inf,0.0223988800559972,0.0795489637282842,0.6053715,1,1068,139,1,14,1,1,1,1
"PKD1",1,0,Inf,0.00539973001349933,0.0795489637282842,0.9858571,1,4303,189,1,4,1,1,1,3
"PROC",1,0,Inf,0.0486975651217439,0.0795489637282842,0.4570826,1,461,39,1,2,1,1,1,1
"PRPH2",1,0,Inf,0.0632968351582421,0.0795489637282842,0.3464392,1,346,31,1,1,1,1,1,1
"RYR2",0.0833333333333333,0.078385832796671,1.06311727974487,0.0527973601319934,0.0795489637282842,0.7046412,1,4967,959,12,5,1,8.04138930208669e-25,1.68869175343820e-23,6
"SCNN1B",0.5,0.350105089328295,1.42814262128920,0.0689965501724914,0.08049597520124,0.6230434,1,640,56,2,1,1,0.0357142857142857,0.0833333333333333,2
"SHH",1,0,Inf,0.0493975301234938,0.0795489637282842,0.4929438,1,462,41,1,2,1,1,1,1
"SLC12A3",1,0,Inf,0.0200489975501225,0.0795489637282842,0.8176487,1,1021,76,1,5,1,1,1,1
"SLC9A3R1",1,0,Inf,0.0586970651467427,0.0795489637282842,1,1,358,21,1,1,1,1,1,1
"TP53",0.388888888888889,0.113649121919338,3.42183804257548,0.767511624418779,0.767511624418779,0,0,393,287,17,44,7,2.18111193650977e-14,2.29016753333526e-13,16
