"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"ALAS2",0.5,0.344755865224374,1.45030164947184,0.0287985600719964,0.0513402901283507,0.2480511,1,587,14,2,4,1,0.142857142857143,0.171428571428571,2
"ATP7B",0.142857142857143,0.128770362646426,1.10939458366982,0.0385480725963702,0.0543762285569932,0.2473812,1,1465,115,7,8,1,2.48780143881498e-09,1.99024115105199e-08,7
"BRAF",0.5,0.350837693367014,1.42516043587411,0.0226988650567472,0.0513402901283507,0.1723714,1,766,109,2,10,1,0.018348623853211,0.0275229357798165,2
"CHRNE",0.333333333333333,0.27007415863476,1.23422890593588,0.0489475526223689,0.0571607783247201,1,1,493,32,3,3,1,0.00604838709677419,0.01036866359447,3
"COL1A2",0.333333333333333,0.272772726855292,1.22201855433358,0.0174991250437478,0.0513402901283507,0.5253439,1,1366,250,3,8,1,9.63855421686747e-05,0.000231325301204819,3
"COL3A1",0.2,0.180036254829557,1.11088736093374,0.0287485625718714,0.0513402901283507,1,1,1466,347,5,13,1,8.4216683530496e-09,5.05300101182976e-08,5
"CYBB",0.5,0.352850539894023,1.41703056526475,0.0299485025748713,0.0513402901283507,1,1,570,49,2,1,1,0.0408163265306123,0.0576230492196879,2
"CYP17A1",0.5,0.358779141635174,1.39361501820088,0.0326983650817459,0.0523173841307935,0.2749172,1,508,13,2,2,1,0.153846153846154,0.175824175824176,1
"EDNRB",0.333333333333333,0.26071754890489,1.27852281034958,0.056047197640118,0.0584840323201231,1,1,442,83,3,2,1,0.000881575080811048,0.0017631501616221,3
"ERCC2",0.2,0.17671045975433,1.13179491626047,0.0523973801309935,0.0571607783247201,1,1,760,73,5,3,1,4.59377268175262e-06,1.22500604846737e-05,5
"F8",0.2,0.173960979597214,1.14968310975873,0.0188990550472476,0.0513402901283507,0.9463715,1,2351,324,5,27,1,1.10936078385356e-08,5.32493176249709e-08,4
"FGFR1",0.2,0.174992177717355,1.14290822943548,0.0511974401279936,0.0571607783247201,1,1,822,97,5,6,1,1.44306807817966e-06,4.32920423453897e-06,5
"FGFR3",0.5,0.203403363993911,2.45816976760997,0.000349982500874956,0.00279986000699965,1,1,806,93,6,8,3,0.000154123576283464,0.000336269620982104,4
"GFAP",1,0,Inf,0.0211989400529973,0.0513402901283507,1,1,432,34,1,1,1,1,1,2
"KRAS",1,0,Inf,0.0430478476076196,0.0543762285569932,0.09901212,1,189,44,1,6,1,1,1,2
"MET",0.466666666666667,0.12696321292096,3.67560536576203,2.83543155268232e-05,0.000599970001499925,0.01783127,1,1390,180,12,6,5,7.33731135451502e-10,8.80477362541803e-09,15
"MOCS1",0.5,0.354396101271722,1.4108507351119,0.0275986200689965,0.0513402901283507,1,1,636,46,2,1,1,0.0434782608695652,0.0579710144927536,2
"PIK3CA",1,0,Inf,4.99975001249937e-05,0.000599970001499925,0.3552391,1,1068,139,2,14,2,1,1,2
"SAMHD1",0.333333333333333,0.272099316496823,1.22504289104756,0.04024798760062,0.0543762285569932,0.4302977,1,626,73,3,2,1,0.00114155251141553,0.00210748155953636,3
"SNRNP200",0.2,0.180078950542334,1.11062397574881,0.0176991150442478,0.0513402901283507,1,1,2136,164,5,2,1,1.72111109011355e-07,5.90095230896076e-07,4
"TMEM43",0.5,0.345808593854438,1.44588656524385,0.0418479076046198,0.0543762285569932,0.4447635,1,400,30,2,1,1,0.0666666666666667,0.0842105263157894,2
"TP53",0.428571428571429,0.189612800830346,2.26024522972417,0.00349982500874956,0.0209989500524974,7.062445e-05,0.1480132,393,287,7,44,3,1.26435245493626e-07,5.05740981974506e-07,7
"USH2A",0.111111111111111,0.105784863524661,1.05034980817656,0.0130993450327484,0.0513402901283507,0.4805603,1,5202,888,9,5,1,9.68706006370075e-19,2.32489441528818e-17,9
"VHL",0.5,0.355415348669792,1.40680474794165,0.0782460876956152,0.0782460876956152,0.0258344,1,213,115,2,24,1,0.0173913043478261,0.0275229357798165,2
"NBPF1",NA,NA,NA,NA,NA,1.374997e-07,0.0008645064,NA,NA,NA,NA,NA,NA,NA,NA
